# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
WP, 92, 2026061800, 03, FNV3, 108, 175N, 1275E, 111,  945, XX,  50, NEQ,   59,   52,   43,   53,     ,     ,  12,
WP, 92, 2026061800, 03, FNV3, 108, 175N, 1275E, 111,  945, XX,  64, NEQ,   33,   29,   25,   29,     ,     ,  12,
WP, 92, 2026061800, 03, FNV3, 114, 178N, 1269E, 108,  947, XX,  34, NEQ,  127,  113,  103,  116,     ,     ,  13,
WP, 92, 2026061800, 03, FNV3, 114, 178N, 1269E, 108,  947, XX,  50, NEQ,   66,   57,   48,   58,     ,     ,  13,
WP, 92, 2026061800, 03, FNV3, 114, 178N, 1269E, 108,  947, XX,  64, NEQ,   36,   33,   28,   32,     ,     ,  13,
WP, 92, 2026061800, 03, FNV3, 120, 182N, 1266E, 106,  947, XX,  34, NEQ,  129,  120,  106,  116,     ,     ,  12,
WP, 92, 2026061800, 03, FNV3, 120, 182N, 1266E, 106,  947, XX,  50, NEQ,   64,   58,   49,   56,     ,     ,  12,
WP, 92, 2026061800, 03, FNV3, 120, 182N, 1266E, 106,  947, XX,  64, NEQ,   37,   34,   28,   32,     ,     ,  12,
WP, 92, 2026061800, 03, FNV3, 126, 188N, 1263E, 100,  951, XX,  34, NEQ,  131,  128,  104,  109,     ,     ,  14,
WP, 92, 2026061800, 03, FNV3, 126, 188N, 1263E, 100,  951, XX,  50, NEQ,   67,   63,   50,   57,     ,     ,  14,
WP, 92, 2026061800, 03, FNV3, 126, 188N, 1263E, 100,  951, XX,  64, NEQ,   38,   35,   29,   32,     ,     ,  14,
WP, 92, 2026061800, 03, FNV3, 132, 193N, 1262E, 101,  952, XX,  34, NEQ,  136,  139,  114,  114,     ,     ,  16,
