# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
WP, 33, 2025112512, 03, FNV3,  78, 124N, 1115E,  59,  988, XX,  64, NEQ,    6,    4,    3,    4,     ,     ,  20,
WP, 33, 2025112512, 03, FNV3,  84, 127N, 1112E,  57,  990, XX,  34, NEQ,   84,   70,   61,   76,     ,     ,  22,
WP, 33, 2025112512, 03, FNV3,  84, 127N, 1112E,  57,  990, XX,  50, NEQ,   25,   20,   16,   20,     ,     ,  22,
WP, 33, 2025112512, 03, FNV3,  84, 127N, 1112E,  57,  990, XX,  64, NEQ,    8,    6,    5,    6,     ,     ,  22,
WP, 33, 2025112512, 03, FNV3,  90, 131N, 1109E,  55,  991, XX,  34, NEQ,   74,   61,   53,   64,     ,     ,  20,
WP, 33, 2025112512, 03, FNV3,  90, 131N, 1109E,  55,  991, XX,  50, NEQ,   21,   18,   14,   17,     ,     ,  20,
WP, 33, 2025112512, 03, FNV3,  90, 131N, 1109E,  55,  991, XX,  64, NEQ,    4,    3,    3,    3,     ,     ,  20,
WP, 33, 2025112512, 03, FNV3,  96, 134N, 1106E,  54,  991, XX,  34, NEQ,   66,   57,   48,   57,     ,     ,  18,
WP, 33, 2025112512, 03, FNV3,  96, 134N, 1106E,  54,  991, XX,  50, NEQ,   21,   18,   15,   18,     ,     ,  18,
WP, 33, 2025112512, 03, FNV3,  96, 134N, 1106E,  54,  991, XX,  64, NEQ,    6,    5,    5,    5,     ,     ,  18,
WP, 33, 2025112512, 03, FNV3, 102, 138N, 1104E,  54,  990, XX,  34, NEQ,   58,   51,   44,   51,     ,     ,  20,
WP, 33, 2025112512, 03, FNV3, 102, 138N, 1104E,  54,  990, XX,  50, NEQ,   22,   20,   15,   19,     ,     ,  20,
WP, 33, 2025112512, 03, FNV3, 102, 138N, 1104E,  54,  990, XX,  64, NEQ,    8,    7,    6,    7,     ,     ,  20,
WP, 33, 2025112512, 03, FNV3, 108, 140N, 1101E,  53,  990, XX,  34, NEQ,   48,   43,   38,   44,     ,     ,  20,
WP, 33, 2025112512, 03, FNV3, 108, 140N, 1101E,  53,  990, XX,  50, NEQ,   18,   15,   13,   15,     ,     ,  20,
WP, 33, 2025112512, 03, FNV3, 108, 140N, 1101E,  53,  990, XX,  64, NEQ,    8,    7,    6,    7,     ,     ,  20,
WP, 33, 2025112512, 03, FNV3, 114, 143N, 1098E,  49,  993, XX,  34, NEQ,   41,   36,   32,   37,     ,     ,  23,
WP, 33, 2025112512, 03, FNV3, 114, 143N, 1098E,  49,  993, XX,  50, NEQ,   15,   13,   11,   13,     ,     ,  23,
WP, 33, 2025112512, 03, FNV3, 114, 143N, 1098E,  49,  993, XX,  64, NEQ,    6,    5,    4,    5,     ,     ,  23,
WP, 33, 2025112512, 03, FNV3, 120, 146N, 1098E,  43,  996, XX,  34, NEQ,   30,   26,   24,   28,     ,     ,  24,
WP, 33, 2025112512, 03, FNV3, 120, 146N, 1098E,  43,  996, XX,  50, NEQ,   11,   10,    8,   10,     ,     ,  24,
WP, 33, 2025112512, 03, FNV3, 120, 146N, 1098E,  43,  996, XX,  64, NEQ,    5,    4,    4,    4,     ,     ,  24,
WP, 33, 2025112512, 03, FNV3, 126, 147N, 1096E,  38,  999, XX,  34, NEQ,   26,   23,   21,   26,     ,     ,  30,
WP, 33, 2025112512, 03, FNV3, 126, 147N, 1096E,  38,  999, XX,  50, NEQ,   10,    8,    7,    8,     ,     ,  30,
WP, 33, 2025112512, 03, FNV3, 126, 147N, 1096E,  38,  999, XX,  64, NEQ,    3,    2,    2,    2,     ,     ,  30,
WP, 33, 2025112512, 03, FNV3, 132, 147N, 1093E,  32, 1003, XX,  34, NEQ,   17,   16,   15,   17,     ,     ,  35,
WP, 33, 2025112512, 03, FNV3, 132, 147N, 1093E,  32, 1003, XX,  50, NEQ,    6,    5,    4,    5,     ,     ,  35,
WP, 33, 2025112512, 03, FNV3, 132, 147N, 1093E,  32, 1003, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  35,
WP, 33, 2025112512, 03, FNV3, 138, 151N, 1099E,  31, 1004, XX,  34, NEQ,   18,   16,   15,   16,     ,     ,  30,
WP, 33, 2025112512, 03, FNV3, 138, 151N, 1099E,  31, 1004, XX,  50, NEQ,    3,    2,    2,    2,     ,     ,  30,
WP, 33, 2025112512, 03, FNV3, 138, 151N, 1099E,  31, 1004, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  30,
WP, 33, 2025112512, 03, FNV3, 144, 151N, 1101E,  28, 1004, XX,  34, NEQ,   18,   15,   14,   17,     ,     ,  34,
WP, 33, 2025112512, 03, FNV3, 144, 151N, 1101E,  28, 1004, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  34,
WP, 33, 2025112512, 03, FNV3, 150, 150N, 1105E,  25, 1006, XX,  34, NEQ,    8,    7,    6,    7,     ,     ,  35,
WP, 33, 2025112512, 03, FNV3, 150, 150N, 1105E,  25, 1006, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  35,
WP, 33, 2025112512, 03, FNV3, 156, 151N, 1105E,  24, 1007, XX,  34, NEQ,    5,    5,    4,    5,     ,     ,  32,
