# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
CP, 01, 2026082106, 03, FNV3,  90, 338N, 1762W,  45,  993, XX,  50, NEQ,    5,    0,    0,    0,     ,     ,  56,
CP, 01, 2026082106, 03, FNV3,  96, 342N, 1767W,  43,  994, XX,  34, NEQ,   90,   68,   53,   65,     ,     ,  57,
CP, 01, 2026082106, 03, FNV3,  96, 342N, 1767W,  43,  994, XX,  50, NEQ,    2,    2,    1,    2,     ,     ,  57,
CP, 01, 2026082106, 03, FNV3, 102, 346N, 1772W,  41,  996, XX,  34, NEQ,   63,   41,   32,   41,     ,     ,  51,
CP, 01, 2026082106, 03, FNV3, 102, 346N, 1772W,  41,  996, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  51,
CP, 01, 2026082106, 03, FNV3, 108, 349N, 1777W,  39,  997, XX,  34, NEQ,   63,   37,   26,   32,     ,     ,  57,
CP, 01, 2026082106, 03, FNV3, 114, 354N, 1783W,  38,  998, XX,  34, NEQ,   40,    7,    5,   10,     ,     ,  52,
CP, 01, 2026082106, 03, FNV3, 120, 359N, 1788W,  38,  998, XX,  34, NEQ,   50,   21,   13,   16,     ,     ,  54,
CP, 01, 2026082106, 03, FNV3, 126, 364N, 1795W,  38,  999, XX,  34, NEQ,   53,   24,   17,   23,     ,     ,  56,
CP, 01, 2026082106, 03, FNV3, 126, 364N, 1795W,  38,  999, XX,  50, NEQ,    0,    0,    0,    1,     ,     ,  56,
CP, 01, 2026082106, 03, FNV3, 132, 370N, 1798W,  37, 1000, XX,  34, NEQ,   43,   20,   10,   14,     ,     ,  61,
CP, 01, 2026082106, 03, FNV3, 132, 370N, 1798W,  37, 1000, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  61,
CP, 01, 2026082106, 03, FNV3, 138, 377N, 1795E,  36, 1001, XX,  34, NEQ,   38,    7,    3,    8,     ,     ,  58,
CP, 01, 2026082106, 03, FNV3, 144, 383N, 1792E,  34, 1002, XX,  34, NEQ,   22,   10,    5,    8,     ,     ,  57,
CP, 01, 2026082106, 03, FNV3, 150, 390N, 1787E,  33, 1002, XX,  34, NEQ,   11,    3,    0,    7,     ,     ,  55,
CP, 01, 2026082106, 03, FNV3, 156, 394N, 1786E,  29, 1005, XX,  34, NEQ,    9,    2,    0,    0,     ,     ,  54,
CP, 01, 2026082106, 03, FNV3, 162, 401N, 1783E,  31, 1005, XX,  34, NEQ,   18,    2,    1,    2,     ,     ,  56,
CP, 02, 2026082106, 03, FNV3,   0, 129N, 1452W,  29, 1006, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  90,
CP, 02, 2026082106, 03, FNV3,   6, 131N, 1457W,  36, 1003, XX,  34, NEQ,   22,    5,    3,    6,     ,     ,  39,
CP, 02, 2026082106, 03, FNV3,  12, 134N, 1467W,  41, 1002, XX,  34, NEQ,   42,   20,   12,   25,     ,     ,  37,
CP, 02, 2026082106, 03, FNV3,  18, 137N, 1477W,  40, 1001, XX,  34, NEQ,   45,   24,   16,   29,     ,     ,  35,
CP, 02, 2026082106, 03, FNV3,  24, 142N, 1486W,  41, 1002, XX,  34, NEQ,   46,   25,   15,   27,     ,     ,  33,
CP, 02, 2026082106, 03, FNV3,  24, 142N, 1486W,  41, 1002, XX,  50, NEQ,    0,    0,    0,    1,     ,     ,  33,
CP, 02, 2026082106, 03, FNV3,  30, 146N, 1495W,  43, 1001, XX,  34, NEQ,   61,   37,   25,   40,     ,     ,  35,
CP, 02, 2026082106, 03, FNV3,  30, 146N, 1495W,  43, 1001, XX,  50, NEQ,    1,    0,    0,    1,     ,     ,  35,
CP, 02, 2026082106, 03, FNV3,  36, 151N, 1505W,  43, 1001, XX,  34, NEQ,   61,   40,   26,   42,     ,     ,  36,
CP, 02, 2026082106, 03, FNV3,  36, 151N, 1505W,  43, 1001, XX,  50, NEQ,    2,    1,    0,    1,     ,     ,  36,
