# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 29, 2026040406, 03, FNV3,   0, 203S,  702E,  89,  971, XX,  34, NEQ,  100,   80,   50,   40,     ,     ,  10,
IO, 29, 2026040406, 03, FNV3,   6, 216S,  698E,  68,  981, XX,  34, NEQ,   82,   87,   66,   60,     ,     ,  13,
IO, 29, 2026040406, 03, FNV3,   6, 216S,  698E,  68,  981, XX,  50, NEQ,   35,   31,   23,   25,     ,     ,  13,
IO, 29, 2026040406, 03, FNV3,   6, 216S,  698E,  68,  981, XX,  64, NEQ,    9,    7,    5,    6,     ,     ,  13,
IO, 29, 2026040406, 03, FNV3,  12, 234S,  698E,  62,  986, XX,  34, NEQ,   88,   90,   70,   68,     ,     ,  18,
IO, 29, 2026040406, 03, FNV3,  12, 234S,  698E,  62,  986, XX,  50, NEQ,   34,   30,   22,   24,     ,     ,  18,
IO, 29, 2026040406, 03, FNV3,  12, 234S,  698E,  62,  986, XX,  64, NEQ,    6,    4,    3,    3,     ,     ,  18,
IO, 29, 2026040406, 03, FNV3,  18, 254S,  701E,  65,  984, XX,  34, NEQ,   81,   82,   61,   60,     ,     ,  16,
IO, 29, 2026040406, 03, FNV3,  18, 254S,  701E,  65,  984, XX,  50, NEQ,   32,   28,   21,   22,     ,     ,  16,
IO, 29, 2026040406, 03, FNV3,  18, 254S,  701E,  65,  984, XX,  64, NEQ,    8,    5,    4,    5,     ,     ,  16,
IO, 29, 2026040406, 03, FNV3,  24, 276S,  707E,  62,  985, XX,  34, NEQ,   90,   89,   68,   67,     ,     ,  19,
IO, 29, 2026040406, 03, FNV3,  24, 276S,  707E,  62,  985, XX,  50, NEQ,   34,   29,   21,   22,     ,     ,  19,
IO, 29, 2026040406, 03, FNV3,  24, 276S,  707E,  62,  985, XX,  64, NEQ,    8,    4,    3,    4,     ,     ,  19,
IO, 29, 2026040406, 03, FNV3,  30, 297S,  714E,  57,  986, XX,  34, NEQ,   85,   81,   61,   62,     ,     ,  21,
IO, 29, 2026040406, 03, FNV3,  30, 297S,  714E,  57,  986, XX,  50, NEQ,   27,   23,   16,   18,     ,     ,  21,
IO, 29, 2026040406, 03, FNV3,  30, 297S,  714E,  57,  986, XX,  64, NEQ,    3,    2,    1,    2,     ,     ,  21,
IO, 29, 2026040406, 03, FNV3,  36, 318S,  723E,  48,  994, XX,  34, NEQ,   80,   74,   55,   59,     ,     ,  26,
IO, 29, 2026040406, 03, FNV3,  36, 318S,  723E,  48,  994, XX,  50, NEQ,   12,   10,    7,    7,     ,     ,  26,
IO, 29, 2026040406, 03, FNV3,  36, 318S,  723E,  48,  994, XX,  64, NEQ,    1,    1,    0,    1,     ,     ,  26,
