# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
CP, 01, 2025072800, 03, FNV3,  96, 115N, 1718W,  36, 1004, XX,  34, NEQ,   13,    9,    6,   10,     ,     ,  37,
CP, 01, 2025072800, 03, FNV3, 102, 117N, 1736W,  34, 1005, XX,  34, NEQ,   17,   12,    7,   13,     ,     ,  45,
CP, 01, 2025072800, 03, FNV3, 102, 117N, 1736W,  34, 1005, XX,  50, NEQ,    1,    1,    0,    1,     ,     ,  45,
CP, 01, 2025072800, 03, FNV3, 108, 121N, 1757W,  36, 1004, XX,  34, NEQ,   22,   16,   10,   17,     ,     ,  43,
CP, 01, 2025072800, 03, FNV3, 108, 121N, 1757W,  36, 1004, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  43,
CP, 01, 2025072800, 03, FNV3, 114, 124N, 1774W,  38, 1003, XX,  34, NEQ,   20,   14,    9,   16,     ,     ,  40,
CP, 01, 2025072800, 03, FNV3, 114, 124N, 1774W,  38, 1003, XX,  50, NEQ,    5,    3,    3,    4,     ,     ,  40,
CP, 01, 2025072800, 03, FNV3, 114, 124N, 1774W,  38, 1003, XX,  64, NEQ,    1,    1,    0,    1,     ,     ,  40,
EP, 98, 2025072800, 03, FNV3,   0, 104N, 1305W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  30,
WP, 11, 2025072800, 03, FNV3,   0, 263N, 1279E,  35,  988, XX,  34, NEQ,  105,  140,    0,    0,     ,     ,  60,
WP, 11, 2025072800, 03, FNV3,   6, 268N, 1278E,  35,  990, XX,  34, NEQ,   21,   19,   16,   17,     ,     ,  47,
WP, 11, 2025072800, 03, FNV3,  12, 271N, 1266E,  39,  987, XX,  34, NEQ,   42,   38,   31,   35,     ,     ,  45,
WP, 11, 2025072800, 03, FNV3,  12, 271N, 1266E,  39,  987, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  45,
WP, 11, 2025072800, 03, FNV3,  18, 276N, 1253E,  40,  986, XX,  34, NEQ,   46,   41,   33,   37,     ,     ,  47,
WP, 11, 2025072800, 03, FNV3,  18, 276N, 1253E,  40,  986, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  47,
WP, 11, 2025072800, 03, FNV3,  24, 280N, 1244E,  40,  986, XX,  34, NEQ,   45,   40,   32,   37,     ,     ,  43,
WP, 11, 2025072800, 03, FNV3,  24, 280N, 1244E,  40,  986, XX,  50, NEQ,    3,    2,    1,    2,     ,     ,  43,
WP, 11, 2025072800, 03, FNV3,  30, 283N, 1237E,  41,  985, XX,  34, NEQ,   53,   49,   42,   45,     ,     ,  43,
WP, 11, 2025072800, 03, FNV3,  30, 283N, 1237E,  41,  985, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  43,
WP, 11, 2025072800, 03, FNV3,  36, 287N, 1233E,  41,  986, XX,  34, NEQ,   44,   41,   35,   38,     ,     ,  39,
WP, 11, 2025072800, 03, FNV3,  36, 287N, 1233E,  41,  986, XX,  50, NEQ,    3,    3,    2,    3,     ,     ,  39,
WP, 11, 2025072800, 03, FNV3,  42, 294N, 1227E,  42,  984, XX,  34, NEQ,   43,   39,   32,   36,     ,     ,  35,
WP, 11, 2025072800, 03, FNV3,  42, 294N, 1227E,  42,  984, XX,  50, NEQ,    6,    5,    4,    4,     ,     ,  35,
WP, 11, 2025072800, 03, FNV3,  48, 299N, 1224E,  42,  985, XX,  34, NEQ,   37,   35,   29,   31,     ,     ,  32,
WP, 11, 2025072800, 03, FNV3,  48, 299N, 1224E,  42,  985, XX,  50, NEQ,    4,    4,    3,    3,     ,     ,  32,
WP, 11, 2025072800, 03, FNV3,  54, 303N, 1220E,  40,  985, XX,  34, NEQ,   31,   29,   25,   26,     ,     ,  33,
WP, 11, 2025072800, 03, FNV3,  54, 303N, 1220E,  40,  985, XX,  50, NEQ,    2,    2,    1,    1,     ,     ,  33,
WP, 11, 2025072800, 03, FNV3,  60, 306N, 1217E,  38,  987, XX,  34, NEQ,   24,   22,   19,   20,     ,     ,  31,
WP, 11, 2025072800, 03, FNV3,  60, 306N, 1217E,  38,  987, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  31,
WP, 11, 2025072800, 03, FNV3,  66, 311N, 1212E,  36,  988, XX,  34, NEQ,   23,   21,   17,   19,     ,     ,  32,
WP, 11, 2025072800, 03, FNV3,  66, 311N, 1212E,  36,  988, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  32,
WP, 11, 2025072800, 03, FNV3,  72, 314N, 1208E,  32,  991, XX,  34, NEQ,    9,    8,    7,    7,     ,     ,  36,
WP, 11, 2025072800, 03, FNV3,  78, 318N, 1204E,  30,  992, XX,  34, NEQ,    7,    6,    6,    6,     ,     ,  37,
WP, 11, 2025072800, 03, FNV3,  84, 320N, 1201E,  27,  993, XX,  34, NEQ,    4,    4,    3,    3,     ,     ,  39,
WP, 11, 2025072800, 03, FNV3,  90, 324N, 1198E,  27,  993, XX,  34, NEQ,    5,    4,    3,    3,     ,     ,  43,
WP, 11, 2025072800, 03, FNV3,  96, 327N, 1200E,  26,  995, XX,  34, NEQ,    3,    4,    3,    3,     ,     ,  41,
WP, 11, 2025072800, 03, FNV3, 102, 329N, 1202E,  25,  994, XX,  34, NEQ,    6,    6,    5,    4,     ,     ,  41,
WP, 11, 2025072800, 03, FNV3, 108, 330N, 1205E,  25,  995, XX,  34, NEQ,    5,    5,    5,    4,     ,     ,  44,
WP, 11, 2025072800, 03, FNV3, 114, 333N, 1209E,  27,  994, XX,  34, NEQ,   11,   11,    9,    9,     ,     ,  48,
WP, 11, 2025072800, 03, FNV3, 120, 335N, 1215E,  26,  996, XX,  34, NEQ,    6,    6,    5,    5,     ,     ,  49,
WP, 11, 2025072800, 03, FNV3, 126, 336N, 1223E,  27,  995, XX,  34, NEQ,   11,   11,    9,    9,     ,     ,  48,
WP, 11, 2025072800, 03, FNV3, 132, 337N, 1232E,  28,  995, XX,  34, NEQ,   10,   10,    8,    8,     ,     ,  44,
WP, 11, 2025072800, 03, FNV3, 138, 343N, 1238E,  29,  994, XX,  34, NEQ,    8,    8,    6,    6,     ,     ,  48,
WP, 11, 2025072800, 03, FNV3, 144, 349N, 1248E,  29,  995, XX,  34, NEQ,    8,    8,    6,    7,     ,     ,  50,
WP, 11, 2025072800, 03, FNV3, 150, 352N, 1255E,  27,  996, XX,  34, NEQ,   13,   13,   12,   11,     ,     ,  54,
WP, 11, 2025072800, 03, FNV3, 156, 357N, 1264E,  27,  996, XX,  34, NEQ,    7,    6,    5,    5,     ,     ,  49,
WP, 11, 2025072800, 03, FNV3, 162, 364N, 1272E,  27,  996, XX,  34, NEQ,   11,   11,    8,    9,     ,     ,  56,
