# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
WP, 12, 2026080518, 03, FNV3,   0, 263N, 1350E,  80,  956, XX,  34, NEQ,  265,  225,  195,  250,     ,     ,   5,
WP, 12, 2026080518, 03, FNV3,   6, 262N, 1337E,  68,  965, XX,  34, NEQ,  268,  247,  224,  247,     ,     ,  46,
WP, 12, 2026080518, 03, FNV3,   6, 262N, 1337E,  68,  965, XX,  50, NEQ,  127,  118,  101,  111,     ,     ,  46,
WP, 12, 2026080518, 03, FNV3,   6, 262N, 1337E,  68,  965, XX,  64, NEQ,   44,   33,   27,   36,     ,     ,  46,
WP, 12, 2026080518, 03, FNV3,  12, 266N, 1326E,  69,  963, XX,  34, NEQ,  266,  242,  221,  243,     ,     ,  46,
WP, 12, 2026080518, 03, FNV3,  12, 266N, 1326E,  69,  963, XX,  50, NEQ,  142,  135,  117,  127,     ,     ,  46,
WP, 12, 2026080518, 03, FNV3,  12, 266N, 1326E,  69,  963, XX,  64, NEQ,   55,   51,   43,   47,     ,     ,  46,
WP, 12, 2026080518, 03, FNV3,  18, 268N, 1315E,  70,  963, XX,  34, NEQ,  258,  231,  208,  236,     ,     ,  40,
WP, 12, 2026080518, 03, FNV3,  18, 268N, 1315E,  70,  963, XX,  50, NEQ,  138,  130,  111,  123,     ,     ,  40,
WP, 12, 2026080518, 03, FNV3,  18, 268N, 1315E,  70,  963, XX,  64, NEQ,   58,   50,   42,   47,     ,     ,  40,
WP, 12, 2026080518, 03, FNV3,  24, 271N, 1302E,  70,  962, XX,  34, NEQ,  245,  218,  196,  221,     ,     ,  37,
WP, 12, 2026080518, 03, FNV3,  24, 271N, 1302E,  70,  962, XX,  50, NEQ,  127,  117,   99,  111,     ,     ,  37,
WP, 12, 2026080518, 03, FNV3,  24, 271N, 1302E,  70,  962, XX,  64, NEQ,   51,   41,   34,   38,     ,     ,  37,
WP, 12, 2026080518, 03, FNV3,  30, 272N, 1290E,  73,  960, XX,  34, NEQ,  265,  241,  218,  241,     ,     ,  46,
WP, 12, 2026080518, 03, FNV3,  30, 272N, 1290E,  73,  960, XX,  50, NEQ,  124,  113,   96,  108,     ,     ,  46,
WP, 12, 2026080518, 03, FNV3,  30, 272N, 1290E,  73,  960, XX,  64, NEQ,   54,   38,   32,   39,     ,     ,  46,
WP, 12, 2026080518, 03, FNV3,  36, 274N, 1279E,  75,  959, XX,  34, NEQ,  258,  237,  218,  239,     ,     ,  42,
WP, 12, 2026080518, 03, FNV3,  36, 274N, 1279E,  75,  959, XX,  50, NEQ,  132,  122,  106,  116,     ,     ,  42,
WP, 12, 2026080518, 03, FNV3,  36, 274N, 1279E,  75,  959, XX,  64, NEQ,   63,   50,   43,   48,     ,     ,  42,
WP, 12, 2026080518, 03, FNV3,  42, 273N, 1270E,  76,  958, XX,  34, NEQ,  261,  241,  224,  243,     ,     ,  40,
WP, 12, 2026080518, 03, FNV3,  42, 273N, 1270E,  76,  958, XX,  50, NEQ,  131,  125,  109,  119,     ,     ,  40,
WP, 12, 2026080518, 03, FNV3,  42, 273N, 1270E,  76,  958, XX,  64, NEQ,   58,   50,   42,   51,     ,     ,  40,
WP, 12, 2026080518, 03, FNV3,  48, 272N, 1262E,  73,  960, XX,  34, NEQ,  242,  222,  205,  224,     ,     ,  39,
WP, 12, 2026080518, 03, FNV3,  48, 272N, 1262E,  73,  960, XX,  50, NEQ,  116,  109,   93,  102,     ,     ,  39,
WP, 12, 2026080518, 03, FNV3,  48, 272N, 1262E,  73,  960, XX,  64, NEQ,   42,   33,   27,   35,     ,     ,  39,
WP, 12, 2026080518, 03, FNV3,  54, 271N, 1255E,  75,  958, XX,  34, NEQ,  246,  230,  215,  228,     ,     ,  39,
WP, 12, 2026080518, 03, FNV3,  54, 271N, 1255E,  75,  958, XX,  50, NEQ,  126,  120,  105,  111,     ,     ,  39,
WP, 12, 2026080518, 03, FNV3,  54, 271N, 1255E,  75,  958, XX,  64, NEQ,   56,   49,   40,   43,     ,     ,  39,
WP, 12, 2026080518, 03, FNV3,  60, 271N, 1249E,  75,  958, XX,  34, NEQ,  246,  232,  215,  228,     ,     ,  46,
WP, 12, 2026080518, 03, FNV3,  60, 271N, 1249E,  75,  958, XX,  50, NEQ,  124,  119,  105,  109,     ,     ,  46,
WP, 12, 2026080518, 03, FNV3,  60, 271N, 1249E,  75,  958, XX,  64, NEQ,   58,   50,   39,   42,     ,     ,  46,
WP, 12, 2026080518, 03, FNV3,  66, 271N, 1243E,  74,  959, XX,  34, NEQ,  233,  219,  203,  217,     ,     ,  37,
WP, 12, 2026080518, 03, FNV3,  66, 271N, 1243E,  74,  959, XX,  50, NEQ,  123,  118,  104,  111,     ,     ,  37,
WP, 12, 2026080518, 03, FNV3,  66, 271N, 1243E,  74,  959, XX,  64, NEQ,   57,   49,   41,   45,     ,     ,  37,
WP, 12, 2026080518, 03, FNV3,  72, 272N, 1237E,  71,  961, XX,  34, NEQ,  229,  214,  196,  210,     ,     ,  36,
WP, 12, 2026080518, 03, FNV3,  72, 272N, 1237E,  71,  961, XX,  50, NEQ,  115,  108,   93,  101,     ,     ,  36,
WP, 12, 2026080518, 03, FNV3,  72, 272N, 1237E,  71,  961, XX,  64, NEQ,   46,   38,   31,   37,     ,     ,  36,
WP, 12, 2026080518, 03, FNV3,  78, 273N, 1230E,  73,  961, XX,  34, NEQ,  217,  202,  184,  198,     ,     ,  37,
WP, 12, 2026080518, 03, FNV3,  78, 273N, 1230E,  73,  961, XX,  50, NEQ,  106,   97,   85,   94,     ,     ,  37,
WP, 12, 2026080518, 03, FNV3,  78, 273N, 1230E,  73,  961, XX,  64, NEQ,   45,   37,   30,   36,     ,     ,  37,
WP, 12, 2026080518, 03, FNV3,  84, 274N, 1223E,  70,  962, XX,  34, NEQ,  190,  177,  162,  172,     ,     ,  32,
WP, 12, 2026080518, 03, FNV3,  84, 274N, 1223E,  70,  962, XX,  50, NEQ,   92,   85,   73,   79,     ,     ,  32,
WP, 12, 2026080518, 03, FNV3,  84, 274N, 1223E,  70,  962, XX,  64, NEQ,   33,   29,   24,   27,     ,     ,  32,
WP, 12, 2026080518, 03, FNV3,  90, 275N, 1217E,  62,  968, XX,  34, NEQ,  183,  170,  155,  167,     ,     ,  32,
WP, 12, 2026080518, 03, FNV3,  90, 275N, 1217E,  62,  968, XX,  50, NEQ,   77,   69,   58,   65,     ,     ,  32,
WP, 12, 2026080518, 03, FNV3,  90, 275N, 1217E,  62,  968, XX,  64, NEQ,   20,   16,   14,   16,     ,     ,  32,
WP, 12, 2026080518, 03, FNV3,  96, 277N, 1209E,  57,  972, XX,  34, NEQ,  153,  140,  125,  135,     ,     ,  30,
WP, 12, 2026080518, 03, FNV3,  96, 277N, 1209E,  57,  972, XX,  50, NEQ,   46,   39,   32,   37,     ,     ,  30,
WP, 12, 2026080518, 03, FNV3,  96, 277N, 1209E,  57,  972, XX,  64, NEQ,    8,    6,    5,    6,     ,     ,  30,
WP, 12, 2026080518, 03, FNV3, 102, 280N, 1201E,  53,  975, XX,  34, NEQ,  120,  109,   96,  102,     ,     ,  28,
WP, 12, 2026080518, 03, FNV3, 102, 280N, 1201E,  53,  975, XX,  50, NEQ,   31,   26,   20,   27,     ,     ,  28,
WP, 12, 2026080518, 03, FNV3, 102, 280N, 1201E,  53,  975, XX,  64, NEQ,    5,    3,    2,    4,     ,     ,  28,
WP, 12, 2026080518, 03, FNV3, 108, 282N, 1192E,  44,  980, XX,  34, NEQ,   77,   71,   60,   64,     ,     ,  31,
WP, 12, 2026080518, 03, FNV3, 108, 282N, 1192E,  44,  980, XX,  50, NEQ,   12,    9,    7,    9,     ,     ,  31,
WP, 12, 2026080518, 03, FNV3, 108, 282N, 1192E,  44,  980, XX,  64, NEQ,    2,    2,    1,    2,     ,     ,  31,
WP, 12, 2026080518, 03, FNV3, 114, 286N, 1186E,  37,  985, XX,  34, NEQ,   53,   46,   38,   41,     ,     ,  38,
WP, 12, 2026080518, 03, FNV3, 114, 286N, 1186E,  37,  985, XX,  50, NEQ,    7,    5,    4,    5,     ,     ,  38,
WP, 12, 2026080518, 03, FNV3, 114, 286N, 1186E,  37,  985, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  38,
WP, 12, 2026080518, 03, FNV3, 120, 290N, 1178E,  32,  988, XX,  34, NEQ,   26,   24,   21,   22,     ,     ,  44,
WP, 12, 2026080518, 03, FNV3, 120, 290N, 1178E,  32,  988, XX,  50, NEQ,    2,    2,    2,    2,     ,     ,  44,
WP, 12, 2026080518, 03, FNV3, 126, 293N, 1172E,  27,  991, XX,  34, NEQ,    5,    5,    5,    5,     ,     ,  46,
WP, 12, 2026080518, 03, FNV3, 132, 296N, 1167E,  26,  992, XX,  34, NEQ,    5,    4,    3,    3,     ,     ,  47,
WP, 12, 2026080518, 03, FNV3, 138, 298N, 1166E,  23,  992, XX,  34, NEQ,    4,    2,    4,    2,     ,     ,  54,
WP, 12, 2026080518, 03, FNV3, 144, 302N, 1165E,  24,  993, XX,  34, NEQ,    4,    3,    4,    4,     ,     ,  48,
WP, 12, 2026080518, 03, FNV3, 150, 304N, 1169E,  24,  994, XX,  34, NEQ,    3,    1,    1,    1,     ,     ,  46,
WP, 12, 2026080518, 03, FNV3, 156, 307N, 1172E,  22,  996, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  43,
WP, 12, 2026080518, 03, FNV3, 162, 308N, 1176E,  23,  993, XX,  34, NEQ,    3,    3,    3,    3,     ,     ,  47,
WP, 12, 2026080518, 03, FNV3, 168, 315N, 1192E,  26,  993, XX,  34, NEQ,    2,    0,    0,    1,     ,     ,  54,
WP, 12, 2026080518, 03, FNV3, 174, 318N, 1204E,  26,  993, XX,  34, NEQ,   10,   12,    8,    8,     ,     ,  60,
WP, 12, 2026080518, 03, FNV3, 180, 322N, 1214E,  30,  990, XX,  34, NEQ,   21,   19,   15,   17,     ,     ,  54,
WP, 12, 2026080518, 03, FNV3, 180, 322N, 1214E,  30,  990, XX,  50, NEQ,    4,    3,    1,    1,     ,     ,  54,
WP, 12, 2026080518, 03, FNV3, 186, 325N, 1230E,  29,  991, XX,  34, NEQ,   19,   19,   14,   15,     ,     ,  53,
WP, 13, 2026080518, 03, FNV3,   0, 177N, 1202E,  35,  994, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,  35,
WP, 13, 2026080518, 03, FNV3,   6, 175N, 1207E,  30, 1000, XX,  34, NEQ,    3,    3,    4,    4,     ,     ,  26,
WP, 13, 2026080518, 03, FNV3,  12, 170N, 1222E,  23, 1002, XX,  34, NEQ,    1,    1,    1,    1,     ,     ,  36,
WP, 13, 2026080518, 03, FNV3,  18, 167N, 1246E,  23, 1001, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  46,
