# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 97, 2026012912, 03, FNV3, 108, 233S,  544E,  50,  994, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  27,
IO, 97, 2026012912, 03, FNV3, 114, 238S,  549E,  45,  995, XX,  34, NEQ,   55,   50,   43,   43,     ,     ,  28,
IO, 97, 2026012912, 03, FNV3, 114, 238S,  549E,  45,  995, XX,  50, NEQ,    8,    7,    5,    5,     ,     ,  28,
IO, 97, 2026012912, 03, FNV3, 114, 238S,  549E,  45,  995, XX,  64, NEQ,    1,    1,    1,    0,     ,     ,  28,
IO, 97, 2026012912, 03, FNV3, 120, 243S,  554E,  44,  996, XX,  34, NEQ,   65,   60,   49,   51,     ,     ,  33,
IO, 97, 2026012912, 03, FNV3, 120, 243S,  554E,  44,  996, XX,  50, NEQ,    8,    7,    6,    6,     ,     ,  33,
IO, 97, 2026012912, 03, FNV3, 120, 243S,  554E,  44,  996, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  33,
IO, 97, 2026012912, 03, FNV3, 126, 246S,  559E,  42,  997, XX,  34, NEQ,   49,   44,   38,   38,     ,     ,  37,
IO, 97, 2026012912, 03, FNV3, 126, 246S,  559E,  42,  997, XX,  50, NEQ,    7,    6,    5,    5,     ,     ,  37,
IO, 97, 2026012912, 03, FNV3, 126, 246S,  559E,  42,  997, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  37,
IO, 97, 2026012912, 03, FNV3, 132, 252S,  563E,  40,  997, XX,  34, NEQ,   54,   52,   41,   41,     ,     ,  38,
IO, 97, 2026012912, 03, FNV3, 132, 252S,  563E,  40,  997, XX,  50, NEQ,    6,    5,    5,    4,     ,     ,  38,
IO, 97, 2026012912, 03, FNV3, 138, 258S,  568E,  37,  999, XX,  34, NEQ,   43,   38,   31,   31,     ,     ,  43,
IO, 97, 2026012912, 03, FNV3, 138, 258S,  568E,  37,  999, XX,  50, NEQ,    3,    2,    2,    2,     ,     ,  43,
IO, 97, 2026012912, 03, FNV3, 144, 264S,  573E,  36,  999, XX,  34, NEQ,   34,   26,   22,   22,     ,     ,  45,
IO, 97, 2026012912, 03, FNV3, 144, 264S,  573E,  36,  999, XX,  50, NEQ,    3,    3,    2,    3,     ,     ,  45,
IO, 97, 2026012912, 03, FNV3, 150, 272S,  581E,  35, 1000, XX,  34, NEQ,   25,   18,   14,   15,     ,     ,  51,
IO, 97, 2026012912, 03, FNV3, 150, 272S,  581E,  35, 1000, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  51,
IO, 97, 2026012912, 03, FNV3, 150, 272S,  581E,  35, 1000, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  51,
