# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
WP, 12, 2026080718, 03, FNV3, 108, 323N, 1155E,  20,  998, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  51,
WP, 12, 2026080718, 03, FNV3, 114, 324N, 1159E,  20,  997, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  55,
WP, 12, 2026080718, 03, FNV3, 120, 328N, 1162E,  21,  997, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  48,
WP, 14, 2026080718, 03, FNV3,   0, 320N, 1581E,  29,  990, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  50,
WP, 14, 2026080718, 03, FNV3,   6, 323N, 1568E,  33,  992, XX,  34, NEQ,   20,    2,    2,    8,     ,     ,  53,
WP, 14, 2026080718, 03, FNV3,  12, 329N, 1549E,  34,  992, XX,  34, NEQ,   20,   14,   12,   16,     ,     ,  52,
WP, 14, 2026080718, 03, FNV3,  18, 328N, 1530E,  37,  990, XX,  34, NEQ,   50,   36,   33,   43,     ,     ,  44,
WP, 14, 2026080718, 03, FNV3,  24, 326N, 1519E,  37,  990, XX,  34, NEQ,   56,   46,   44,   46,     ,     ,  53,
WP, 14, 2026080718, 03, FNV3,  30, 322N, 1513E,  36,  990, XX,  34, NEQ,   21,   16,   23,   20,     ,     ,  50,
WP, 14, 2026080718, 03, FNV3,  36, 323N, 1512E,  34,  990, XX,  34, NEQ,   20,   16,   17,   17,     ,     ,  54,
WP, 14, 2026080718, 03, FNV3,  42, 328N, 1509E,  34,  991, XX,  34, NEQ,   30,   15,   13,   17,     ,     ,  58,
WP, 14, 2026080718, 03, FNV3,  48, 335N, 1504E,  36,  990, XX,  34, NEQ,   39,   26,   20,   26,     ,     ,  59,
WP, 14, 2026080718, 03, FNV3,  54, 343N, 1496E,  37,  991, XX,  34, NEQ,   43,   25,   23,   26,     ,     ,  56,
WP, 14, 2026080718, 03, FNV3,  60, 351N, 1488E,  40,  989, XX,  34, NEQ,   67,   50,   39,   48,     ,     ,  54,
WP, 14, 2026080718, 03, FNV3,  60, 351N, 1488E,  40,  989, XX,  50, NEQ,    1,    0,    0,    2,     ,     ,  54,
WP, 14, 2026080718, 03, FNV3,  66, 360N, 1478E,  43,  988, XX,  34, NEQ,   82,   64,   50,   62,     ,     ,  48,
WP, 14, 2026080718, 03, FNV3,  66, 360N, 1478E,  43,  988, XX,  50, NEQ,    2,    0,    0,    3,     ,     ,  48,
WP, 14, 2026080718, 03, FNV3,  72, 370N, 1466E,  44,  987, XX,  34, NEQ,   99,   80,   65,   78,     ,     ,  50,
WP, 14, 2026080718, 03, FNV3,  72, 370N, 1466E,  44,  987, XX,  50, NEQ,    5,    2,    2,    1,     ,     ,  50,
WP, 14, 2026080718, 03, FNV3,  78, 377N, 1450E,  44,  987, XX,  34, NEQ,  125,  105,   92,  104,     ,     ,  57,
WP, 14, 2026080718, 03, FNV3,  78, 377N, 1450E,  44,  987, XX,  50, NEQ,    8,    4,    3,    4,     ,     ,  57,
WP, 14, 2026080718, 03, FNV3,  84, 381N, 1431E,  43,  988, XX,  34, NEQ,  109,   92,   83,   97,     ,     ,  60,
WP, 14, 2026080718, 03, FNV3,  84, 381N, 1431E,  43,  988, XX,  50, NEQ,    6,    5,    6,    5,     ,     ,  60,
WP, 14, 2026080718, 03, FNV3,  90, 383N, 1411E,  40,  992, XX,  34, NEQ,   65,   52,   46,   59,     ,     ,  48,
WP, 14, 2026080718, 03, FNV3,  90, 383N, 1411E,  40,  992, XX,  50, NEQ,    5,    3,    2,    3,     ,     ,  48,
WP, 14, 2026080718, 03, FNV3,  96, 385N, 1390E,  35,  994, XX,  34, NEQ,   39,   31,   28,   33,     ,     ,  52,
WP, 14, 2026080718, 03, FNV3,  96, 385N, 1390E,  35,  994, XX,  50, NEQ,    3,    2,    1,    4,     ,     ,  52,
WP, 14, 2026080718, 03, FNV3, 102, 383N, 1371E,  33,  996, XX,  34, NEQ,   13,   10,    9,   11,     ,     ,  51,
WP, 14, 2026080718, 03, FNV3, 102, 383N, 1371E,  33,  996, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  51,
WP, 14, 2026080718, 03, FNV3, 108, 381N, 1354E,  31,  997, XX,  34, NEQ,   23,   20,   18,   19,     ,     ,  65,
