# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
CP, 90, 2026071000, 03, FNV3,   0, 113N, 1505W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  90,
WP, 09, 2026071000, 03, FNV3,   0, 208N, 1273E,  74,  964, XX,  34, NEQ,  310,  320,  295,  270,     ,     ,  55,
WP, 09, 2026071000, 03, FNV3,   6, 219N, 1270E,  88,  949, XX,  34, NEQ,  272,  264,  222,  238,     ,     ,  34,
WP, 09, 2026071000, 03, FNV3,   6, 219N, 1270E,  88,  949, XX,  50, NEQ,  127,  122,  101,  110,     ,     ,  34,
WP, 09, 2026071000, 03, FNV3,   6, 219N, 1270E,  88,  949, XX,  64, NEQ,   60,   52,   43,   46,     ,     ,  34,
WP, 09, 2026071000, 03, FNV3,  12, 227N, 1262E,  83,  953, XX,  34, NEQ,  308,  291,  249,  272,     ,     ,  39,
WP, 09, 2026071000, 03, FNV3,  12, 227N, 1262E,  83,  953, XX,  50, NEQ,  151,  144,  121,  131,     ,     ,  39,
WP, 09, 2026071000, 03, FNV3,  12, 227N, 1262E,  83,  953, XX,  64, NEQ,   66,   55,   46,   50,     ,     ,  39,
WP, 09, 2026071000, 03, FNV3,  18, 238N, 1253E,  77,  957, XX,  34, NEQ,  278,  258,  219,  242,     ,     ,  38,
WP, 09, 2026071000, 03, FNV3,  18, 238N, 1253E,  77,  957, XX,  50, NEQ,  138,  131,  108,  119,     ,     ,  38,
WP, 09, 2026071000, 03, FNV3,  18, 238N, 1253E,  77,  957, XX,  64, NEQ,   61,   50,   41,   45,     ,     ,  38,
WP, 09, 2026071000, 03, FNV3,  24, 251N, 1244E,  79,  957, XX,  34, NEQ,  273,  260,  219,  237,     ,     ,  40,
WP, 09, 2026071000, 03, FNV3,  24, 251N, 1244E,  79,  957, XX,  50, NEQ,  120,  115,   94,  102,     ,     ,  40,
WP, 09, 2026071000, 03, FNV3,  24, 251N, 1244E,  79,  957, XX,  64, NEQ,   52,   39,   32,   38,     ,     ,  40,
WP, 09, 2026071000, 03, FNV3,  30, 264N, 1232E,  79,  956, XX,  34, NEQ,  245,  229,  190,  210,     ,     ,  32,
WP, 09, 2026071000, 03, FNV3,  30, 264N, 1232E,  79,  956, XX,  50, NEQ,  117,  109,   89,   99,     ,     ,  32,
WP, 09, 2026071000, 03, FNV3,  30, 264N, 1232E,  79,  956, XX,  64, NEQ,   54,   42,   34,   38,     ,     ,  32,
WP, 09, 2026071000, 03, FNV3,  36, 273N, 1221E,  78,  957, XX,  34, NEQ,  222,  202,  171,  192,     ,     ,  28,
WP, 09, 2026071000, 03, FNV3,  36, 273N, 1221E,  78,  957, XX,  50, NEQ,  102,   93,   76,   87,     ,     ,  28,
WP, 09, 2026071000, 03, FNV3,  36, 273N, 1221E,  78,  957, XX,  64, NEQ,   43,   35,   29,   34,     ,     ,  28,
WP, 09, 2026071000, 03, FNV3,  42, 285N, 1210E,  67,  964, XX,  34, NEQ,  170,  155,  130,  143,     ,     ,  27,
WP, 09, 2026071000, 03, FNV3,  42, 285N, 1210E,  67,  964, XX,  50, NEQ,   74,   65,   53,   59,     ,     ,  27,
