# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
SH, 27, 2026032300, 03, FNV3, 102, 247S, 1143E,  63,  976, XX,  34, NEQ,  116,  129,  101,   86,     ,     ,  25,
SH, 27, 2026032300, 03, FNV3, 102, 247S, 1143E,  63,  976, XX,  50, NEQ,   43,   45,   35,   34,     ,     ,  25,
SH, 27, 2026032300, 03, FNV3, 102, 247S, 1143E,  63,  976, XX,  64, NEQ,   14,   14,   11,   11,     ,     ,  25,
SH, 27, 2026032300, 03, FNV3, 108, 267S, 1150E,  53,  983, XX,  34, NEQ,  103,  106,   82,   77,     ,     ,  32,
SH, 27, 2026032300, 03, FNV3, 108, 267S, 1150E,  53,  983, XX,  50, NEQ,   29,   28,   21,   21,     ,     ,  32,
SH, 27, 2026032300, 03, FNV3, 108, 267S, 1150E,  53,  983, XX,  64, NEQ,    9,    7,    6,    7,     ,     ,  32,
SH, 27, 2026032300, 03, FNV3, 114, 290S, 1159E,  40,  990, XX,  34, NEQ,   53,   58,   44,   38,     ,     ,  33,
SH, 27, 2026032300, 03, FNV3, 114, 290S, 1159E,  40,  990, XX,  50, NEQ,    8,    8,    6,    6,     ,     ,  33,
SH, 27, 2026032300, 03, FNV3, 114, 290S, 1159E,  40,  990, XX,  64, NEQ,    1,    2,    1,    1,     ,     ,  33,
SH, 27, 2026032300, 03, FNV3, 120, 315S, 1173E,  33,  994, XX,  34, NEQ,   16,   16,   11,    9,     ,     ,  52,
SH, 27, 2026032300, 03, FNV3, 120, 315S, 1173E,  33,  994, XX,  50, NEQ,    1,    2,    0,    0,     ,     ,  52,
SH, 27, 2026032300, 03, FNV3, 120, 315S, 1173E,  33,  994, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  52,
SH, 27, 2026032300, 03, FNV3, 126, 339S, 1192E,  32,  994, XX,  34, NEQ,   21,   19,   19,   13,     ,     ,  55,
SH, 27, 2026032300, 03, FNV3, 126, 339S, 1192E,  32,  994, XX,  50, NEQ,    0,    1,    0,    0,     ,     ,  55,
