# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
SH, 27, 2026032312, 03, FNV3,  96, 259S, 1142E,  61,  980, XX,  34, NEQ,  126,  129,  101,   94,     ,     ,  25,
SH, 27, 2026032312, 03, FNV3,  96, 259S, 1142E,  61,  980, XX,  50, NEQ,   46,   44,   33,   34,     ,     ,  25,
SH, 27, 2026032312, 03, FNV3,  96, 259S, 1142E,  61,  980, XX,  64, NEQ,   12,   10,    9,    9,     ,     ,  25,
SH, 27, 2026032312, 03, FNV3, 102, 280S, 1151E,  47,  988, XX,  34, NEQ,   96,  101,   77,   72,     ,     ,  33,
SH, 27, 2026032312, 03, FNV3, 102, 280S, 1151E,  47,  988, XX,  50, NEQ,   25,   25,   18,   20,     ,     ,  33,
SH, 27, 2026032312, 03, FNV3, 102, 280S, 1151E,  47,  988, XX,  64, NEQ,    2,    2,    2,    2,     ,     ,  33,
SH, 27, 2026032312, 03, FNV3, 108, 305S, 1166E,  36,  993, XX,  34, NEQ,   33,   35,   26,   23,     ,     ,  40,
SH, 27, 2026032312, 03, FNV3, 108, 305S, 1166E,  36,  993, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  40,
SH, 27, 2026032312, 03, FNV3, 114, 331S, 1186E,  32,  994, XX,  34, NEQ,   16,   15,    7,    7,     ,     ,  48,
SH, 27, 2026032312, 03, FNV3, 120, 354S, 1204E,  34,  992, XX,  34, NEQ,   22,   12,    5,    4,     ,     ,  61,
SH, 27, 2026032312, 03, FNV3, 126, 372S, 1221E,  35,  991, XX,  34, NEQ,   32,   21,   12,    9,     ,     ,  62,
SH, 28, 2026032312, 03, FNV3,   0, 201S, 1629E,  45,  990, XX,  34, NEQ,   80,  100,   60,   40,     ,     ,  30,
SH, 28, 2026032312, 03, FNV3,   6, 219S, 1634E,  51,  991, XX,  34, NEQ,   92,   98,   74,   67,     ,     ,  30,
SH, 28, 2026032312, 03, FNV3,   6, 219S, 1634E,  51,  991, XX,  50, NEQ,   12,   13,    7,    6,     ,     ,  30,
SH, 28, 2026032312, 03, FNV3,  12, 241S, 1637E,  48,  992, XX,  34, NEQ,   87,   91,   69,   63,     ,     ,  33,
SH, 28, 2026032312, 03, FNV3,  12, 241S, 1637E,  48,  992, XX,  50, NEQ,    7,    7,    4,    4,     ,     ,  33,
SH, 28, 2026032312, 03, FNV3,  12, 241S, 1637E,  48,  992, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  33,
SH, 28, 2026032312, 03, FNV3,  18, 267S, 1640E,  45,  992, XX,  34, NEQ,  104,  105,   83,   78,     ,     ,  40,
SH, 28, 2026032312, 03, FNV3,  18, 267S, 1640E,  45,  992, XX,  50, NEQ,    8,   11,    6,    5,     ,     ,  40,
SH, 28, 2026032312, 03, FNV3,  24, 289S, 1639E,  43,  992, XX,  34, NEQ,   75,   86,   65,   56,     ,     ,  52,
SH, 28, 2026032312, 03, FNV3,  24, 289S, 1639E,  43,  992, XX,  50, NEQ,    2,    6,    2,    2,     ,     ,  52,
SH, 28, 2026032312, 03, FNV3,  30, 307S, 1637E,  43,  992, XX,  34, NEQ,   43,   67,   38,   30,     ,     ,  51,
SH, 28, 2026032312, 03, FNV3,  30, 307S, 1637E,  43,  992, XX,  50, NEQ,    2,    4,    2,    2,     ,     ,  51,
SH, 28, 2026032312, 03, FNV3,  36, 323S, 1636E,  39,  993, XX,  34, NEQ,   21,   37,   24,   11,     ,     ,  58,
SH, 28, 2026032312, 03, FNV3,  42, 340S, 1638E,  41,  990, XX,  34, NEQ,   28,   34,   24,   11,     ,     ,  55,
SH, 28, 2026032312, 03, FNV3,  42, 340S, 1638E,  41,  990, XX,  50, NEQ,    0,    2,    1,    0,     ,     ,  55,
SH, 28, 2026032312, 03, FNV3,  48, 354S, 1640E,  40,  988, XX,  34, NEQ,   32,   22,   21,   10,     ,     ,  62,
SH, 28, 2026032312, 03, FNV3,  54, 367S, 1647E,  37,  989, XX,  34, NEQ,   30,   19,   32,   14,     ,     ,  65,
SH, 28, 2026032312, 03, FNV3,  60, 380S, 1652E,  36,  986, XX,  34, NEQ,   31,   11,    6,    1,     ,     ,  62,
SH, 28, 2026032312, 03, FNV3,  66, 395S, 1658E,  36,  988, XX,  34, NEQ,   26,   16,    1,    1,     ,     ,  59,
SH, 28, 2026032312, 03, FNV3,  72, 411S, 1660E,  36,  988, XX,  34, NEQ,   20,   15,   11,    0,     ,     ,  53,
