# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
SH, 27, 2026032112, 03, FNV3,   0, 131S, 1368E,  80,  973, XX,  34, NEQ,  110,  110,  110,  100,     ,     ,  25,
SH, 27, 2026032112, 03, FNV3,   6, 135S, 1359E,  74,  976, XX,  34, NEQ,   82,  103,   95,   73,     ,     ,  16,
SH, 27, 2026032112, 03, FNV3,   6, 135S, 1359E,  74,  976, XX,  50, NEQ,   38,   45,   41,   33,     ,     ,  16,
SH, 27, 2026032112, 03, FNV3,   6, 135S, 1359E,  74,  976, XX,  64, NEQ,   13,   16,   14,   11,     ,     ,  16,
SH, 27, 2026032112, 03, FNV3,  12, 138S, 1345E,  56,  987, XX,  34, NEQ,   59,   68,   61,   51,     ,     ,  21,
SH, 27, 2026032112, 03, FNV3,  12, 138S, 1345E,  56,  987, XX,  50, NEQ,   13,   18,   14,   10,     ,     ,  21,
SH, 27, 2026032112, 03, FNV3,  12, 138S, 1345E,  56,  987, XX,  64, NEQ,    1,    2,    1,    0,     ,     ,  21,
SH, 27, 2026032112, 03, FNV3,  18, 140S, 1331E,  43,  993, XX,  34, NEQ,   37,   43,   35,   30,     ,     ,  22,
SH, 27, 2026032112, 03, FNV3,  18, 140S, 1331E,  43,  993, XX,  50, NEQ,    4,    5,    4,    3,     ,     ,  22,
SH, 27, 2026032112, 03, FNV3,  18, 140S, 1331E,  43,  993, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  22,
SH, 27, 2026032112, 03, FNV3,  24, 141S, 1317E,  35,  997, XX,  34, NEQ,   25,   27,   21,   22,     ,     ,  33,
SH, 27, 2026032112, 03, FNV3,  30, 143S, 1304E,  33,  997, XX,  34, NEQ,   11,   14,    9,    9,     ,     ,  33,
