# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 09, 2026010512, 03, FNV3,   0, 167S,  553E,  25, 1005, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,  45,
IO, 09, 2026010512, 03, FNV3,   6, 167S,  542E,  30, 1004, XX,  34, NEQ,    0,    2,    2,    0,     ,     ,  30,
IO, 09, 2026010512, 03, FNV3,  12, 169S,  531E,  31, 1004, XX,  34, NEQ,    5,    8,    4,    4,     ,     ,  29,
IO, 09, 2026010512, 03, FNV3,  18, 173S,  521E,  29, 1004, XX,  34, NEQ,    2,    2,    2,    2,     ,     ,  25,
IO, 09, 2026010512, 03, FNV3,  24, 177S,  513E,  26, 1005, XX,  34, NEQ,    2,    2,    2,    2,     ,     ,  33,
IO, 09, 2026010512, 03, FNV3,  30, 183S,  503E,  25, 1006, XX,  34, NEQ,    1,    1,    0,    0,     ,     ,  36,
IO, 09, 2026010512, 03, FNV3,  36, 191S,  497E,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  35,
IO, 09, 2026010512, 03, FNV3,  42, 199S,  491E,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  41,
IO, 12, 2026010512, 03, FNV3,   0, 135S,  967E,  45,  998, XX,  34, NEQ,  125,   90,   50,  100,     ,     ,  35,
IO, 12, 2026010512, 03, FNV3,   6, 144S,  962E,  69,  984, XX,  34, NEQ,   77,   87,   72,   62,     ,     ,  15,
IO, 12, 2026010512, 03, FNV3,   6, 144S,  962E,  69,  984, XX,  50, NEQ,   37,   37,   29,   29,     ,     ,  15,
IO, 12, 2026010512, 03, FNV3,   6, 144S,  962E,  69,  984, XX,  64, NEQ,   11,    9,    7,    7,     ,     ,  15,
IO, 12, 2026010512, 03, FNV3,  12, 150S,  955E,  71,  981, XX,  34, NEQ,   79,   98,   83,   64,     ,     ,  13,
IO, 12, 2026010512, 03, FNV3,  12, 150S,  955E,  71,  981, XX,  50, NEQ,   35,   39,   32,   28,     ,     ,  13,
IO, 12, 2026010512, 03, FNV3,  12, 150S,  955E,  71,  981, XX,  64, NEQ,   12,   13,   10,    9,     ,     ,  13,
IO, 12, 2026010512, 03, FNV3,  18, 157S,  948E,  75,  979, XX,  34, NEQ,   81,  103,   91,   67,     ,     ,  14,
IO, 12, 2026010512, 03, FNV3,  18, 157S,  948E,  75,  979, XX,  50, NEQ,   39,   45,   39,   33,     ,     ,  14,
IO, 12, 2026010512, 03, FNV3,  18, 157S,  948E,  75,  979, XX,  64, NEQ,   16,   19,   14,   13,     ,     ,  14,
IO, 12, 2026010512, 03, FNV3,  24, 162S,  941E,  75,  978, XX,  34, NEQ,   84,  108,   96,   70,     ,     ,  13,
IO, 12, 2026010512, 03, FNV3,  24, 162S,  941E,  75,  978, XX,  50, NEQ,   41,   46,   40,   35,     ,     ,  13,
IO, 12, 2026010512, 03, FNV3,  24, 162S,  941E,  75,  978, XX,  64, NEQ,   16,   18,   15,   14,     ,     ,  13,
IO, 12, 2026010512, 03, FNV3,  30, 168S,  933E,  69,  982, XX,  34, NEQ,   80,  102,   90,   65,     ,     ,  14,
IO, 12, 2026010512, 03, FNV3,  30, 168S,  933E,  69,  982, XX,  50, NEQ,   35,   40,   35,   29,     ,     ,  14,
IO, 12, 2026010512, 03, FNV3,  30, 168S,  933E,  69,  982, XX,  64, NEQ,   12,   14,   11,   11,     ,     ,  14,
IO, 12, 2026010512, 03, FNV3,  36, 172S,  927E,  59,  989, XX,  34, NEQ,   91,  109,   94,   74,     ,     ,  18,
IO, 12, 2026010512, 03, FNV3,  36, 172S,  927E,  59,  989, XX,  50, NEQ,   26,   29,   25,   20,     ,     ,  18,
IO, 12, 2026010512, 03, FNV3,  36, 172S,  927E,  59,  989, XX,  64, NEQ,    6,    6,    6,    5,     ,     ,  18,
IO, 12, 2026010512, 03, FNV3,  42, 177S,  920E,  53,  992, XX,  34, NEQ,   76,   93,   81,   61,     ,     ,  20,
