# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 22, 2026022012, 03, FNV3,   0, 154S,  756E,  45,  999, XX,  34, NEQ,   70,  150,   95,   95,     ,     ,  55,
IO, 22, 2026022012, 03, FNV3,   6, 160S,  750E,  42,  998, XX,  34, NEQ,   40,   41,   38,   33,     ,     ,  30,
IO, 22, 2026022012, 03, FNV3,   6, 160S,  750E,  42,  998, XX,  50, NEQ,    1,    1,    2,    1,     ,     ,  30,
IO, 22, 2026022012, 03, FNV3,  12, 161S,  742E,  45,  995, XX,  34, NEQ,   46,   54,   45,   41,     ,     ,  26,
IO, 22, 2026022012, 03, FNV3,  12, 161S,  742E,  45,  995, XX,  50, NEQ,    3,    5,    3,    2,     ,     ,  26,
IO, 22, 2026022012, 03, FNV3,  18, 163S,  737E,  51,  993, XX,  34, NEQ,   54,   60,   57,   49,     ,     ,  20,
IO, 22, 2026022012, 03, FNV3,  18, 163S,  737E,  51,  993, XX,  50, NEQ,   10,   11,    9,    7,     ,     ,  20,
IO, 22, 2026022012, 03, FNV3,  18, 163S,  737E,  51,  993, XX,  64, NEQ,    1,    1,    1,    0,     ,     ,  20,
IO, 22, 2026022012, 03, FNV3,  24, 164S,  729E,  55,  990, XX,  34, NEQ,   55,   65,   61,   50,     ,     ,  18,
IO, 22, 2026022012, 03, FNV3,  24, 164S,  729E,  55,  990, XX,  50, NEQ,   12,   14,   13,   10,     ,     ,  18,
IO, 22, 2026022012, 03, FNV3,  24, 164S,  729E,  55,  990, XX,  64, NEQ,    2,    2,    2,    1,     ,     ,  18,
IO, 22, 2026022012, 03, FNV3,  30, 165S,  720E,  56,  991, XX,  34, NEQ,   61,   71,   70,   58,     ,     ,  18,
IO, 22, 2026022012, 03, FNV3,  30, 165S,  720E,  56,  991, XX,  50, NEQ,   17,   21,   17,   14,     ,     ,  18,
IO, 22, 2026022012, 03, FNV3,  30, 165S,  720E,  56,  991, XX,  64, NEQ,    2,    2,    2,    2,     ,     ,  18,
IO, 22, 2026022012, 03, FNV3,  36, 167S,  712E,  61,  988, XX,  34, NEQ,   55,   72,   68,   51,     ,     ,  13,
IO, 22, 2026022012, 03, FNV3,  36, 167S,  712E,  61,  988, XX,  50, NEQ,   20,   25,   22,   16,     ,     ,  13,
IO, 22, 2026022012, 03, FNV3,  36, 167S,  712E,  61,  988, XX,  64, NEQ,    3,    5,    4,    3,     ,     ,  13,
IO, 22, 2026022012, 03, FNV3,  42, 171S,  702E,  64,  986, XX,  34, NEQ,   55,   75,   73,   52,     ,     ,  14,
IO, 22, 2026022012, 03, FNV3,  42, 171S,  702E,  64,  986, XX,  50, NEQ,   27,   32,   27,   22,     ,     ,  14,
IO, 22, 2026022012, 03, FNV3,  42, 171S,  702E,  64,  986, XX,  64, NEQ,    5,    7,    6,    5,     ,     ,  14,
IO, 22, 2026022012, 03, FNV3,  48, 176S,  692E,  71,  981, XX,  34, NEQ,   57,   80,   76,   50,     ,     ,  10,
IO, 22, 2026022012, 03, FNV3,  48, 176S,  692E,  71,  981, XX,  50, NEQ,   28,   33,   30,   23,     ,     ,  10,
IO, 22, 2026022012, 03, FNV3,  48, 176S,  692E,  71,  981, XX,  64, NEQ,   10,   12,   10,    9,     ,     ,  10,
IO, 22, 2026022012, 03, FNV3,  54, 180S,  682E,  79,  977, XX,  34, NEQ,   57,   81,   80,   52,     ,     ,  13,
IO, 22, 2026022012, 03, FNV3,  54, 180S,  682E,  79,  977, XX,  50, NEQ,   31,   37,   36,   27,     ,     ,  13,
IO, 22, 2026022012, 03, FNV3,  54, 180S,  682E,  79,  977, XX,  64, NEQ,   17,   18,   16,   15,     ,     ,  13,
IO, 22, 2026022012, 03, FNV3,  60, 186S,  673E,  90,  968, XX,  34, NEQ,   57,   84,   79,   50,     ,     ,   8,
IO, 22, 2026022012, 03, FNV3,  60, 186S,  673E,  90,  968, XX,  50, NEQ,   34,   40,   37,   29,     ,     ,   8,
IO, 22, 2026022012, 03, FNV3,  60, 186S,  673E,  90,  968, XX,  64, NEQ,   20,   21,   19,   18,     ,     ,   8,
IO, 22, 2026022012, 03, FNV3,  66, 193S,  664E,  96,  962, XX,  34, NEQ,   61,   89,   84,   52,     ,     ,   9,
IO, 22, 2026022012, 03, FNV3,  66, 193S,  664E,  96,  962, XX,  50, NEQ,   35,   41,   38,   30,     ,     ,   9,
IO, 22, 2026022012, 03, FNV3,  66, 193S,  664E,  96,  962, XX,  64, NEQ,   22,   23,   20,   19,     ,     ,   9,
IO, 22, 2026022012, 03, FNV3,  72, 200S,  658E, 103,  956, XX,  34, NEQ,   70,  100,   90,   59,     ,     ,  10,
IO, 22, 2026022012, 03, FNV3,  72, 200S,  658E, 103,  956, XX,  50, NEQ,   40,   47,   43,   34,     ,     ,  10,
IO, 22, 2026022012, 03, FNV3,  72, 200S,  658E, 103,  956, XX,  64, NEQ,   26,   26,   23,   22,     ,     ,  10,
IO, 22, 2026022012, 03, FNV3,  78, 208S,  652E, 103,  956, XX,  34, NEQ,   73,   99,   90,   61,     ,     ,  11,
IO, 22, 2026022012, 03, FNV3,  78, 208S,  652E, 103,  956, XX,  50, NEQ,   42,   47,   43,   36,     ,     ,  11,
IO, 22, 2026022012, 03, FNV3,  78, 208S,  652E, 103,  956, XX,  64, NEQ,   26,   26,   23,   23,     ,     ,  11,
IO, 22, 2026022012, 03, FNV3,  84, 216S,  647E,  96,  962, XX,  34, NEQ,   74,   99,   83,   57,     ,     ,  11,
IO, 22, 2026022012, 03, FNV3,  84, 216S,  647E,  96,  962, XX,  50, NEQ,   40,   44,   39,   33,     ,     ,  11,
IO, 22, 2026022012, 03, FNV3,  84, 216S,  647E,  96,  962, XX,  64, NEQ,   23,   24,   20,   20,     ,     ,  11,
IO, 22, 2026022012, 03, FNV3,  90, 225S,  645E,  89,  967, XX,  34, NEQ,   75,   98,   84,   59,     ,     ,  14,
IO, 22, 2026022012, 03, FNV3,  90, 225S,  645E,  89,  967, XX,  50, NEQ,   41,   45,   39,   34,     ,     ,  14,
IO, 22, 2026022012, 03, FNV3,  90, 225S,  645E,  89,  967, XX,  64, NEQ,   24,   26,   21,   21,     ,     ,  14,
IO, 22, 2026022012, 03, FNV3,  96, 234S,  644E,  84,  970, XX,  34, NEQ,   81,   96,   79,   61,     ,     ,  12,
IO, 22, 2026022012, 03, FNV3,  96, 234S,  644E,  84,  970, XX,  50, NEQ,   41,   43,   37,   34,     ,     ,  12,
IO, 22, 2026022012, 03, FNV3,  96, 234S,  644E,  84,  970, XX,  64, NEQ,   23,   23,   19,   20,     ,     ,  12,
IO, 22, 2026022012, 03, FNV3, 102, 244S,  646E,  77,  976, XX,  34, NEQ,   77,   86,   71,   60,     ,     ,  13,
IO, 22, 2026022012, 03, FNV3, 102, 244S,  646E,  77,  976, XX,  50, NEQ,   39,   38,   32,   32,     ,     ,  13,
IO, 22, 2026022012, 03, FNV3, 102, 244S,  646E,  77,  976, XX,  64, NEQ,   17,   16,   13,   14,     ,     ,  13,
IO, 22, 2026022012, 03, FNV3, 108, 254S,  650E,  67,  984, XX,  34, NEQ,   80,   87,   70,   62,     ,     ,  14,
IO, 22, 2026022012, 03, FNV3, 108, 254S,  650E,  67,  984, XX,  50, NEQ,   35,   33,   27,   28,     ,     ,  14,
IO, 22, 2026022012, 03, FNV3, 108, 254S,  650E,  67,  984, XX,  64, NEQ,   13,   12,   10,   11,     ,     ,  14,
IO, 22, 2026022012, 03, FNV3, 114, 265S,  656E,  59,  989, XX,  34, NEQ,   87,   89,   73,   69,     ,     ,  20,
IO, 22, 2026022012, 03, FNV3, 114, 265S,  656E,  59,  989, XX,  50, NEQ,   34,   33,   26,   27,     ,     ,  20,
IO, 22, 2026022012, 03, FNV3, 114, 265S,  656E,  59,  989, XX,  64, NEQ,    7,    7,    6,    6,     ,     ,  20,
IO, 22, 2026022012, 03, FNV3, 120, 275S,  663E,  53,  993, XX,  34, NEQ,   85,   82,   67,   67,     ,     ,  23,
IO, 22, 2026022012, 03, FNV3, 120, 275S,  663E,  53,  993, XX,  50, NEQ,   22,   21,   16,   17,     ,     ,  23,
IO, 22, 2026022012, 03, FNV3, 120, 275S,  663E,  53,  993, XX,  64, NEQ,    3,    2,    2,    2,     ,     ,  23,
IO, 22, 2026022012, 03, FNV3, 126, 283S,  668E,  46,  997, XX,  34, NEQ,   60,   56,   46,   48,     ,     ,  30,
IO, 22, 2026022012, 03, FNV3, 126, 283S,  668E,  46,  997, XX,  50, NEQ,   10,    6,    5,    5,     ,     ,  30,
IO, 22, 2026022012, 03, FNV3, 126, 283S,  668E,  46,  997, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  30,
IO, 22, 2026022012, 03, FNV3, 132, 287S,  671E,  41, 1000, XX,  34, NEQ,   45,   42,   32,   33,     ,     ,  35,
IO, 22, 2026022012, 03, FNV3, 132, 287S,  671E,  41, 1000, XX,  50, NEQ,    3,    5,    3,    2,     ,     ,  35,
IO, 22, 2026022012, 03, FNV3, 132, 287S,  671E,  41, 1000, XX,  64, NEQ,    0,    0,    1,    0,     ,     ,  35,
IO, 22, 2026022012, 03, FNV3, 138, 291S,  673E,  36, 1001, XX,  34, NEQ,   24,   19,   17,   19,     ,     ,  40,
IO, 22, 2026022012, 03, FNV3, 138, 291S,  673E,  36, 1001, XX,  50, NEQ,    0,    1,    0,    0,     ,     ,  40,
IO, 22, 2026022012, 03, FNV3, 144, 293S,  671E,  35, 1002, XX,  34, NEQ,   21,   20,   16,   15,     ,     ,  39,
IO, 22, 2026022012, 03, FNV3, 144, 293S,  671E,  35, 1002, XX,  50, NEQ,    0,    0,    0,    1,     ,     ,  39,
IO, 22, 2026022012, 03, FNV3, 150, 295S,  662E,  34, 1002, XX,  34, NEQ,   14,   17,   12,   11,     ,     ,  40,
IO, 22, 2026022012, 03, FNV3, 150, 295S,  662E,  34, 1002, XX,  50, NEQ,    0,    0,    1,    0,     ,     ,  40,
IO, 22, 2026022012, 03, FNV3, 156, 301S,  655E,  35, 1003, XX,  34, NEQ,   14,   24,   16,   11,     ,     ,  42,
IO, 22, 2026022012, 03, FNV3, 156, 301S,  655E,  35, 1003, XX,  50, NEQ,    0,    1,    0,    0,     ,     ,  42,
IO, 22, 2026022012, 03, FNV3, 162, 307S,  650E,  33, 1003, XX,  34, NEQ,    8,   17,    6,    7,     ,     ,  41,
IO, 22, 2026022012, 03, FNV3, 168, 314S,  645E,  33, 1003, XX,  34, NEQ,   11,   14,    5,    4,     ,     ,  45,
IO, 22, 2026022012, 03, FNV3, 174, 317S,  640E,  33, 1003, XX,  34, NEQ,    8,    9,    7,    6,     ,     ,  45,
IO, 22, 2026022012, 03, FNV3, 174, 317S,  640E,  33, 1003, XX,  50, NEQ,    0,    1,    0,    0,     ,     ,  45,
IO, 22, 2026022012, 03, FNV3, 180, 319S,  638E,  34, 1002, XX,  34, NEQ,   16,   14,   13,    9,     ,     ,  52,
