# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
SH, 27, 2026032206, 03, FNV3, 114, 243S, 1148E,  60,  979, XX,  34, NEQ,  102,  117,   92,   77,     ,     ,  29,
SH, 27, 2026032206, 03, FNV3, 114, 243S, 1148E,  60,  979, XX,  50, NEQ,   28,   33,   24,   21,     ,     ,  29,
SH, 27, 2026032206, 03, FNV3, 114, 243S, 1148E,  60,  979, XX,  64, NEQ,    9,   10,    7,    7,     ,     ,  29,
SH, 27, 2026032206, 03, FNV3, 120, 262S, 1151E,  50,  984, XX,  34, NEQ,   88,   95,   75,   66,     ,     ,  29,
SH, 27, 2026032206, 03, FNV3, 120, 262S, 1151E,  50,  984, XX,  50, NEQ,   27,   29,   23,   22,     ,     ,  29,
SH, 27, 2026032206, 03, FNV3, 120, 262S, 1151E,  50,  984, XX,  64, NEQ,    9,   10,    8,    8,     ,     ,  29,
SH, 27, 2026032206, 03, FNV3, 126, 281S, 1158E,  44,  990, XX,  34, NEQ,   59,   60,   46,   41,     ,     ,  39,
SH, 27, 2026032206, 03, FNV3, 126, 281S, 1158E,  44,  990, XX,  50, NEQ,   15,   18,   12,   12,     ,     ,  39,
SH, 27, 2026032206, 03, FNV3, 126, 281S, 1158E,  44,  990, XX,  64, NEQ,    5,    4,    4,    4,     ,     ,  39,
SH, 27, 2026032206, 03, FNV3, 132, 303S, 1166E,  38,  992, XX,  34, NEQ,   49,   53,   40,   34,     ,     ,  51,
SH, 27, 2026032206, 03, FNV3, 132, 303S, 1166E,  38,  992, XX,  50, NEQ,   10,   10,    9,    8,     ,     ,  51,
SH, 27, 2026032206, 03, FNV3, 132, 303S, 1166E,  38,  992, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  51,
SH, 27, 2026032206, 03, FNV3, 138, 329S, 1174E,  35,  992, XX,  34, NEQ,   27,   25,   19,   14,     ,     ,  50,
