# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
SH, 27, 2026032212, 03, FNV3, 108, 236S, 1146E,  66,  975, XX,  34, NEQ,  115,  132,  105,   87,     ,     ,  22,
SH, 27, 2026032212, 03, FNV3, 108, 236S, 1146E,  66,  975, XX,  50, NEQ,   38,   41,   32,   29,     ,     ,  22,
SH, 27, 2026032212, 03, FNV3, 108, 236S, 1146E,  66,  975, XX,  64, NEQ,   12,   12,    9,    8,     ,     ,  22,
SH, 27, 2026032212, 03, FNV3, 114, 255S, 1148E,  55,  982, XX,  34, NEQ,  114,  125,   97,   86,     ,     ,  26,
SH, 27, 2026032212, 03, FNV3, 114, 255S, 1148E,  55,  982, XX,  50, NEQ,   31,   33,   25,   24,     ,     ,  26,
SH, 27, 2026032212, 03, FNV3, 114, 255S, 1148E,  55,  982, XX,  64, NEQ,   10,    8,    7,    7,     ,     ,  26,
SH, 27, 2026032212, 03, FNV3, 120, 276S, 1154E,  46,  988, XX,  34, NEQ,   79,   80,   61,   57,     ,     ,  36,
SH, 27, 2026032212, 03, FNV3, 120, 276S, 1154E,  46,  988, XX,  50, NEQ,   20,   21,   15,   15,     ,     ,  36,
SH, 27, 2026032212, 03, FNV3, 120, 276S, 1154E,  46,  988, XX,  64, NEQ,    4,    2,    2,    2,     ,     ,  36,
SH, 27, 2026032212, 03, FNV3, 126, 301S, 1160E,  37,  994, XX,  34, NEQ,   51,   53,   44,   38,     ,     ,  44,
SH, 27, 2026032212, 03, FNV3, 126, 301S, 1160E,  37,  994, XX,  50, NEQ,    6,    7,    5,    5,     ,     ,  44,
SH, 27, 2026032212, 03, FNV3, 126, 301S, 1160E,  37,  994, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  44,
SH, 27, 2026032212, 03, FNV3, 132, 327S, 1170E,  30,  997, XX,  34, NEQ,   16,   11,   10,    7,     ,     ,  59,
SH, 27, 2026032212, 03, FNV3, 132, 327S, 1170E,  30,  997, XX,  50, NEQ,    2,    3,    2,    2,     ,     ,  59,
SH, 27, 2026032212, 03, FNV3, 138, 352S, 1186E,  32,  994, XX,  34, NEQ,   11,   12,    5,    2,     ,     ,  60,
SH, 27, 2026032212, 03, FNV3, 144, 369S, 1198E,  35,  991, XX,  34, NEQ,   21,    5,    3,    0,     ,     ,  60,
SH, 27, 2026032212, 03, FNV3, 150, 380S, 1210E,  33,  991, XX,  34, NEQ,   12,    8,    1,    1,     ,     ,  74,
SH, 98, 2026032212, 03, FNV3,   0, 141S, 1616E,  29, 1000, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,  50,
SH, 98, 2026032212, 03, FNV3,   6, 154S, 1623E,  34,  998, XX,  34, NEQ,   19,    8,    5,    8,     ,     ,  40,
SH, 98, 2026032212, 03, FNV3,  12, 167S, 1626E,  39,  998, XX,  34, NEQ,   33,   27,   18,   19,     ,     ,  39,
SH, 98, 2026032212, 03, FNV3,  18, 183S, 1629E,  42,  995, XX,  34, NEQ,   48,   38,   27,   26,     ,     ,  44,
SH, 98, 2026032212, 03, FNV3,  18, 183S, 1629E,  42,  995, XX,  50, NEQ,    2,    2,    1,    1,     ,     ,  44,
