# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
SH, 30, 2026040400, 03, FNV3,  36,  94S, 1545E,  76,  976, XX,  34, NEQ,  114,  115,  107,  102,     ,     ,  21,
SH, 30, 2026040400, 03, FNV3,  36,  94S, 1545E,  76,  976, XX,  50, NEQ,   51,   50,   43,   43,     ,     ,  21,
SH, 30, 2026040400, 03, FNV3,  36,  94S, 1545E,  76,  976, XX,  64, NEQ,   20,   17,   14,   14,     ,     ,  21,
SH, 30, 2026040400, 03, FNV3,  42,  95S, 1547E,  80,  971, XX,  34, NEQ,  119,  120,  114,  106,     ,     ,  18,
SH, 30, 2026040400, 03, FNV3,  42,  95S, 1547E,  80,  971, XX,  50, NEQ,   55,   56,   49,   49,     ,     ,  18,
SH, 30, 2026040400, 03, FNV3,  42,  95S, 1547E,  80,  971, XX,  64, NEQ,   25,   22,   20,   20,     ,     ,  18,
SH, 30, 2026040400, 03, FNV3,  48,  97S, 1550E,  84,  968, XX,  34, NEQ,  113,  114,  111,  103,     ,     ,  16,
SH, 30, 2026040400, 03, FNV3,  48,  97S, 1550E,  84,  968, XX,  50, NEQ,   56,   54,   49,   50,     ,     ,  16,
SH, 30, 2026040400, 03, FNV3,  48,  97S, 1550E,  84,  968, XX,  64, NEQ,   27,   24,   21,   22,     ,     ,  16,
SH, 30, 2026040400, 03, FNV3,  54,  98S, 1553E,  83,  968, XX,  34, NEQ,  121,  116,  111,  110,     ,     ,  16,
SH, 30, 2026040400, 03, FNV3,  54,  98S, 1553E,  83,  968, XX,  50, NEQ,   59,   56,   50,   51,     ,     ,  16,
SH, 30, 2026040400, 03, FNV3,  54,  98S, 1553E,  83,  968, XX,  64, NEQ,   26,   24,   20,   22,     ,     ,  16,
SH, 30, 2026040400, 03, FNV3,  60,  99S, 1557E,  81,  971, XX,  34, NEQ,  108,  103,  103,  100,     ,     ,  18,
SH, 30, 2026040400, 03, FNV3,  60,  99S, 1557E,  81,  971, XX,  50, NEQ,   54,   52,   48,   48,     ,     ,  18,
SH, 30, 2026040400, 03, FNV3,  60,  99S, 1557E,  81,  971, XX,  64, NEQ,   27,   25,   22,   24,     ,     ,  18,
SH, 30, 2026040400, 03, FNV3,  66,  99S, 1560E,  80,  971, XX,  34, NEQ,  102,  101,  102,   95,     ,     ,  16,
SH, 30, 2026040400, 03, FNV3,  66,  99S, 1560E,  80,  971, XX,  50, NEQ,   53,   52,   48,   47,     ,     ,  16,
SH, 30, 2026040400, 03, FNV3,  66,  99S, 1560E,  80,  971, XX,  64, NEQ,   26,   24,   21,   22,     ,     ,  16,
SH, 30, 2026040400, 03, FNV3,  72,  98S, 1562E,  86,  966, XX,  34, NEQ,   97,   96,  100,   95,     ,     ,  17,
SH, 30, 2026040400, 03, FNV3,  72,  98S, 1562E,  86,  966, XX,  50, NEQ,   49,   47,   44,   45,     ,     ,  17,
SH, 30, 2026040400, 03, FNV3,  72,  98S, 1562E,  86,  966, XX,  64, NEQ,   22,   21,   18,   19,     ,     ,  17,
SH, 30, 2026040400, 03, FNV3,  78,  97S, 1563E,  82,  969, XX,  34, NEQ,   96,   97,  104,   96,     ,     ,  16,
SH, 30, 2026040400, 03, FNV3,  78,  97S, 1563E,  82,  969, XX,  50, NEQ,   50,   50,   48,   46,     ,     ,  16,
SH, 30, 2026040400, 03, FNV3,  78,  97S, 1563E,  82,  969, XX,  64, NEQ,   25,   25,   22,   22,     ,     ,  16,
SH, 30, 2026040400, 03, FNV3,  84,  95S, 1564E,  82,  969, XX,  34, NEQ,   91,   95,  103,   94,     ,     ,  16,
SH, 30, 2026040400, 03, FNV3,  84,  95S, 1564E,  82,  969, XX,  50, NEQ,   46,   46,   45,   43,     ,     ,  16,
SH, 30, 2026040400, 03, FNV3,  84,  95S, 1564E,  82,  969, XX,  64, NEQ,   22,   22,   20,   20,     ,     ,  16,
SH, 30, 2026040400, 03, FNV3,  90,  93S, 1564E,  85,  966, XX,  34, NEQ,   89,   94,  102,   90,     ,     ,  15,
SH, 30, 2026040400, 03, FNV3,  90,  93S, 1564E,  85,  966, XX,  50, NEQ,   45,   48,   45,   42,     ,     ,  15,
SH, 30, 2026040400, 03, FNV3,  90,  93S, 1564E,  85,  966, XX,  64, NEQ,   23,   23,   20,   21,     ,     ,  15,
SH, 30, 2026040400, 03, FNV3,  96,  91S, 1563E,  87,  965, XX,  34, NEQ,   86,   97,  106,   88,     ,     ,  14,
SH, 30, 2026040400, 03, FNV3,  96,  91S, 1563E,  87,  965, XX,  50, NEQ,   41,   45,   43,   38,     ,     ,  14,
SH, 30, 2026040400, 03, FNV3,  96,  91S, 1563E,  87,  965, XX,  64, NEQ,   18,   19,   18,   17,     ,     ,  14,
SH, 30, 2026040400, 03, FNV3, 102,  90S, 1561E,  87,  964, XX,  34, NEQ,   99,  111,  118,   98,     ,     ,  16,
SH, 30, 2026040400, 03, FNV3, 102,  90S, 1561E,  87,  964, XX,  50, NEQ,   51,   56,   53,   47,     ,     ,  16,
SH, 30, 2026040400, 03, FNV3, 102,  90S, 1561E,  87,  964, XX,  64, NEQ,   24,   25,   23,   21,     ,     ,  16,
SH, 30, 2026040400, 03, FNV3, 108,  90S, 1558E,  88,  965, XX,  34, NEQ,   96,  111,  117,   99,     ,     ,  17,
SH, 30, 2026040400, 03, FNV3, 108,  90S, 1558E,  88,  965, XX,  50, NEQ,   50,   56,   54,   47,     ,     ,  17,
SH, 30, 2026040400, 03, FNV3, 108,  90S, 1558E,  88,  965, XX,  64, NEQ,   24,   27,   24,   23,     ,     ,  17,
SH, 30, 2026040400, 03, FNV3, 114,  88S, 1555E,  90,  963, XX,  34, NEQ,  105,  122,  122,  101,     ,     ,  16,
SH, 30, 2026040400, 03, FNV3, 114,  88S, 1555E,  90,  963, XX,  50, NEQ,   51,   58,   54,   46,     ,     ,  16,
SH, 30, 2026040400, 03, FNV3, 114,  88S, 1555E,  90,  963, XX,  64, NEQ,   25,   28,   24,   22,     ,     ,  16,
SH, 30, 2026040400, 03, FNV3, 120,  89S, 1549E,  88,  965, XX,  34, NEQ,   99,  115,  122,   98,     ,     ,  17,
SH, 30, 2026040400, 03, FNV3, 120,  89S, 1549E,  88,  965, XX,  50, NEQ,   51,   58,   56,   47,     ,     ,  17,
SH, 30, 2026040400, 03, FNV3, 120,  89S, 1549E,  88,  965, XX,  64, NEQ,   25,   28,   25,   23,     ,     ,  17,
SH, 30, 2026040400, 03, FNV3, 126,  88S, 1545E,  84,  968, XX,  34, NEQ,   96,  117,  121,   94,     ,     ,  19,
SH, 30, 2026040400, 03, FNV3, 126,  88S, 1545E,  84,  968, XX,  50, NEQ,   50,   57,   54,   45,     ,     ,  19,
SH, 30, 2026040400, 03, FNV3, 126,  88S, 1545E,  84,  968, XX,  64, NEQ,   24,   26,   23,   21,     ,     ,  19,
SH, 30, 2026040400, 03, FNV3, 132,  89S, 1541E,  86,  965, XX,  34, NEQ,   98,  116,  119,   97,     ,     ,  17,
SH, 30, 2026040400, 03, FNV3, 132,  89S, 1541E,  86,  965, XX,  50, NEQ,   50,   55,   53,   45,     ,     ,  17,
SH, 30, 2026040400, 03, FNV3, 132,  89S, 1541E,  86,  965, XX,  64, NEQ,   26,   27,   24,   23,     ,     ,  17,
SH, 30, 2026040400, 03, FNV3, 138,  89S, 1538E,  76,  973, XX,  34, NEQ,  108,  120,  119,  103,     ,     ,  21,
SH, 30, 2026040400, 03, FNV3, 138,  89S, 1538E,  76,  973, XX,  50, NEQ,   47,   51,   47,   42,     ,     ,  21,
SH, 30, 2026040400, 03, FNV3, 138,  89S, 1538E,  76,  973, XX,  64, NEQ,   22,   22,   19,   18,     ,     ,  21,
SH, 30, 2026040400, 03, FNV3, 144,  91S, 1534E,  73,  975, XX,  34, NEQ,   90,  102,   98,   84,     ,     ,  22,
SH, 30, 2026040400, 03, FNV3, 144,  91S, 1534E,  73,  975, XX,  50, NEQ,   35,   39,   36,   31,     ,     ,  22,
SH, 30, 2026040400, 03, FNV3, 144,  91S, 1534E,  73,  975, XX,  64, NEQ,   17,   19,   16,   15,     ,     ,  22,
SH, 30, 2026040400, 03, FNV3, 150,  90S, 1533E,  63,  980, XX,  34, NEQ,   92,  101,   97,   86,     ,     ,  21,
SH, 30, 2026040400, 03, FNV3, 150,  90S, 1533E,  63,  980, XX,  50, NEQ,   37,   40,   36,   33,     ,     ,  21,
SH, 30, 2026040400, 03, FNV3, 150,  90S, 1533E,  63,  980, XX,  64, NEQ,   14,   16,   13,   13,     ,     ,  21,
SH, 30, 2026040400, 03, FNV3, 156,  91S, 1530E,  58,  984, XX,  34, NEQ,   79,   87,   87,   76,     ,     ,  24,
SH, 30, 2026040400, 03, FNV3, 156,  91S, 1530E,  58,  984, XX,  50, NEQ,   34,   36,   33,   30,     ,     ,  24,
SH, 30, 2026040400, 03, FNV3, 156,  91S, 1530E,  58,  984, XX,  64, NEQ,   13,   13,   12,   11,     ,     ,  24,
SH, 30, 2026040400, 03, FNV3, 162,  91S, 1530E,  54,  986, XX,  34, NEQ,   87,   94,   91,   82,     ,     ,  26,
SH, 30, 2026040400, 03, FNV3, 162,  91S, 1530E,  54,  986, XX,  50, NEQ,   38,   40,   36,   33,     ,     ,  26,
SH, 30, 2026040400, 03, FNV3, 162,  91S, 1530E,  54,  986, XX,  64, NEQ,   10,   11,    9,    9,     ,     ,  26,
SH, 30, 2026040400, 03, FNV3, 168,  95S, 1529E,  57,  985, XX,  34, NEQ,   62,   72,   70,   57,     ,     ,  23,
SH, 30, 2026040400, 03, FNV3, 168,  95S, 1529E,  57,  985, XX,  50, NEQ,   28,   30,   27,   24,     ,     ,  23,
SH, 30, 2026040400, 03, FNV3, 168,  95S, 1529E,  57,  985, XX,  64, NEQ,   11,   12,   10,   10,     ,     ,  23,
SH, 30, 2026040400, 03, FNV3, 174,  99S, 1524E,  55,  985, XX,  34, NEQ,   72,   80,   77,   64,     ,     ,  24,
SH, 30, 2026040400, 03, FNV3, 174,  99S, 1524E,  55,  985, XX,  50, NEQ,   28,   31,   28,   25,     ,     ,  24,
SH, 30, 2026040400, 03, FNV3, 174,  99S, 1524E,  55,  985, XX,  64, NEQ,   10,   11,    9,    8,     ,     ,  24,
SH, 30, 2026040400, 03, FNV3, 180, 101S, 1521E,  59,  982, XX,  34, NEQ,   66,   76,   75,   63,     ,     ,  22,
SH, 30, 2026040400, 03, FNV3, 180, 101S, 1521E,  59,  982, XX,  50, NEQ,   27,   32,   29,   25,     ,     ,  22,
SH, 30, 2026040400, 03, FNV3, 180, 101S, 1521E,  59,  982, XX,  64, NEQ,   14,   15,   14,   13,     ,     ,  22,
SH, 30, 2026040400, 03, FNV3, 186, 102S, 1518E,  54,  986, XX,  34, NEQ,   79,   83,   77,   68,     ,     ,  27,
