# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 97, 2025111712, 03, FNV3,   0, 107S, 1297E,  29, 1003, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,  30,
IO, 97, 2025111712, 03, FNV3,   6, 107S, 1295E,  28, 1002, XX,  34, NEQ,    2,    0,    0,    1,     ,     ,  48,
IO, 97, 2025111712, 03, FNV3,  12, 102S, 1300E,  33, 1000, XX,  34, NEQ,   11,    8,    6,    9,     ,     ,  36,
IO, 97, 2025111712, 03, FNV3,  18, 100S, 1306E,  34,  999, XX,  34, NEQ,   10,    9,    8,    9,     ,     ,  32,
IO, 97, 2025111712, 03, FNV3,  24,  98S, 1311E,  38,  997, XX,  34, NEQ,   25,   21,   19,   23,     ,     ,  29,
IO, 97, 2025111712, 03, FNV3,  24,  98S, 1311E,  38,  997, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  29,
IO, 97, 2025111712, 03, FNV3,  30,  97S, 1315E,  44,  994, XX,  34, NEQ,   25,   18,   16,   25,     ,     ,  26,
IO, 97, 2025111712, 03, FNV3,  30,  97S, 1315E,  44,  994, XX,  50, NEQ,    4,    3,    2,    2,     ,     ,  26,
IO, 97, 2025111712, 03, FNV3,  36,  96S, 1320E,  47,  993, XX,  34, NEQ,   50,   44,   41,   48,     ,     ,  28,
IO, 97, 2025111712, 03, FNV3,  36,  96S, 1320E,  47,  993, XX,  50, NEQ,    7,    5,    3,    5,     ,     ,  28,
IO, 97, 2025111712, 03, FNV3,  36,  96S, 1320E,  47,  993, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  28,
IO, 97, 2025111712, 03, FNV3,  42,  95S, 1324E,  50,  990, XX,  34, NEQ,   52,   46,   41,   47,     ,     ,  26,
IO, 97, 2025111712, 03, FNV3,  42,  95S, 1324E,  50,  990, XX,  50, NEQ,   11,    7,    6,    7,     ,     ,  26,
IO, 97, 2025111712, 03, FNV3,  42,  95S, 1324E,  50,  990, XX,  64, NEQ,    2,    1,    1,    2,     ,     ,  26,
IO, 97, 2025111712, 03, FNV3,  48,  95S, 1328E,  53,  990, XX,  34, NEQ,   66,   59,   54,   61,     ,     ,  22,
IO, 97, 2025111712, 03, FNV3,  48,  95S, 1328E,  53,  990, XX,  50, NEQ,   16,   11,    9,   11,     ,     ,  22,
IO, 97, 2025111712, 03, FNV3,  48,  95S, 1328E,  53,  990, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  22,
IO, 97, 2025111712, 03, FNV3,  54,  96S, 1331E,  54,  989, XX,  34, NEQ,   63,   56,   51,   55,     ,     ,  22,
IO, 97, 2025111712, 03, FNV3,  54,  96S, 1331E,  54,  989, XX,  50, NEQ,   16,   13,   11,   11,     ,     ,  22,
IO, 97, 2025111712, 03, FNV3,  54,  96S, 1331E,  54,  989, XX,  64, NEQ,    3,    2,    1,    2,     ,     ,  22,
IO, 97, 2025111712, 03, FNV3,  60,  98S, 1336E,  55,  989, XX,  34, NEQ,   77,   72,   63,   68,     ,     ,  22,
IO, 97, 2025111712, 03, FNV3,  60,  98S, 1336E,  55,  989, XX,  50, NEQ,   20,   15,   12,   14,     ,     ,  22,
IO, 97, 2025111712, 03, FNV3,  60,  98S, 1336E,  55,  989, XX,  64, NEQ,    2,    2,    1,    1,     ,     ,  22,
IO, 97, 2025111712, 03, FNV3,  66, 100S, 1338E,  53,  989, XX,  34, NEQ,   67,   64,   56,   56,     ,     ,  20,
IO, 97, 2025111712, 03, FNV3,  66, 100S, 1338E,  53,  989, XX,  50, NEQ,   15,   14,   11,   11,     ,     ,  20,
IO, 97, 2025111712, 03, FNV3,  66, 100S, 1338E,  53,  989, XX,  64, NEQ,    2,    2,    1,    1,     ,     ,  20,
IO, 97, 2025111712, 03, FNV3,  72, 103S, 1339E,  54,  990, XX,  34, NEQ,   58,   60,   53,   51,     ,     ,  24,
IO, 97, 2025111712, 03, FNV3,  72, 103S, 1339E,  54,  990, XX,  50, NEQ,   13,   13,   10,    9,     ,     ,  24,
IO, 97, 2025111712, 03, FNV3,  72, 103S, 1339E,  54,  990, XX,  64, NEQ,    3,    4,    3,    3,     ,     ,  24,
IO, 97, 2025111712, 03, FNV3,  78, 107S, 1338E,  53,  990, XX,  34, NEQ,   51,   53,   46,   43,     ,     ,  25,
IO, 97, 2025111712, 03, FNV3,  78, 107S, 1338E,  53,  990, XX,  50, NEQ,   12,   12,   10,    9,     ,     ,  25,
IO, 97, 2025111712, 03, FNV3,  78, 107S, 1338E,  53,  990, XX,  64, NEQ,    3,    1,    1,    1,     ,     ,  25,
IO, 97, 2025111712, 03, FNV3,  84, 112S, 1337E,  57,  988, XX,  34, NEQ,   52,   55,   47,   45,     ,     ,  22,
IO, 97, 2025111712, 03, FNV3,  84, 112S, 1337E,  57,  988, XX,  50, NEQ,   17,   15,   12,   12,     ,     ,  22,
IO, 97, 2025111712, 03, FNV3,  84, 112S, 1337E,  57,  988, XX,  64, NEQ,    3,    3,    3,    3,     ,     ,  22,
IO, 97, 2025111712, 03, FNV3,  90, 117S, 1334E,  59,  986, XX,  34, NEQ,   47,   52,   46,   37,     ,     ,  18,
IO, 97, 2025111712, 03, FNV3,  90, 117S, 1334E,  59,  986, XX,  50, NEQ,   13,   14,   10,    9,     ,     ,  18,
IO, 97, 2025111712, 03, FNV3,  90, 117S, 1334E,  59,  986, XX,  64, NEQ,    4,    4,    3,    3,     ,     ,  18,
IO, 97, 2025111712, 03, FNV3,  96, 123S, 1332E,  51,  991, XX,  34, NEQ,   34,   40,   33,   26,     ,     ,  21,
IO, 97, 2025111712, 03, FNV3,  96, 123S, 1332E,  51,  991, XX,  50, NEQ,    8,    9,    8,    6,     ,     ,  21,
IO, 97, 2025111712, 03, FNV3,  96, 123S, 1332E,  51,  991, XX,  64, NEQ,    3,    4,    3,    2,     ,     ,  21,
IO, 97, 2025111712, 03, FNV3, 102, 126S, 1329E,  47,  992, XX,  34, NEQ,   27,   34,   28,   22,     ,     ,  22,
IO, 97, 2025111712, 03, FNV3, 102, 126S, 1329E,  47,  992, XX,  50, NEQ,    8,    9,    7,    6,     ,     ,  22,
IO, 97, 2025111712, 03, FNV3, 102, 126S, 1329E,  47,  992, XX,  64, NEQ,    2,    3,    2,    2,     ,     ,  22,
IO, 97, 2025111712, 03, FNV3, 108, 129S, 1325E,  42,  995, XX,  34, NEQ,   16,   21,   16,   13,     ,     ,  20,
IO, 97, 2025111712, 03, FNV3, 108, 129S, 1325E,  42,  995, XX,  50, NEQ,    3,    4,    4,    3,     ,     ,  20,
IO, 97, 2025111712, 03, FNV3, 108, 129S, 1325E,  42,  995, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  20,
IO, 97, 2025111712, 03, FNV3, 114, 132S, 1320E,  36,  997, XX,  34, NEQ,   14,   17,   14,   12,     ,     ,  27,
IO, 97, 2025111712, 03, FNV3, 114, 132S, 1320E,  36,  997, XX,  50, NEQ,    2,    3,    2,    1,     ,     ,  27,
IO, 97, 2025111712, 03, FNV3, 114, 132S, 1320E,  36,  997, XX,  64, NEQ,    1,    1,    0,    0,     ,     ,  27,
IO, 97, 2025111712, 03, FNV3, 120, 133S, 1316E,  31, 1000, XX,  34, NEQ,    7,    8,    7,    5,     ,     ,  31,
IO, 97, 2025111712, 03, FNV3, 120, 133S, 1316E,  31, 1000, XX,  50, NEQ,    1,    1,    1,    0,     ,     ,  31,
IO, 97, 2025111712, 03, FNV3, 126, 134S, 1310E,  31, 1000, XX,  34, NEQ,    9,   12,    9,    7,     ,     ,  31,
IO, 97, 2025111712, 03, FNV3, 126, 134S, 1310E,  31, 1000, XX,  50, NEQ,    2,    2,    2,    1,     ,     ,  31,
IO, 97, 2025111712, 03, FNV3, 126, 134S, 1310E,  31, 1000, XX,  64, NEQ,    0,    1,    0,    0,     ,     ,  31,
IO, 97, 2025111712, 03, FNV3, 132, 136S, 1305E,  28, 1002, XX,  34, NEQ,    5,    6,    6,    4,     ,     ,  35,
IO, 97, 2025111712, 03, FNV3, 132, 136S, 1305E,  28, 1002, XX,  50, NEQ,    1,    2,    2,    1,     ,     ,  35,
IO, 97, 2025111712, 03, FNV3, 132, 136S, 1305E,  28, 1002, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  35,
IO, 97, 2025111712, 03, FNV3, 138, 137S, 1299E,  28, 1001, XX,  34, NEQ,    8,    9,    8,    6,     ,     ,  32,
IO, 97, 2025111712, 03, FNV3, 138, 137S, 1299E,  28, 1001, XX,  50, NEQ,    1,    2,    1,    1,     ,     ,  32,
IO, 97, 2025111712, 03, FNV3, 144, 138S, 1294E,  29, 1001, XX,  34, NEQ,    5,    7,    5,    4,     ,     ,  36,
