# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
CP, 01, 2026082412, 03, GENC,   0, 332N, 1750W,  62,  988, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026082412, 03, GENC,   6, 336N, 1753W,  61,  988, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026082412, 03, GENC,  12, 340N, 1756W,  61,  989, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026082412, 03, GENC,  18, 343N, 1762W,  60,  989, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026082412, 03, GENC,  24, 345N, 1767W,  59,  990, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026082412, 03, GENC,  30, 347N, 1773W,  56,  992, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026082412, 03, GENC,  36, 348N, 1779W,  54,  994, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026082412, 03, GENC,  42, 350N, 1782W,  50,  996, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026082412, 03, GENC,  48, 351N, 1785W,  47,  998, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026082412, 03, GENC,  54, 355N, 1788W,  45,  999, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026082412, 03, GENC,  60, 358N, 1791W,  42, 1001, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026082412, 03, GENC,  66, 363N, 1794W,  41, 1002, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026082412, 03, GENC,  72, 367N, 1796W,  39, 1003, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026082412, 03, GENC,  78, 371N, 1800W,  37, 1004, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026082412, 03, GENC,  84, 375N, 1796E,  36, 1005, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026082412, 03, GENC,  90, 379N, 1792E,  33, 1006, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026082412, 03, GENC,  96, 382N, 1788E,  31, 1007, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026082412, 03, GENC, 102, 385N, 1780E,  28, 1009, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026082412, 03, GENC, 108, 388N, 1771E,  25, 1010, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026082412, 03, GENC, 114, 386N, 1757E,  26, 1009, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026082412, 03, GENC, 120, 384N, 1742E,  26, 1009, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026082412, 03, GENC, 126, 364N, 1714E,  36, 1003, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026082412, 03, GENC, 132, 356N, 1696E,  39, 1001, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 09, 2026082412, 03, GENC,   0, 183N, 1168W,  51,  995, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 09, 2026082412, 03, GENC,   6, 190N, 1177W,  51,  996, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 09, 2026082412, 03, GENC,  12, 197N, 1187W,  50,  996, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 09, 2026082412, 03, GENC,  18, 201N, 1196W,  51,  995, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 09, 2026082412, 03, GENC,  24, 206N, 1206W,  51,  995, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 09, 2026082412, 03, GENC,  30, 207N, 1216W,  51,  995, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 09, 2026082412, 03, GENC,  36, 209N, 1226W,  51,  995, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 09, 2026082412, 03, GENC,  42, 211N, 1233W,  49,  997, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 09, 2026082412, 03, GENC,  48, 213N, 1241W,  47,  998, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 09, 2026082412, 03, GENC,  54, 216N, 1249W,  47,  998, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 09, 2026082412, 03, GENC,  60, 219N, 1258W,  46,  998, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 17, 2026082412, 03, GENC,   0, 250N, 1335E,  98,  958, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 17, 2026082412, 03, GENC,   6, 255N, 1323E,  94,  962, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 17, 2026082412, 03, GENC,  12, 261N, 1311E,  90,  965, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 17, 2026082412, 03, GENC,  18, 266N, 1301E,  88,  967, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 17, 2026082412, 03, GENC,  24, 271N, 1291E,  87,  968, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 17, 2026082412, 03, GENC,  30, 277N, 1282E,  86,  968, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 17, 2026082412, 03, GENC,  36, 282N, 1272E,  86,  969, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 17, 2026082412, 03, GENC,  42, 283N, 1264E,  85,  970, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 17, 2026082412, 03, GENC,  48, 284N, 1256E,  84,  970, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 17, 2026082412, 03, GENC,  54, 284N, 1251E,  83,  972, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 17, 2026082412, 03, GENC,  60, 285N, 1246E,  81,  973, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 17, 2026082412, 03, GENC,  66, 283N, 1240E,  78,  975, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 17, 2026082412, 03, GENC,  72, 282N, 1234E,  76,  977, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
