# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
CP, 93, 2026081006, 03, FNV3,   0, 106N, 1412W,  19, 1007, XX,  34, NEQ,    0,    0,    0,    0,     ,     , 120,
WP, 13, 2026081006, 03, FNV3,   0, 211N, 1510E,  39,  995, XX,  34, NEQ,   30,   50,   50,   35,     ,     ,  30,
WP, 13, 2026081006, 03, FNV3,   6, 221N, 1530E,  35,  995, XX,  34, NEQ,   24,   25,   21,   19,     ,     ,  40,
WP, 13, 2026081006, 03, FNV3,  12, 231N, 1544E,  38,  994, XX,  34, NEQ,   39,   39,   28,   32,     ,     ,  36,
WP, 13, 2026081006, 03, FNV3,  12, 231N, 1544E,  38,  994, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  36,
WP, 13, 2026081006, 03, FNV3,  18, 244N, 1558E,  37,  994, XX,  34, NEQ,   45,   42,   32,   34,     ,     ,  41,
WP, 13, 2026081006, 03, FNV3,  18, 244N, 1558E,  37,  994, XX,  50, NEQ,    1,    1,    0,    0,     ,     ,  41,
WP, 13, 2026081006, 03, FNV3,  24, 258N, 1572E,  36,  993, XX,  34, NEQ,   40,   36,   27,   28,     ,     ,  43,
WP, 13, 2026081006, 03, FNV3,  30, 270N, 1583E,  36,  993, XX,  34, NEQ,   16,   22,   15,   15,     ,     ,  38,
WP, 13, 2026081006, 03, FNV3,  36, 284N, 1593E,  33,  994, XX,  34, NEQ,    9,   12,    9,    8,     ,     ,  45,
WP, 13, 2026081006, 03, FNV3,  42, 295N, 1603E,  34,  994, XX,  34, NEQ,   11,   17,    8,    6,     ,     ,  41,
WP, 13, 2026081006, 03, FNV3,  48, 303N, 1611E,  31,  994, XX,  34, NEQ,    5,    7,    5,    4,     ,     ,  41,
WP, 13, 2026081006, 03, FNV3,  54, 308N, 1621E,  30,  995, XX,  34, NEQ,    8,    9,    6,    5,     ,     ,  45,
WP, 13, 2026081006, 03, FNV3,  60, 311N, 1632E,  30,  996, XX,  34, NEQ,    5,    6,    5,    4,     ,     ,  43,
WP, 13, 2026081006, 03, FNV3,  66, 313N, 1646E,  28,  996, XX,  34, NEQ,    0,    3,    0,    0,     ,     ,  44,
WP, 13, 2026081006, 03, FNV3,  72, 316N, 1661E,  29,  995, XX,  34, NEQ,    5,    6,    2,    1,     ,     ,  51,
WP, 13, 2026081006, 03, FNV3,  78, 319N, 1678E,  30,  995, XX,  34, NEQ,    0,    6,    5,    0,     ,     ,  54,
WP, 14, 2026081006, 03, FNV3,   0, 348N, 1488E,  39,  985, XX,  34, NEQ,  140,   80,     ,  100,     ,     ,  50,
WP, 14, 2026081006, 03, FNV3,   6, 357N, 1477E,  43,  987, XX,  34, NEQ,   80,   62,   50,   60,     ,     ,  50,
WP, 14, 2026081006, 03, FNV3,   6, 357N, 1477E,  43,  987, XX,  50, NEQ,    1,    0,    2,    0,     ,     ,  50,
WP, 14, 2026081006, 03, FNV3,  12, 366N, 1460E,  45,  986, XX,  34, NEQ,  103,   86,   75,   84,     ,     ,  48,
WP, 14, 2026081006, 03, FNV3,  12, 366N, 1460E,  45,  986, XX,  50, NEQ,    6,    1,    2,    3,     ,     ,  48,
WP, 14, 2026081006, 03, FNV3,  18, 368N, 1438E,  48,  985, XX,  34, NEQ,  135,  117,  104,  118,     ,     ,  51,
WP, 14, 2026081006, 03, FNV3,  18, 368N, 1438E,  48,  985, XX,  50, NEQ,   19,    9,    7,   12,     ,     ,  51,
WP, 14, 2026081006, 03, FNV3,  24, 363N, 1419E,  48,  985, XX,  34, NEQ,  134,  119,  111,  125,     ,     ,  48,
WP, 14, 2026081006, 03, FNV3,  24, 363N, 1419E,  48,  985, XX,  50, NEQ,   15,   10,    8,   10,     ,     ,  48,
WP, 14, 2026081006, 03, FNV3,  30, 357N, 1403E,  44,  988, XX,  34, NEQ,   62,   50,   45,   57,     ,     ,  37,
WP, 14, 2026081006, 03, FNV3,  30, 357N, 1403E,  44,  988, XX,  50, NEQ,    4,    1,    2,    2,     ,     ,  37,
WP, 14, 2026081006, 03, FNV3,  36, 354N, 1391E,  33,  995, XX,  34, NEQ,   17,   10,   10,   13,     ,     ,  39,
WP, 14, 2026081006, 03, FNV3,  36, 354N, 1391E,  33,  995, XX,  50, NEQ,    1,    1,    0,    1,     ,     ,  39,
WP, 14, 2026081006, 03, FNV3,  42, 357N, 1375E,  29, 1000, XX,  34, NEQ,    1,    2,    1,    4,     ,     ,  33,
WP, 15, 2026081006, 03, FNV3,   0, 271N, 1607E,  35,  993, XX,  34, NEQ,   80,   65,     ,     ,     ,     ,  45,
WP, 15, 2026081006, 03, FNV3,   6, 273N, 1606E,  32,  996, XX,  34, NEQ,   14,   11,    7,    7,     ,     ,  50,
WP, 15, 2026081006, 03, FNV3,  12, 278N, 1605E,  28,  997, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  50,
WP, 15, 2026081006, 03, FNV3,  18, 282N, 1600E,  27,  999, XX,  34, NEQ,    0,    0,    1,    0,     ,     ,  47,
