# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 97, 2026021900, 03, FNV3, 108, 212S,  664E,  93,  964, XX,  64, NEQ,   22,   23,   20,   19,     ,     ,  11,
IO, 97, 2026021900, 03, FNV3, 114, 219S,  658E,  87,  967, XX,  34, NEQ,   66,   85,   74,   53,     ,     ,  12,
IO, 97, 2026021900, 03, FNV3, 114, 219S,  658E,  87,  967, XX,  50, NEQ,   32,   35,   31,   27,     ,     ,  12,
IO, 97, 2026021900, 03, FNV3, 114, 219S,  658E,  87,  967, XX,  64, NEQ,   18,   19,   16,   16,     ,     ,  12,
IO, 97, 2026021900, 03, FNV3, 120, 226S,  652E,  79,  973, XX,  34, NEQ,   68,   86,   74,   52,     ,     ,  13,
IO, 97, 2026021900, 03, FNV3, 120, 226S,  652E,  79,  973, XX,  50, NEQ,   33,   36,   32,   27,     ,     ,  13,
IO, 97, 2026021900, 03, FNV3, 120, 226S,  652E,  79,  973, XX,  64, NEQ,   17,   18,   15,   15,     ,     ,  13,
IO, 97, 2026021900, 03, FNV3, 126, 235S,  648E,  71,  979, XX,  34, NEQ,   60,   74,   63,   46,     ,     ,  13,
IO, 97, 2026021900, 03, FNV3, 126, 235S,  648E,  71,  979, XX,  50, NEQ,   32,   33,   28,   25,     ,     ,  13,
IO, 97, 2026021900, 03, FNV3, 126, 235S,  648E,  71,  979, XX,  64, NEQ,   15,   15,   13,   13,     ,     ,  13,
IO, 97, 2026021900, 03, FNV3, 132, 244S,  647E,  66,  983, XX,  34, NEQ,   64,   72,   59,   48,     ,     ,  17,
IO, 97, 2026021900, 03, FNV3, 132, 244S,  647E,  66,  983, XX,  50, NEQ,   29,   29,   24,   24,     ,     ,  17,
IO, 97, 2026021900, 03, FNV3, 132, 244S,  647E,  66,  983, XX,  64, NEQ,   13,   13,   11,   12,     ,     ,  17,
IO, 97, 2026021900, 03, FNV3, 138, 252S,  648E,  60,  988, XX,  34, NEQ,   58,   64,   51,   46,     ,     ,  17,
IO, 97, 2026021900, 03, FNV3, 138, 252S,  648E,  60,  988, XX,  50, NEQ,   23,   21,   18,   18,     ,     ,  17,
IO, 97, 2026021900, 03, FNV3, 138, 252S,  648E,  60,  988, XX,  64, NEQ,    9,    8,    6,    7,     ,     ,  17,
IO, 97, 2026021900, 03, FNV3, 144, 260S,  649E,  52,  992, XX,  34, NEQ,   58,   60,   47,   44,     ,     ,  18,
IO, 97, 2026021900, 03, FNV3, 144, 260S,  649E,  52,  992, XX,  50, NEQ,   18,   18,   14,   15,     ,     ,  18,
IO, 97, 2026021900, 03, FNV3, 144, 260S,  649E,  52,  992, XX,  64, NEQ,    6,    5,    4,    4,     ,     ,  18,
IO, 97, 2026021900, 03, FNV3, 150, 270S,  653E,  44,  998, XX,  34, NEQ,   45,   44,   35,   34,     ,     ,  28,
IO, 97, 2026021900, 03, FNV3, 150, 270S,  653E,  44,  998, XX,  50, NEQ,   12,   11,    9,    9,     ,     ,  28,
IO, 97, 2026021900, 03, FNV3, 150, 270S,  653E,  44,  998, XX,  64, NEQ,    4,    4,    3,    4,     ,     ,  28,
IO, 97, 2026021900, 03, FNV3, 156, 277S,  658E,  41, 1000, XX,  34, NEQ,   45,   39,   31,   33,     ,     ,  30,
IO, 97, 2026021900, 03, FNV3, 156, 277S,  658E,  41, 1000, XX,  50, NEQ,    7,    7,    5,    5,     ,     ,  30,
IO, 97, 2026021900, 03, FNV3, 156, 277S,  658E,  41, 1000, XX,  64, NEQ,    1,    1,    0,    1,     ,     ,  30,
IO, 97, 2026021900, 03, FNV3, 162, 284S,  661E,  38, 1002, XX,  34, NEQ,   33,   32,   24,   25,     ,     ,  34,
IO, 97, 2026021900, 03, FNV3, 162, 284S,  661E,  38, 1002, XX,  50, NEQ,    6,    4,    3,    4,     ,     ,  34,
IO, 97, 2026021900, 03, FNV3, 162, 284S,  661E,  38, 1002, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  34,
IO, 97, 2026021900, 03, FNV3, 168, 286S,  660E,  36, 1003, XX,  34, NEQ,   35,   37,   27,   27,     ,     ,  39,
IO, 97, 2026021900, 03, FNV3, 168, 286S,  660E,  36, 1003, XX,  50, NEQ,    1,    2,    2,    1,     ,     ,  39,
IO, 97, 2026021900, 03, FNV3, 174, 294S,  660E,  34, 1003, XX,  34, NEQ,   17,   15,   10,   10,     ,     ,  47,
IO, 97, 2026021900, 03, FNV3, 174, 294S,  660E,  34, 1003, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  47,
IO, 97, 2026021900, 03, FNV3, 180, 299S,  659E,  33, 1003, XX,  34, NEQ,   21,   20,   17,   13,     ,     ,  39,
IO, 97, 2026021900, 03, FNV3, 186, 308S,  657E,  32, 1003, XX,  34, NEQ,   17,   16,   15,   11,     ,     ,  48,
IO, 97, 2026021900, 03, FNV3, 192, 310S,  655E,  32, 1002, XX,  34, NEQ,    9,    9,    7,    5,     ,     ,  50,
IO, 97, 2026021900, 03, FNV3, 192, 310S,  655E,  32, 1002, XX,  50, NEQ,    0,    2,    0,    0,     ,     ,  50,
