# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
WP, 11, 2025080112, 03, FNV3,  30, 335N, 1203E,  21,  999, XX,  34, NEQ,    1,    1,    1,    1,     ,     ,  57,
WP, 11, 2025080112, 03, FNV3,  36, 339N, 1213E,  22,  999, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  63,
WP, 11, 2025080112, 03, FNV3,  42, 343N, 1222E,  22,  998, XX,  34, NEQ,    1,    1,    1,    1,     ,     ,  60,
WP, 11, 2025080112, 03, FNV3,  48, 346N, 1234E,  24,  997, XX,  34, NEQ,    0,    1,    1,    0,     ,     ,  58,
WP, 12, 2025080112, 03, FNV3,   0, 343N, 1413E,  60,  977, XX,  34, NEQ,  100,   90,   50,   80,     ,     ,  35,
WP, 12, 2025080112, 03, FNV3,   6, 352N, 1417E,  49,  982, XX,  34, NEQ,   67,   69,   54,   54,     ,     ,  27,
WP, 12, 2025080112, 03, FNV3,   6, 352N, 1417E,  49,  982, XX,  50, NEQ,   15,   15,   11,   11,     ,     ,  27,
WP, 12, 2025080112, 03, FNV3,   6, 352N, 1417E,  49,  982, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  27,
WP, 12, 2025080112, 03, FNV3,  12, 363N, 1426E,  48,  983, XX,  34, NEQ,   64,   68,   54,   51,     ,     ,  28,
WP, 12, 2025080112, 03, FNV3,  12, 363N, 1426E,  48,  983, XX,  50, NEQ,   12,   11,    8,    9,     ,     ,  28,
WP, 12, 2025080112, 03, FNV3,  12, 363N, 1426E,  48,  983, XX,  64, NEQ,    1,    1,    0,    0,     ,     ,  28,
WP, 12, 2025080112, 03, FNV3,  18, 372N, 1437E,  45,  984, XX,  34, NEQ,   62,   68,   56,   50,     ,     ,  32,
WP, 12, 2025080112, 03, FNV3,  18, 372N, 1437E,  45,  984, XX,  50, NEQ,    6,    6,    5,    4,     ,     ,  32,
WP, 12, 2025080112, 03, FNV3,  24, 381N, 1456E,  43,  986, XX,  34, NEQ,   51,   56,   45,   40,     ,     ,  37,
WP, 12, 2025080112, 03, FNV3,  24, 381N, 1456E,  43,  986, XX,  50, NEQ,    2,    3,    2,    2,     ,     ,  37,
WP, 12, 2025080112, 03, FNV3,  30, 390N, 1481E,  42,  987, XX,  34, NEQ,   44,   51,   40,   35,     ,     ,  39,
