# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
SH, 27, 2026032018, 03, FNV3,   0, 133S, 1396E,  64,  985, XX,  34, NEQ,  110,   90,   90,  120,     ,     ,  15,
SH, 27, 2026032018, 03, FNV3,   6, 128S, 1387E,  75,  978, XX,  34, NEQ,   79,   94,   98,   76,     ,     ,  13,
SH, 27, 2026032018, 03, FNV3,   6, 128S, 1387E,  75,  978, XX,  50, NEQ,   38,   44,   41,   33,     ,     ,  13,
SH, 27, 2026032018, 03, FNV3,   6, 128S, 1387E,  75,  978, XX,  64, NEQ,   13,   19,   14,   12,     ,     ,  13,
SH, 27, 2026032018, 03, FNV3,  12, 130S, 1377E,  76,  977, XX,  34, NEQ,   84,  110,  111,   79,     ,     ,  17,
SH, 27, 2026032018, 03, FNV3,  12, 130S, 1377E,  76,  977, XX,  50, NEQ,   48,   56,   52,   42,     ,     ,  17,
SH, 27, 2026032018, 03, FNV3,  12, 130S, 1377E,  76,  977, XX,  64, NEQ,   20,   24,   20,   18,     ,     ,  17,
SH, 27, 2026032018, 03, FNV3,  18, 131S, 1367E,  74,  977, XX,  34, NEQ,   84,  104,  105,   81,     ,     ,  17,
SH, 27, 2026032018, 03, FNV3,  18, 131S, 1367E,  74,  977, XX,  50, NEQ,   41,   49,   44,   37,     ,     ,  17,
SH, 27, 2026032018, 03, FNV3,  18, 131S, 1367E,  74,  977, XX,  64, NEQ,   15,   20,   16,   15,     ,     ,  17,
SH, 27, 2026032018, 03, FNV3,  24, 134S, 1356E,  64,  983, XX,  34, NEQ,   86,  103,   94,   75,     ,     ,  18,
SH, 27, 2026032018, 03, FNV3,  24, 134S, 1356E,  64,  983, XX,  50, NEQ,   34,   41,   34,   28,     ,     ,  18,
SH, 27, 2026032018, 03, FNV3,  24, 134S, 1356E,  64,  983, XX,  64, NEQ,    5,    9,    7,    5,     ,     ,  18,
SH, 27, 2026032018, 03, FNV3,  30, 137S, 1344E,  52,  989, XX,  34, NEQ,   64,   73,   65,   57,     ,     ,  21,
SH, 27, 2026032018, 03, FNV3,  30, 137S, 1344E,  52,  989, XX,  50, NEQ,   13,   17,   13,   11,     ,     ,  21,
SH, 27, 2026032018, 03, FNV3,  30, 137S, 1344E,  52,  989, XX,  64, NEQ,    2,    3,    2,    2,     ,     ,  21,
SH, 27, 2026032018, 03, FNV3,  36, 140S, 1330E,  41,  993, XX,  34, NEQ,   37,   43,   34,   31,     ,     ,  25,
SH, 27, 2026032018, 03, FNV3,  36, 140S, 1330E,  41,  993, XX,  50, NEQ,    3,    4,    4,    3,     ,     ,  25,
SH, 27, 2026032018, 03, FNV3,  42, 141S, 1316E,  35,  997, XX,  34, NEQ,   36,   37,   30,   30,     ,     ,  33,
SH, 27, 2026032018, 03, FNV3,  42, 141S, 1316E,  35,  997, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  33,
SH, 27, 2026032018, 03, FNV3,  48, 143S, 1304E,  34,  997, XX,  34, NEQ,   14,   17,   10,   11,     ,     ,  35,
SH, 27, 2026032018, 03, FNV3,  54, 147S, 1291E,  32,  997, XX,  34, NEQ,    9,   11,    8,    8,     ,     ,  36,
SH, 27, 2026032018, 03, FNV3,  54, 147S, 1291E,  32,  997, XX,  50, NEQ,    0,    0,    1,    0,     ,     ,  36,
SH, 27, 2026032018, 03, FNV3,  60, 151S, 1279E,  31,  997, XX,  34, NEQ,    3,    3,    4,    2,     ,     ,  32,
