# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
CP, 93, 2026081012, 03, FNV3,   0, 106N, 1412W,  19, 1006, XX,  34, NEQ,    0,    0,    0,    0,     ,     , 120,
WP, 13, 2026081012, 03, FNV3,   0, 216N, 1528E,  29,  993, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  35,
WP, 13, 2026081012, 03, FNV3,   6, 228N, 1543E,  37,  994, XX,  34, NEQ,   32,   33,   22,   24,     ,     ,  36,
WP, 13, 2026081012, 03, FNV3,  12, 240N, 1558E,  36,  993, XX,  34, NEQ,   24,   22,   17,   18,     ,     ,  40,
WP, 13, 2026081012, 03, FNV3,  12, 240N, 1558E,  36,  993, XX,  50, NEQ,    1,    1,    0,    0,     ,     ,  40,
WP, 13, 2026081012, 03, FNV3,  18, 254N, 1574E,  35,  994, XX,  34, NEQ,   19,   18,   15,   13,     ,     ,  41,
WP, 13, 2026081012, 03, FNV3,  18, 254N, 1574E,  35,  994, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  41,
WP, 13, 2026081012, 03, FNV3,  24, 267N, 1587E,  33,  994, XX,  34, NEQ,    8,   10,   10,    6,     ,     ,  42,
WP, 13, 2026081012, 03, FNV3,  30, 281N, 1598E,  34,  993, XX,  34, NEQ,   15,   22,   17,   12,     ,     ,  42,
WP, 13, 2026081012, 03, FNV3,  30, 281N, 1598E,  34,  993, XX,  50, NEQ,    0,    1,    0,    0,     ,     ,  42,
WP, 13, 2026081012, 03, FNV3,  36, 293N, 1608E,  32,  994, XX,  34, NEQ,    9,   13,    9,    6,     ,     ,  33,
WP, 13, 2026081012, 03, FNV3,  42, 301N, 1616E,  30,  995, XX,  34, NEQ,    5,    6,    5,    4,     ,     ,  38,
WP, 13, 2026081012, 03, FNV3,  48, 306N, 1626E,  30,  995, XX,  34, NEQ,    3,    8,    3,    3,     ,     ,  47,
WP, 13, 2026081012, 03, FNV3,  54, 309N, 1636E,  29,  996, XX,  34, NEQ,    1,    3,    1,    0,     ,     ,  47,
WP, 13, 2026081012, 03, FNV3,  60, 311N, 1648E,  28,  996, XX,  34, NEQ,    3,    8,    3,    2,     ,     ,  48,
WP, 13, 2026081012, 03, FNV3,  66, 313N, 1661E,  28,  995, XX,  34, NEQ,    2,    1,    4,    1,     ,     ,  47,
WP, 13, 2026081012, 03, FNV3,  72, 318N, 1675E,  29,  996, XX,  34, NEQ,    0,    2,    0,    0,     ,     ,  46,
WP, 14, 2026081012, 03, FNV3,   0, 355N, 1479E,  45,  981, XX,  34, NEQ,  125,   50,   60,   90,     ,     ,  35,
WP, 14, 2026081012, 03, FNV3,   6, 367N, 1462E,  48,  984, XX,  34, NEQ,  113,  100,   88,   98,     ,     ,  41,
WP, 14, 2026081012, 03, FNV3,   6, 367N, 1462E,  48,  984, XX,  50, NEQ,    8,    3,    4,    4,     ,     ,  41,
WP, 14, 2026081012, 03, FNV3,  12, 368N, 1439E,  49,  984, XX,  34, NEQ,  140,  125,  111,  124,     ,     ,  52,
WP, 14, 2026081012, 03, FNV3,  12, 368N, 1439E,  49,  984, XX,  50, NEQ,   18,    8,    7,   12,     ,     ,  52,
WP, 14, 2026081012, 03, FNV3,  18, 364N, 1420E,  50,  984, XX,  34, NEQ,  134,  120,  110,  125,     ,     ,  45,
WP, 14, 2026081012, 03, FNV3,  18, 364N, 1420E,  50,  984, XX,  50, NEQ,   15,   10,    9,   17,     ,     ,  45,
WP, 14, 2026081012, 03, FNV3,  24, 359N, 1403E,  46,  985, XX,  34, NEQ,   69,   56,   49,   61,     ,     ,  35,
WP, 14, 2026081012, 03, FNV3,  24, 359N, 1403E,  46,  985, XX,  50, NEQ,    6,    2,    1,    3,     ,     ,  35,
WP, 14, 2026081012, 03, FNV3,  30, 358N, 1389E,  33,  996, XX,  34, NEQ,   10,    6,    5,    9,     ,     ,  38,
WP, 14, 2026081012, 03, FNV3,  36, 357N, 1371E,  26, 1001, XX,  34, NEQ,    0,    0,    0,    1,     ,     ,  38,
WP, 15, 2026081012, 03, FNV3,   0, 275N, 1606E,  29,  996, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  45,
WP, 15, 2026081012, 03, FNV3,   6, 280N, 1606E,  29,  996, XX,  34, NEQ,    1,    1,    1,    1,     ,     ,  52,
