# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
CP, 93, 2026080918, 03, FNV3,   0, 101N, 1415W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,   0,
WP, 12, 2026080918, 03, FNV3,   0, 279N, 1197E,  54,  970, XX,  34, NEQ,  255,  170,  170,  240,     ,     ,  20,
WP, 12, 2026080918, 03, FNV3,   6, 280N, 1188E,  40,  985, XX,  34, NEQ,   60,   54,   42,   45,     ,     ,  33,
WP, 12, 2026080918, 03, FNV3,   6, 280N, 1188E,  40,  985, XX,  50, NEQ,    2,    2,    1,    2,     ,     ,  33,
WP, 12, 2026080918, 03, FNV3,  12, 286N, 1180E,  34,  987, XX,  34, NEQ,   29,   25,   19,   21,     ,     ,  39,
WP, 12, 2026080918, 03, FNV3,  18, 294N, 1171E,  28,  990, XX,  34, NEQ,    7,    3,    3,    3,     ,     ,  50,
WP, 12, 2026080918, 03, FNV3,  24, 301N, 1160E,  25,  993, XX,  34, NEQ,    3,    3,    2,    2,     ,     ,  48,
WP, 12, 2026080918, 03, FNV3,  30, 306N, 1150E,  24,  994, XX,  34, NEQ,    1,    1,    0,    0,     ,     ,  54,
WP, 12, 2026080918, 03, FNV3,  36, 307N, 1141E,  23,  995, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  49,
WP, 12, 2026080918, 03, FNV3,  42, 307N, 1138E,  21,  997, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  47,
WP, 12, 2026080918, 03, FNV3,  48, 309N, 1135E,  21,  998, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  49,
WP, 12, 2026080918, 03, FNV3,  54, 310N, 1137E,  19,  999, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  46,
WP, 12, 2026080918, 03, FNV3,  60, 311N, 1142E,  18, 1000, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  45,
WP, 13, 2026080918, 03, FNV3,   0, 205N, 1458E,  35,  997, XX,  34, NEQ,   30,   40,   50,   35,     ,     ,  30,
WP, 13, 2026080918, 03, FNV3,   6, 208N, 1487E,  36,  995, XX,  34, NEQ,   18,   16,   11,   13,     ,     ,  39,
WP, 13, 2026080918, 03, FNV3,  12, 214N, 1510E,  39,  993, XX,  34, NEQ,   33,   34,   24,   24,     ,     ,  32,
WP, 13, 2026080918, 03, FNV3,  12, 214N, 1510E,  39,  993, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  32,
WP, 13, 2026080918, 03, FNV3,  18, 223N, 1529E,  39,  993, XX,  34, NEQ,   38,   34,   27,   28,     ,     ,  36,
WP, 13, 2026080918, 03, FNV3,  24, 232N, 1545E,  38,  994, XX,  34, NEQ,   32,   29,   21,   20,     ,     ,  37,
WP, 13, 2026080918, 03, FNV3,  24, 232N, 1545E,  38,  994, XX,  50, NEQ,    0,    1,    0,    0,     ,     ,  37,
WP, 13, 2026080918, 03, FNV3,  30, 244N, 1559E,  36,  994, XX,  34, NEQ,   37,   34,   27,   27,     ,     ,  39,
WP, 13, 2026080918, 03, FNV3,  36, 257N, 1572E,  35,  993, XX,  34, NEQ,   29,   30,   22,   22,     ,     ,  42,
WP, 13, 2026080918, 03, FNV3,  42, 270N, 1584E,  34,  993, XX,  34, NEQ,   16,   17,   10,    9,     ,     ,  44,
WP, 13, 2026080918, 03, FNV3,  48, 284N, 1595E,  34,  994, XX,  34, NEQ,   12,   15,    9,    8,     ,     ,  38,
WP, 13, 2026080918, 03, FNV3,  54, 296N, 1606E,  34,  993, XX,  34, NEQ,   11,   16,    9,    8,     ,     ,  39,
WP, 13, 2026080918, 03, FNV3,  54, 296N, 1606E,  34,  993, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  39,
WP, 13, 2026080918, 03, FNV3,  60, 303N, 1616E,  33,  993, XX,  34, NEQ,   11,   17,    8,    6,     ,     ,  38,
WP, 13, 2026080918, 03, FNV3,  66, 309N, 1626E,  31,  995, XX,  34, NEQ,    7,    5,    6,    3,     ,     ,  39,
WP, 13, 2026080918, 03, FNV3,  66, 309N, 1626E,  31,  995, XX,  50, NEQ,    0,    1,    0,    0,     ,     ,  39,
WP, 13, 2026080918, 03, FNV3,  72, 312N, 1638E,  31,  995, XX,  34, NEQ,    7,    7,    4,    5,     ,     ,  50,
WP, 13, 2026080918, 03, FNV3,  78, 316N, 1648E,  30,  996, XX,  34, NEQ,    3,    5,    4,    3,     ,     ,  44,
WP, 13, 2026080918, 03, FNV3,  84, 319N, 1659E,  29,  995, XX,  34, NEQ,    4,    3,    3,    3,     ,     ,  51,
WP, 13, 2026080918, 03, FNV3,  90, 322N, 1671E,  28,  996, XX,  34, NEQ,    0,    2,    2,    0,     ,     ,  56,
WP, 13, 2026080918, 03, FNV3,  96, 327N, 1689E,  31,  995, XX,  34, NEQ,   10,   12,    6,    7,     ,     ,  56,
WP, 14, 2026080918, 03, FNV3,   0, 332N, 1502E,  35,  989, XX,  34, NEQ,  110,  100,     ,   80,     ,     ,  40,
WP, 14, 2026080918, 03, FNV3,   6, 339N, 1498E,  35,  991, XX,  34, NEQ,   39,   19,   14,   18,     ,     ,  55,
WP, 14, 2026080918, 03, FNV3,  12, 349N, 1490E,  43,  987, XX,  34, NEQ,   80,   62,   49,   57,     ,     ,  49,
WP, 14, 2026080918, 03, FNV3,  12, 349N, 1490E,  43,  987, XX,  50, NEQ,    4,    0,    0,    2,     ,     ,  49,
WP, 14, 2026080918, 03, FNV3,  18, 358N, 1478E,  45,  985, XX,  34, NEQ,   98,   83,   67,   77,     ,     ,  49,
WP, 14, 2026080918, 03, FNV3,  18, 358N, 1478E,  45,  985, XX,  50, NEQ,    6,    1,    1,    3,     ,     ,  49,
WP, 14, 2026080918, 03, FNV3,  24, 367N, 1461E,  47,  984, XX,  34, NEQ,  116,  104,   85,   98,     ,     ,  50,
WP, 14, 2026080918, 03, FNV3,  24, 367N, 1461E,  47,  984, XX,  50, NEQ,   15,    2,    2,    2,     ,     ,  50,
WP, 14, 2026080918, 03, FNV3,  30, 367N, 1439E,  49,  984, XX,  34, NEQ,  146,  129,  115,  131,     ,     ,  53,
WP, 14, 2026080918, 03, FNV3,  30, 367N, 1439E,  49,  984, XX,  50, NEQ,   20,   12,   10,   12,     ,     ,  53,
WP, 14, 2026080918, 03, FNV3,  36, 364N, 1420E,  49,  985, XX,  34, NEQ,  138,  122,  113,  128,     ,     ,  51,
WP, 14, 2026080918, 03, FNV3,  36, 364N, 1420E,  49,  985, XX,  50, NEQ,   17,   11,    9,   16,     ,     ,  51,
WP, 14, 2026080918, 03, FNV3,  42, 358N, 1404E,  46,  987, XX,  34, NEQ,   78,   67,   59,   73,     ,     ,  36,
WP, 14, 2026080918, 03, FNV3,  42, 358N, 1404E,  46,  987, XX,  50, NEQ,   11,    8,    7,    8,     ,     ,  36,
WP, 14, 2026080918, 03, FNV3,  42, 358N, 1404E,  46,  987, XX,  64, NEQ,    0,    0,    0,    1,     ,     ,  36,
WP, 14, 2026080918, 03, FNV3,  48, 356N, 1388E,  34,  994, XX,  34, NEQ,   15,   11,   10,   18,     ,     ,  37,
WP, 14, 2026080918, 03, FNV3,  48, 356N, 1388E,  34,  994, XX,  50, NEQ,    2,    1,    1,    2,     ,     ,  37,
WP, 14, 2026080918, 03, FNV3,  54, 355N, 1372E,  28,  999, XX,  34, NEQ,   13,    8,    6,    8,     ,     ,  45,
WP, 98, 2026080918, 03, FNV3,   0, 248N, 1596E,  25, 1000, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  40,
