# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
SH, 96, 2026031612, 03, GENC,   0, 132S, 1573E,  35, 1005, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031612, 03, GENC,   6, 129S, 1569E,  38, 1004, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031612, 03, GENC,  12, 125S, 1566E,  40, 1002, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031612, 03, GENC,  18, 124S, 1557E,  43, 1000, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031612, 03, GENC,  24, 124S, 1549E,  47,  998, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031612, 03, GENC,  30, 124S, 1538E,  50,  996, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031612, 03, GENC,  36, 125S, 1527E,  52,  994, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031612, 03, GENC,  42, 127S, 1514E,  56,  992, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031612, 03, GENC,  48, 129S, 1502E,  60,  989, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031612, 03, GENC,  54, 133S, 1487E,  65,  986, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031612, 03, GENC,  60, 136S, 1472E,  69,  982, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031612, 03, GENC,  66, 137S, 1461E,  71,  981, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031612, 03, GENC,  72, 138S, 1450E,  72,  980, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031612, 03, GENC,  78, 139S, 1438E,  68,  983, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031612, 03, GENC,  84, 141S, 1427E,  64,  986, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031612, 03, GENC,  90, 141S, 1415E,  64,  986, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031612, 03, GENC,  96, 142S, 1404E,  64,  986, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031612, 03, GENC, 102, 142S, 1391E,  68,  983, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031612, 03, GENC, 108, 143S, 1379E,  73,  979, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031612, 03, GENC, 114, 145S, 1366E,  70,  981, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031612, 03, GENC, 120, 146S, 1353E,  67,  984, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031612, 03, GENC, 126, 148S, 1339E,  60,  988, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031612, 03, GENC, 132, 149S, 1325E,  53,  993, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031612, 03, GENC, 138, 151S, 1310E,  51,  995, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031612, 03, GENC, 144, 152S, 1296E,  48,  997, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031612, 03, GENC, 150, 154S, 1283E,  47,  998, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031612, 03, GENC, 156, 156S, 1269E,  45,  999, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031612, 03, GENC, 162, 159S, 1256E,  45,  999, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031612, 03, GENC, 168, 161S, 1242E,  46,  999, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031612, 03, GENC, 174, 163S, 1230E,  48,  997, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031612, 03, GENC, 180, 164S, 1218E,  50,  996, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031612, 03, GENC, 186, 168S, 1208E,  52,  994, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031612, 03, GENC, 192, 172S, 1197E,  54,  993, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031612, 03, GENC, 198, 174S, 1184E,  58,  990, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
