# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
SH, 96, 2026031618, 03, GENC, 258, 216S, 1094E,  74,  978, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031618, 03, GENC, 264, 225S, 1089E,  72,  980, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031618, 03, GENC, 270, 233S, 1087E,  70,  981, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031618, 03, GENC, 276, 242S, 1085E,  68,  983, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031618, 03, GENC, 282, 249S, 1087E,  64,  985, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031618, 03, GENC, 288, 258S, 1087E,  61,  988, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031618, 03, GENC, 294, 252S, 1074E,  60,  988, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031618, 03, GENC, 300, 262S, 1073E,  58,  990, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031618, 03, GENC, 306, 256S, 1068E,  59,  989, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 96, 2026031618, 03, GENC, 312, 264S, 1069E,  57,  991, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
