# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 91, 2026012212, 03, FNV3,   0, 127S, 1184E,  19, 1000, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,  80,
IO, 91, 2026012212, 03, FNV3,   6, 132S, 1188E,  30,  999, XX,  34, NEQ,    6,    3,    2,    3,     ,     ,  42,
IO, 91, 2026012212, 03, FNV3,  12, 138S, 1193E,  34,  999, XX,  34, NEQ,   35,   31,   24,   26,     ,     ,  41,
IO, 91, 2026012212, 03, FNV3,  18, 145S, 1198E,  38,  997, XX,  34, NEQ,   53,   44,   35,   38,     ,     ,  42,
IO, 91, 2026012212, 03, FNV3,  24, 152S, 1203E,  42,  996, XX,  34, NEQ,   72,   65,   53,   58,     ,     ,  42,
IO, 91, 2026012212, 03, FNV3,  24, 152S, 1203E,  42,  996, XX,  50, NEQ,    4,    3,    2,    2,     ,     ,  42,
IO, 91, 2026012212, 03, FNV3,  30, 158S, 1211E,  48,  993, XX,  34, NEQ,   97,   89,   72,   79,     ,     ,  38,
IO, 91, 2026012212, 03, FNV3,  30, 158S, 1211E,  48,  993, XX,  50, NEQ,   14,   10,    8,    9,     ,     ,  38,
IO, 91, 2026012212, 03, FNV3,  36, 164S, 1219E,  56,  988, XX,  34, NEQ,  102,   95,   79,   84,     ,     ,  28,
IO, 91, 2026012212, 03, FNV3,  36, 164S, 1219E,  56,  988, XX,  50, NEQ,   29,   23,   17,   20,     ,     ,  28,
IO, 91, 2026012212, 03, FNV3,  36, 164S, 1219E,  56,  988, XX,  64, NEQ,    3,    2,    2,    2,     ,     ,  28,
IO, 91, 2026012212, 03, FNV3,  42, 169S, 1225E,  60,  984, XX,  34, NEQ,  107,  101,   83,   87,     ,     ,  22,
IO, 91, 2026012212, 03, FNV3,  42, 169S, 1225E,  60,  984, XX,  50, NEQ,   36,   31,   24,   27,     ,     ,  22,
IO, 91, 2026012212, 03, FNV3,  42, 169S, 1225E,  60,  984, XX,  64, NEQ,    7,    5,    4,    4,     ,     ,  22,
IO, 91, 2026012212, 03, FNV3,  48, 174S, 1231E,  52,  987, XX,  34, NEQ,   82,   77,   64,   67,     ,     ,  22,
IO, 91, 2026012212, 03, FNV3,  48, 174S, 1231E,  52,  987, XX,  50, NEQ,   20,   17,   13,   15,     ,     ,  22,
IO, 91, 2026012212, 03, FNV3,  48, 174S, 1231E,  52,  987, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  22,
IO, 91, 2026012212, 03, FNV3,  54, 178S, 1235E,  45,  989, XX,  34, NEQ,   67,   66,   56,   56,     ,     ,  23,
