# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 97, 2026021818, 03, FNV3,   0, 125S,  761E,  29, 1001, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,  80,
IO, 97, 2026021818, 03, FNV3,   6, 129S,  762E,  31,  999, XX,  34, NEQ,    5,    3,    3,    1,     ,     ,  42,
IO, 97, 2026021818, 03, FNV3,  12, 134S,  764E,  33,  999, XX,  34, NEQ,    7,    0,    4,    0,     ,     ,  42,
IO, 97, 2026021818, 03, FNV3,  18, 140S,  764E,  32, 1000, XX,  34, NEQ,    4,    5,    5,    4,     ,     ,  45,
IO, 97, 2026021818, 03, FNV3,  24, 146S,  762E,  33, 1000, XX,  34, NEQ,    7,    4,    5,    3,     ,     ,  40,
IO, 97, 2026021818, 03, FNV3,  30, 152S,  760E,  34, 1000, XX,  34, NEQ,   10,    7,    9,    7,     ,     ,  41,
IO, 97, 2026021818, 03, FNV3,  36, 157S,  757E,  37,  999, XX,  34, NEQ,   20,   22,   19,   14,     ,     ,  34,
IO, 97, 2026021818, 03, FNV3,  36, 157S,  757E,  37,  999, XX,  50, NEQ,    3,    3,    2,    2,     ,     ,  34,
IO, 97, 2026021818, 03, FNV3,  42, 160S,  753E,  41,  997, XX,  34, NEQ,   26,   29,   20,   19,     ,     ,  34,
IO, 97, 2026021818, 03, FNV3,  42, 160S,  753E,  41,  997, XX,  50, NEQ,    1,    0,    3,    0,     ,     ,  34,
IO, 97, 2026021818, 03, FNV3,  48, 164S,  746E,  44,  996, XX,  34, NEQ,   31,   38,   31,   31,     ,     ,  28,
IO, 97, 2026021818, 03, FNV3,  48, 164S,  746E,  44,  996, XX,  50, NEQ,    4,    4,    5,    3,     ,     ,  28,
IO, 97, 2026021818, 03, FNV3,  54, 167S,  739E,  47,  995, XX,  34, NEQ,   42,   51,   42,   36,     ,     ,  24,
IO, 97, 2026021818, 03, FNV3,  54, 167S,  739E,  47,  995, XX,  50, NEQ,    6,    6,    5,    5,     ,     ,  24,
IO, 97, 2026021818, 03, FNV3,  54, 167S,  739E,  47,  995, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  24,
IO, 97, 2026021818, 03, FNV3,  60, 170S,  732E,  49,  994, XX,  34, NEQ,   44,   50,   47,   38,     ,     ,  23,
IO, 97, 2026021818, 03, FNV3,  60, 170S,  732E,  49,  994, XX,  50, NEQ,    8,    9,    8,    6,     ,     ,  23,
IO, 97, 2026021818, 03, FNV3,  60, 170S,  732E,  49,  994, XX,  64, NEQ,    2,    3,    2,    2,     ,     ,  23,
IO, 97, 2026021818, 03, FNV3,  66, 172S,  723E,  57,  989, XX,  34, NEQ,   47,   59,   53,   41,     ,     ,  18,
IO, 97, 2026021818, 03, FNV3,  66, 172S,  723E,  57,  989, XX,  50, NEQ,   16,   18,   17,   13,     ,     ,  18,
IO, 97, 2026021818, 03, FNV3,  66, 172S,  723E,  57,  989, XX,  64, NEQ,    4,    5,    4,    4,     ,     ,  18,
IO, 97, 2026021818, 03, FNV3,  72, 176S,  714E,  60,  989, XX,  34, NEQ,   55,   66,   64,   50,     ,     ,  20,
IO, 97, 2026021818, 03, FNV3,  72, 176S,  714E,  60,  989, XX,  50, NEQ,   20,   23,   20,   16,     ,     ,  20,
IO, 97, 2026021818, 03, FNV3,  72, 176S,  714E,  60,  989, XX,  64, NEQ,    5,    8,    5,    5,     ,     ,  20,
IO, 97, 2026021818, 03, FNV3,  78, 180S,  705E,  68,  983, XX,  34, NEQ,   52,   72,   65,   45,     ,     ,  18,
IO, 97, 2026021818, 03, FNV3,  78, 180S,  705E,  68,  983, XX,  50, NEQ,   22,   27,   22,   18,     ,     ,  18,
IO, 97, 2026021818, 03, FNV3,  78, 180S,  705E,  68,  983, XX,  64, NEQ,    9,   12,    9,    8,     ,     ,  18,
IO, 97, 2026021818, 03, FNV3,  84, 185S,  695E,  74,  978, XX,  34, NEQ,   51,   72,   67,   44,     ,     ,  16,
IO, 97, 2026021818, 03, FNV3,  84, 185S,  695E,  74,  978, XX,  50, NEQ,   26,   32,   27,   22,     ,     ,  16,
IO, 97, 2026021818, 03, FNV3,  84, 185S,  695E,  74,  978, XX,  64, NEQ,   13,   14,   13,   12,     ,     ,  16,
IO, 97, 2026021818, 03, FNV3,  90, 190S,  687E,  79,  974, XX,  34, NEQ,   53,   76,   68,   45,     ,     ,  12,
IO, 97, 2026021818, 03, FNV3,  90, 190S,  687E,  79,  974, XX,  50, NEQ,   25,   31,   27,   21,     ,     ,  12,
