# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
EP, 11, 2025090212, 03, FNV3,  84, 149N, 1396W,  86,  974, XX,  34, NEQ,   69,   59,   46,   60,     ,     ,  17,
EP, 11, 2025090212, 03, FNV3,  84, 149N, 1396W,  86,  974, XX,  50, NEQ,   30,   25,   20,   26,     ,     ,  17,
EP, 11, 2025090212, 03, FNV3,  84, 149N, 1396W,  86,  974, XX,  64, NEQ,   15,   13,   11,   14,     ,     ,  17,
EP, 11, 2025090212, 03, FNV3,  90, 152N, 1406W,  87,  974, XX,  34, NEQ,   65,   54,   41,   57,     ,     ,  17,
EP, 11, 2025090212, 03, FNV3,  90, 152N, 1406W,  87,  974, XX,  50, NEQ,   31,   26,   21,   27,     ,     ,  17,
EP, 11, 2025090212, 03, FNV3,  90, 152N, 1406W,  87,  974, XX,  64, NEQ,   16,   14,   11,   14,     ,     ,  17,
EP, 11, 2025090212, 03, FNV3,  96, 156N, 1415W,  89,  972, XX,  34, NEQ,   66,   56,   43,   58,     ,     ,  18,
EP, 11, 2025090212, 03, FNV3,  96, 156N, 1415W,  89,  972, XX,  50, NEQ,   32,   27,   22,   28,     ,     ,  18,
EP, 11, 2025090212, 03, FNV3,  96, 156N, 1415W,  89,  972, XX,  64, NEQ,   17,   15,   12,   15,     ,     ,  18,
EP, 11, 2025090212, 03, FNV3, 102, 159N, 1424W,  89,  972, XX,  34, NEQ,   67,   55,   42,   60,     ,     ,  16,
EP, 11, 2025090212, 03, FNV3, 102, 159N, 1424W,  89,  972, XX,  50, NEQ,   33,   27,   22,   29,     ,     ,  16,
EP, 11, 2025090212, 03, FNV3, 102, 159N, 1424W,  89,  972, XX,  64, NEQ,   17,   15,   12,   15,     ,     ,  16,
EP, 11, 2025090212, 03, FNV3, 108, 163N, 1433W,  91,  971, XX,  34, NEQ,   67,   55,   42,   59,     ,     ,  15,
EP, 11, 2025090212, 03, FNV3, 108, 163N, 1433W,  91,  971, XX,  50, NEQ,   31,   25,   21,   28,     ,     ,  15,
EP, 11, 2025090212, 03, FNV3, 108, 163N, 1433W,  91,  971, XX,  64, NEQ,   17,   14,   12,   15,     ,     ,  15,
EP, 11, 2025090212, 03, FNV3, 114, 166N, 1443W,  91,  971, XX,  34, NEQ,   65,   53,   41,   59,     ,     ,  15,
EP, 11, 2025090212, 03, FNV3, 114, 166N, 1443W,  91,  971, XX,  50, NEQ,   33,   27,   22,   29,     ,     ,  15,
EP, 11, 2025090212, 03, FNV3, 114, 166N, 1443W,  91,  971, XX,  64, NEQ,   18,   15,   12,   16,     ,     ,  15,
EP, 11, 2025090212, 03, FNV3, 120, 169N, 1452W,  86,  975, XX,  34, NEQ,   65,   52,   39,   57,     ,     ,  16,
EP, 11, 2025090212, 03, FNV3, 120, 169N, 1452W,  86,  975, XX,  50, NEQ,   32,   26,   21,   28,     ,     ,  16,
EP, 11, 2025090212, 03, FNV3, 120, 169N, 1452W,  86,  975, XX,  64, NEQ,   17,   14,   12,   15,     ,     ,  16,
EP, 11, 2025090212, 03, FNV3, 126, 172N, 1462W,  83,  977, XX,  34, NEQ,   66,   52,   39,   58,     ,     ,  16,
EP, 11, 2025090212, 03, FNV3, 126, 172N, 1462W,  83,  977, XX,  50, NEQ,   32,   26,   20,   28,     ,     ,  16,
EP, 11, 2025090212, 03, FNV3, 126, 172N, 1462W,  83,  977, XX,  64, NEQ,   16,   13,   11,   14,     ,     ,  16,
EP, 11, 2025090212, 03, FNV3, 132, 175N, 1471W,  81,  979, XX,  34, NEQ,   64,   50,   37,   56,     ,     ,  18,
EP, 11, 2025090212, 03, FNV3, 132, 175N, 1471W,  81,  979, XX,  50, NEQ,   30,   24,   19,   26,     ,     ,  18,
EP, 11, 2025090212, 03, FNV3, 132, 175N, 1471W,  81,  979, XX,  64, NEQ,   14,   12,   10,   13,     ,     ,  18,
EP, 11, 2025090212, 03, FNV3, 138, 177N, 1480W,  75,  983, XX,  34, NEQ,   66,   50,   37,   57,     ,     ,  20,
