# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 99, 2026040100, 03, FNV3, 108, 294S,  724E,  63,  983, XX,  34, NEQ,  103,  105,   85,   79,     ,     ,  21,
IO, 99, 2026040100, 03, FNV3, 108, 294S,  724E,  63,  983, XX,  50, NEQ,   43,   38,   30,   32,     ,     ,  21,
IO, 99, 2026040100, 03, FNV3, 108, 294S,  724E,  63,  983, XX,  64, NEQ,   10,    6,    5,    6,     ,     ,  21,
IO, 99, 2026040100, 03, FNV3, 114, 308S,  734E,  55,  989, XX,  34, NEQ,   97,   97,   76,   75,     ,     ,  22,
IO, 99, 2026040100, 03, FNV3, 114, 308S,  734E,  55,  989, XX,  50, NEQ,   26,   22,   17,   17,     ,     ,  22,
IO, 99, 2026040100, 03, FNV3, 114, 308S,  734E,  55,  989, XX,  64, NEQ,    4,    3,    3,    3,     ,     ,  22,
IO, 99, 2026040100, 03, FNV3, 120, 319S,  740E,  45,  996, XX,  34, NEQ,   73,   71,   54,   54,     ,     ,  32,
IO, 99, 2026040100, 03, FNV3, 120, 319S,  740E,  45,  996, XX,  50, NEQ,    6,    5,    3,    3,     ,     ,  32,
IO, 99, 2026040100, 03, FNV3, 126, 330S,  748E,  37, 1001, XX,  34, NEQ,   26,   25,   18,   15,     ,     ,  39,
IO, 99, 2026040100, 03, FNV3, 126, 330S,  748E,  37, 1001, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  39,
IO, 99, 2026040100, 03, FNV3, 132, 340S,  756E,  32, 1004, XX,  34, NEQ,   12,    5,    4,    4,     ,     ,  41,
IO, 99, 2026040100, 03, FNV3, 138, 351S,  765E,  29, 1005, XX,  34, NEQ,    5,    0,    0,    0,     ,     ,  44,
IO, 99, 2026040100, 03, FNV3, 144, 354S,  768E,  28, 1006, XX,  34, NEQ,    2,    1,    0,    0,     ,     ,  51,
