# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 91, 2026012118, 03, FNV3,   0, 111S, 1186E,  25, 1003, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,  60,
IO, 91, 2026012118, 03, FNV3,   6, 119S, 1178E,  23, 1003, XX,  34, NEQ,    1,    0,    0,    0,     ,     ,  44,
IO, 91, 2026012118, 03, FNV3,  12, 123S, 1176E,  27, 1001, XX,  34, NEQ,    4,    3,    2,    3,     ,     ,  43,
IO, 91, 2026012118, 03, FNV3,  18, 126S, 1179E,  29, 1001, XX,  34, NEQ,    5,    5,    3,    4,     ,     ,  40,
IO, 91, 2026012118, 03, FNV3,  24, 131S, 1183E,  35,  998, XX,  34, NEQ,   27,   27,   20,   22,     ,     ,  41,
IO, 91, 2026012118, 03, FNV3,  24, 131S, 1183E,  35,  998, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  41,
IO, 91, 2026012118, 03, FNV3,  30, 137S, 1186E,  39,  996, XX,  34, NEQ,   54,   50,   40,   43,     ,     ,  39,
IO, 91, 2026012118, 03, FNV3,  30, 137S, 1186E,  39,  996, XX,  50, NEQ,    3,    3,    3,    3,     ,     ,  39,
IO, 91, 2026012118, 03, FNV3,  36, 144S, 1190E,  46,  993, XX,  34, NEQ,   79,   76,   62,   63,     ,     ,  34,
IO, 91, 2026012118, 03, FNV3,  36, 144S, 1190E,  46,  993, XX,  50, NEQ,   13,   10,    7,    8,     ,     ,  34,
IO, 91, 2026012118, 03, FNV3,  42, 151S, 1196E,  50,  991, XX,  34, NEQ,   91,   86,   69,   75,     ,     ,  33,
IO, 91, 2026012118, 03, FNV3,  42, 151S, 1196E,  50,  991, XX,  50, NEQ,   21,   15,   11,   13,     ,     ,  33,
IO, 91, 2026012118, 03, FNV3,  42, 151S, 1196E,  50,  991, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  33,
IO, 91, 2026012118, 03, FNV3,  48, 157S, 1204E,  55,  988, XX,  34, NEQ,  104,   98,   78,   84,     ,     ,  26,
IO, 91, 2026012118, 03, FNV3,  48, 157S, 1204E,  55,  988, XX,  50, NEQ,   32,   27,   21,   23,     ,     ,  26,
IO, 91, 2026012118, 03, FNV3,  48, 157S, 1204E,  55,  988, XX,  64, NEQ,    3,    3,    2,    3,     ,     ,  26,
IO, 91, 2026012118, 03, FNV3,  54, 163S, 1211E,  63,  984, XX,  34, NEQ,  117,  111,   93,   98,     ,     ,  25,
IO, 91, 2026012118, 03, FNV3,  54, 163S, 1211E,  63,  984, XX,  50, NEQ,   43,   38,   30,   33,     ,     ,  25,
IO, 91, 2026012118, 03, FNV3,  54, 163S, 1211E,  63,  984, XX,  64, NEQ,   10,    8,    6,    8,     ,     ,  25,
IO, 91, 2026012118, 03, FNV3,  60, 169S, 1216E,  72,  976, XX,  34, NEQ,  113,  110,   92,   92,     ,     ,  19,
IO, 91, 2026012118, 03, FNV3,  60, 169S, 1216E,  72,  976, XX,  50, NEQ,   47,   43,   34,   37,     ,     ,  19,
IO, 91, 2026012118, 03, FNV3,  60, 169S, 1216E,  72,  976, XX,  64, NEQ,   17,   15,   12,   13,     ,     ,  19,
IO, 91, 2026012118, 03, FNV3,  66, 174S, 1222E,  69,  977, XX,  34, NEQ,  102,   99,   83,   85,     ,     ,  20,
IO, 91, 2026012118, 03, FNV3,  66, 174S, 1222E,  69,  977, XX,  50, NEQ,   42,   38,   31,   34,     ,     ,  20,
IO, 91, 2026012118, 03, FNV3,  66, 174S, 1222E,  69,  977, XX,  64, NEQ,   15,   13,   11,   12,     ,     ,  20,
IO, 91, 2026012118, 03, FNV3,  72, 179S, 1226E,  60,  982, XX,  34, NEQ,   86,   89,   74,   69,     ,     ,  16,
IO, 91, 2026012118, 03, FNV3,  72, 179S, 1226E,  60,  982, XX,  50, NEQ,   33,   32,   27,   27,     ,     ,  16,
IO, 91, 2026012118, 03, FNV3,  72, 179S, 1226E,  60,  982, XX,  64, NEQ,    9,    9,    7,    7,     ,     ,  16,
IO, 91, 2026012118, 03, FNV3,  78, 184S, 1229E,  55,  984, XX,  34, NEQ,   73,   74,   62,   59,     ,     ,  21,
IO, 91, 2026012118, 03, FNV3,  78, 184S, 1229E,  55,  984, XX,  50, NEQ,   22,   20,   17,   18,     ,     ,  21,
IO, 91, 2026012118, 03, FNV3,  78, 184S, 1229E,  55,  984, XX,  64, NEQ,    7,    6,    5,    5,     ,     ,  21,
