# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
CP, 01, 2025073000, 03, FNV3,   0, 110N, 1565W, 105,  960, XX,  34, NEQ,   80,   60,   50,   70,     ,     ,  15,
CP, 01, 2025073000, 03, FNV3,   0, 110N, 1565W, 105,  960, XX,  50, NEQ,   40,   35,   25,   35,     ,     ,  15,
CP, 01, 2025073000, 03, FNV3,   0, 110N, 1565W, 105,  960, XX,  64, NEQ,   15,   10,   20,     ,     ,     ,  15,
CP, 01, 2025073000, 03, FNV3,   6, 111N, 1578W,  62,  991, XX,  34, NEQ,   50,   37,   25,   43,     ,     ,  22,
CP, 01, 2025073000, 03, FNV3,   6, 111N, 1578W,  62,  991, XX,  50, NEQ,   15,   11,    8,   12,     ,     ,  22,
CP, 01, 2025073000, 03, FNV3,   6, 111N, 1578W,  62,  991, XX,  64, NEQ,    3,    2,    1,    2,     ,     ,  22,
CP, 01, 2025073000, 03, FNV3,  12, 111N, 1592W,  60,  992, XX,  34, NEQ,   50,   36,   23,   42,     ,     ,  25,
CP, 01, 2025073000, 03, FNV3,  12, 111N, 1592W,  60,  992, XX,  50, NEQ,   15,   11,    8,   12,     ,     ,  25,
CP, 01, 2025073000, 03, FNV3,  12, 111N, 1592W,  60,  992, XX,  64, NEQ,    2,    2,    1,    2,     ,     ,  25,
CP, 01, 2025073000, 03, FNV3,  18, 113N, 1610W,  52,  996, XX,  34, NEQ,   55,   43,   29,   46,     ,     ,  30,
CP, 01, 2025073000, 03, FNV3,  18, 113N, 1610W,  52,  996, XX,  50, NEQ,   13,   10,    7,   10,     ,     ,  30,
CP, 01, 2025073000, 03, FNV3,  18, 113N, 1610W,  52,  996, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  30,
CP, 01, 2025073000, 03, FNV3,  24, 115N, 1630W,  45, 1000, XX,  34, NEQ,   37,   27,   17,   30,     ,     ,  34,
CP, 01, 2025073000, 03, FNV3,  24, 115N, 1630W,  45, 1000, XX,  50, NEQ,    4,    3,    2,    3,     ,     ,  34,
CP, 01, 2025073000, 03, FNV3,  30, 117N, 1652W,  38, 1003, XX,  34, NEQ,   23,   16,   10,   18,     ,     ,  37,
CP, 01, 2025073000, 03, FNV3,  30, 117N, 1652W,  38, 1003, XX,  50, NEQ,    1,    0,    0,    1,     ,     ,  37,
CP, 01, 2025073000, 03, FNV3,  36, 120N, 1672W,  37, 1004, XX,  34, NEQ,   18,   12,    6,   13,     ,     ,  41,
CP, 01, 2025073000, 03, FNV3,  42, 122N, 1691W,  35, 1005, XX,  34, NEQ,   16,   11,    7,   12,     ,     ,  41,
CP, 01, 2025073000, 03, FNV3,  42, 122N, 1691W,  35, 1005, XX,  50, NEQ,    1,    1,    0,    1,     ,     ,  41,
CP, 01, 2025073000, 03, FNV3,  48, 127N, 1710W,  36, 1004, XX,  34, NEQ,   12,    7,    4,    9,     ,     ,  40,
CP, 01, 2025073000, 03, FNV3,  48, 127N, 1710W,  36, 1004, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  40,
CP, 01, 2025073000, 03, FNV3,  54, 132N, 1728W,  35, 1004, XX,  34, NEQ,   12,    7,    4,    9,     ,     ,  41,
CP, 01, 2025073000, 03, FNV3,  54, 132N, 1728W,  35, 1004, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  41,
CP, 02, 2025073000, 03, FNV3,   0, 130N, 1509W,  35, 1006, XX,  34, NEQ,   30,    0,    0,   30,     ,     ,  20,
CP, 02, 2025073000, 03, FNV3,   6, 113N, 1574W,  62,  991, XX,  34, NEQ,   50,   37,   25,   43,     ,     ,  22,
CP, 02, 2025073000, 03, FNV3,   6, 113N, 1574W,  62,  991, XX,  50, NEQ,   15,   11,    8,   12,     ,     ,  22,
CP, 02, 2025073000, 03, FNV3,   6, 113N, 1574W,  62,  991, XX,  64, NEQ,    3,    2,    1,    2,     ,     ,  22,
CP, 02, 2025073000, 03, FNV3,  12, 111N, 1593W,  60,  992, XX,  34, NEQ,   50,   36,   23,   42,     ,     ,  25,
CP, 02, 2025073000, 03, FNV3,  12, 111N, 1593W,  60,  992, XX,  50, NEQ,   15,   11,    8,   12,     ,     ,  25,
CP, 02, 2025073000, 03, FNV3,  12, 111N, 1593W,  60,  992, XX,  64, NEQ,    2,    2,    1,    2,     ,     ,  25,
