# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
CP, 02, 2025073006, 03, FNV3,  42, 125N, 1708W,  37, 1004, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  40,
CP, 02, 2025073006, 03, FNV3,  48, 127N, 1726W,  35, 1004, XX,  34, NEQ,   13,    8,    4,   10,     ,     ,  45,
CP, 02, 2025073006, 03, FNV3,  48, 127N, 1726W,  35, 1004, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  45,
CP, 02, 2025073006, 03, FNV3,  54, 132N, 1744W,  35, 1005, XX,  34, NEQ,   12,    8,    5,    9,     ,     ,  45,
CP, 02, 2025073006, 03, FNV3,  54, 132N, 1744W,  35, 1005, XX,  50, NEQ,    3,    2,    2,    2,     ,     ,  45,
CP, 02, 2025073006, 03, FNV3,  54, 132N, 1744W,  35, 1005, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  45,
CP, 02, 2025073006, 03, FNV3,  60, 136N, 1759W,  35, 1004, XX,  34, NEQ,   17,   12,    8,   13,     ,     ,  44,
CP, 02, 2025073006, 03, FNV3,  60, 136N, 1759W,  35, 1004, XX,  50, NEQ,    2,    1,    1,    2,     ,     ,  44,
CP, 02, 2025073006, 03, FNV3,  66, 140N, 1775W,  34, 1005, XX,  34, NEQ,   12,    8,    5,    9,     ,     ,  41,
CP, 02, 2025073006, 03, FNV3,  66, 140N, 1775W,  34, 1005, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  41,
EP, 98, 2025073006, 03, FNV3,   0, 109N, 1400W,  29, 1009, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  30,
EP, 99, 2025073006, 03, FNV3,   0, 114N, 1082W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  90,
EP, 99, 2025073006, 03, FNV3,   6, 120N, 1102W,  29, 1006, XX,  34, NEQ,    1,    1,    0,    0,     ,     ,  51,
EP, 99, 2025073006, 03, FNV3,  12, 123N, 1115W,  32, 1005, XX,  34, NEQ,    9,    6,    3,    5,     ,     ,  51,
EP, 99, 2025073006, 03, FNV3,  18, 123N, 1128W,  38, 1003, XX,  34, NEQ,   23,   19,   13,   18,     ,     ,  50,
EP, 99, 2025073006, 03, FNV3,  18, 123N, 1128W,  38, 1003, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  50,
EP, 99, 2025073006, 03, FNV3,  24, 127N, 1140W,  45, 1000, XX,  34, NEQ,   54,   46,   32,   43,     ,     ,  43,
EP, 99, 2025073006, 03, FNV3,  24, 127N, 1140W,  45, 1000, XX,  50, NEQ,    4,    3,    2,    3,     ,     ,  43,
EP, 99, 2025073006, 03, FNV3,  30, 131N, 1153W,  53,  996, XX,  34, NEQ,   53,   43,   28,   42,     ,     ,  33,
EP, 99, 2025073006, 03, FNV3,  30, 131N, 1153W,  53,  996, XX,  50, NEQ,   10,    8,    5,    8,     ,     ,  33,
EP, 99, 2025073006, 03, FNV3,  30, 131N, 1153W,  53,  996, XX,  64, NEQ,    2,    1,    1,    2,     ,     ,  33,
EP, 99, 2025073006, 03, FNV3,  36, 135N, 1165W,  61,  992, XX,  34, NEQ,   74,   60,   41,   61,     ,     ,  28,
EP, 99, 2025073006, 03, FNV3,  36, 135N, 1165W,  61,  992, XX,  50, NEQ,   22,   17,   12,   17,     ,     ,  28,
EP, 99, 2025073006, 03, FNV3,  36, 135N, 1165W,  61,  992, XX,  64, NEQ,    5,    4,    3,    4,     ,     ,  28,
EP, 99, 2025073006, 03, FNV3,  42, 142N, 1178W,  67,  988, XX,  34, NEQ,   94,   78,   54,   77,     ,     ,  27,
EP, 99, 2025073006, 03, FNV3,  42, 142N, 1178W,  67,  988, XX,  50, NEQ,   33,   26,   19,   26,     ,     ,  27,
EP, 99, 2025073006, 03, FNV3,  42, 142N, 1178W,  67,  988, XX,  64, NEQ,    8,    6,    5,    7,     ,     ,  27,
EP, 99, 2025073006, 03, FNV3,  48, 148N, 1192W,  77,  981, XX,  34, NEQ,   99,   82,   59,   83,     ,     ,  23,
EP, 99, 2025073006, 03, FNV3,  48, 148N, 1192W,  77,  981, XX,  50, NEQ,   37,   30,   22,   30,     ,     ,  23,
EP, 99, 2025073006, 03, FNV3,  48, 148N, 1192W,  77,  981, XX,  64, NEQ,   11,    8,    7,    9,     ,     ,  23,
EP, 99, 2025073006, 03, FNV3,  54, 154N, 1208W,  86,  974, XX,  34, NEQ,   94,   77,   53,   78,     ,     ,  20,
EP, 99, 2025073006, 03, FNV3,  54, 154N, 1208W,  86,  974, XX,  50, NEQ,   41,   33,   24,   34,     ,     ,  20,
EP, 99, 2025073006, 03, FNV3,  54, 154N, 1208W,  86,  974, XX,  64, NEQ,   17,   14,   11,   14,     ,     ,  20,
EP, 99, 2025073006, 03, FNV3,  60, 161N, 1224W,  80,  979, XX,  34, NEQ,   98,   81,   57,   84,     ,     ,  23,
EP, 99, 2025073006, 03, FNV3,  60, 161N, 1224W,  80,  979, XX,  50, NEQ,   42,   34,   25,   35,     ,     ,  23,
EP, 99, 2025073006, 03, FNV3,  60, 161N, 1224W,  80,  979, XX,  64, NEQ,   16,   13,   10,   14,     ,     ,  23,
EP, 99, 2025073006, 03, FNV3,  66, 168N, 1240W,  75,  982, XX,  34, NEQ,   99,   81,   58,   83,     ,     ,  21,
EP, 99, 2025073006, 03, FNV3,  66, 168N, 1240W,  75,  982, XX,  50, NEQ,   37,   29,   21,   30,     ,     ,  21,
EP, 99, 2025073006, 03, FNV3,  66, 168N, 1240W,  75,  982, XX,  64, NEQ,   12,    9,    7,   10,     ,     ,  21,
EP, 99, 2025073006, 03, FNV3,  72, 175N, 1258W,  72,  985, XX,  34, NEQ,  100,   80,   59,   86,     ,     ,  24,
EP, 99, 2025073006, 03, FNV3,  72, 175N, 1258W,  72,  985, XX,  50, NEQ,   42,   34,   25,   34,     ,     ,  24,
EP, 99, 2025073006, 03, FNV3,  72, 175N, 1258W,  72,  985, XX,  64, NEQ,   13,   10,    8,   11,     ,     ,  24,
EP, 99, 2025073006, 03, FNV3,  78, 182N, 1276W,  61,  991, XX,  34, NEQ,   95,   77,   56,   79,     ,     ,  26,
EP, 99, 2025073006, 03, FNV3,  78, 182N, 1276W,  61,  991, XX,  50, NEQ,   33,   26,   19,   26,     ,     ,  26,
EP, 99, 2025073006, 03, FNV3,  78, 182N, 1276W,  61,  991, XX,  64, NEQ,    6,    5,    3,    5,     ,     ,  26,
EP, 99, 2025073006, 03, FNV3,  84, 189N, 1294W,  53,  997, XX,  34, NEQ,   94,   76,   57,   80,     ,     ,  33,
EP, 99, 2025073006, 03, FNV3,  84, 189N, 1294W,  53,  997, XX,  50, NEQ,   21,   17,   12,   17,     ,     ,  33,
EP, 99, 2025073006, 03, FNV3,  84, 189N, 1294W,  53,  997, XX,  64, NEQ,    1,    1,    0,    1,     ,     ,  33,
EP, 99, 2025073006, 03, FNV3,  90, 197N, 1312W,  47, 1001, XX,  34, NEQ,   88,   70,   51,   72,     ,     ,  41,
EP, 99, 2025073006, 03, FNV3,  90, 197N, 1312W,  47, 1001, XX,  50, NEQ,   12,    9,    6,    9,     ,     ,  41,
EP, 99, 2025073006, 03, FNV3,  96, 203N, 1330W,  42, 1003, XX,  34, NEQ,   67,   53,   38,   55,     ,     ,  31,
EP, 99, 2025073006, 03, FNV3,  96, 203N, 1330W,  42, 1003, XX,  50, NEQ,    6,    5,    3,    5,     ,     ,  31,
EP, 99, 2025073006, 03, FNV3, 102, 208N, 1347W,  38, 1005, XX,  34, NEQ,   44,   33,   23,   35,     ,     ,  42,
EP, 99, 2025073006, 03, FNV3, 102, 208N, 1347W,  38, 1005, XX,  50, NEQ,    1,    1,    0,    1,     ,     ,  42,
EP, 99, 2025073006, 03, FNV3, 108, 214N, 1363W,  35, 1006, XX,  34, NEQ,   43,   33,   24,   34,     ,     ,  40,
EP, 99, 2025073006, 03, FNV3, 108, 214N, 1363W,  35, 1006, XX,  50, NEQ,    1,    1,    0,    1,     ,     ,  40,
EP, 99, 2025073006, 03, FNV3, 114, 218N, 1377W,  35, 1007, XX,  34, NEQ,   31,   23,   16,   24,     ,     ,  46,
EP, 99, 2025073006, 03, FNV3, 120, 221N, 1390W,  32, 1007, XX,  34, NEQ,   15,   10,    7,   11,     ,     ,  44,
EP, 99, 2025073006, 03, FNV3, 126, 225N, 1403W,  31, 1008, XX,  34, NEQ,   11,    8,    4,    8,     ,     ,  50,
EP, 99, 2025073006, 03, FNV3, 132, 228N, 1415W,  30, 1008, XX,  34, NEQ,    4,    2,    1,    3,     ,     ,  50,
EP, 99, 2025073006, 03, FNV3, 138, 231N, 1426W,  30, 1008, XX,  34, NEQ,    8,    5,    3,    5,     ,     ,  47,
WP, 11, 2025073006, 03, FNV3,   0, 307N, 1218E,  39,  981, XX,  34, NEQ,  130,   85,   50,  110,     ,     ,  50,
WP, 11, 2025073006, 03, FNV3,   6, 310N, 1212E,  40,  985, XX,  34, NEQ,   41,   38,   31,   35,     ,     ,  31,
WP, 11, 2025073006, 03, FNV3,   6, 310N, 1212E,  40,  985, XX,  50, NEQ,    2,    2,    1,    2,     ,     ,  31,
WP, 11, 2025073006, 03, FNV3,  12, 314N, 1204E,  35,  988, XX,  34, NEQ,   16,   14,   11,   13,     ,     ,  34,
