# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
SH, 27, 2026031900, 03, FNV3,   0, 136S, 1478E, 115,  947, XX,  34, NEQ,  110,   90,  110,  110,     ,     ,   5,
SH, 27, 2026031900, 03, FNV3,   6, 136S, 1466E, 115,  948, XX,  34, NEQ,   79,  114,  112,   75,     ,     ,   9,
SH, 27, 2026031900, 03, FNV3,   6, 136S, 1466E, 115,  948, XX,  50, NEQ,   47,   57,   55,   43,     ,     ,   9,
SH, 27, 2026031900, 03, FNV3,   6, 136S, 1466E, 115,  948, XX,  64, NEQ,   30,   32,   29,   27,     ,     ,   9,
SH, 27, 2026031900, 03, FNV3,  12, 136S, 1455E, 117,  946, XX,  34, NEQ,   86,  116,  122,   90,     ,     ,  14,
SH, 27, 2026031900, 03, FNV3,  12, 136S, 1455E, 117,  946, XX,  50, NEQ,   51,   63,   62,   50,     ,     ,  14,
SH, 27, 2026031900, 03, FNV3,  12, 136S, 1455E, 117,  946, XX,  64, NEQ,   35,   38,   34,   32,     ,     ,  14,
SH, 27, 2026031900, 03, FNV3,  18, 135S, 1444E, 109,  950, XX,  34, NEQ,   77,  103,  106,   79,     ,     ,  10,
SH, 27, 2026031900, 03, FNV3,  18, 135S, 1444E, 109,  950, XX,  50, NEQ,   47,   55,   54,   44,     ,     ,  10,
SH, 27, 2026031900, 03, FNV3,  18, 135S, 1444E, 109,  950, XX,  64, NEQ,   31,   33,   29,   29,     ,     ,  10,
SH, 27, 2026031900, 03, FNV3,  24, 134S, 1434E,  95,  960, XX,  34, NEQ,   74,   94,   97,   73,     ,     ,  11,
SH, 27, 2026031900, 03, FNV3,  24, 134S, 1434E,  95,  960, XX,  50, NEQ,   39,   46,   45,   37,     ,     ,  11,
SH, 27, 2026031900, 03, FNV3,  24, 134S, 1434E,  95,  960, XX,  64, NEQ,   22,   24,   21,   20,     ,     ,  11,
SH, 27, 2026031900, 03, FNV3,  30, 134S, 1426E,  73,  976, XX,  34, NEQ,   76,   90,   85,   70,     ,     ,  17,
SH, 27, 2026031900, 03, FNV3,  30, 134S, 1426E,  73,  976, XX,  50, NEQ,   33,   37,   34,   29,     ,     ,  17,
SH, 27, 2026031900, 03, FNV3,  30, 134S, 1426E,  73,  976, XX,  64, NEQ,   12,   14,   13,   11,     ,     ,  17,
SH, 27, 2026031900, 03, FNV3,  36, 134S, 1417E,  62,  984, XX,  34, NEQ,   71,   78,   76,   67,     ,     ,  23,
SH, 27, 2026031900, 03, FNV3,  36, 134S, 1417E,  62,  984, XX,  50, NEQ,   23,   28,   25,   21,     ,     ,  23,
SH, 27, 2026031900, 03, FNV3,  36, 134S, 1417E,  62,  984, XX,  64, NEQ,    5,    7,    7,    6,     ,     ,  23,
SH, 27, 2026031900, 03, FNV3,  42, 134S, 1407E,  65,  984, XX,  34, NEQ,   71,   86,   83,   66,     ,     ,  19,
SH, 27, 2026031900, 03, FNV3,  42, 134S, 1407E,  65,  984, XX,  50, NEQ,   25,   30,   28,   22,     ,     ,  19,
SH, 27, 2026031900, 03, FNV3,  42, 134S, 1407E,  65,  984, XX,  64, NEQ,    9,   11,    9,    8,     ,     ,  19,
SH, 27, 2026031900, 03, FNV3,  48, 135S, 1396E,  71,  981, XX,  34, NEQ,   83,  101,  101,   80,     ,     ,  18,
SH, 27, 2026031900, 03, FNV3,  48, 135S, 1396E,  71,  981, XX,  50, NEQ,   34,   40,   37,   30,     ,     ,  18,
SH, 27, 2026031900, 03, FNV3,  48, 135S, 1396E,  71,  981, XX,  64, NEQ,   12,   15,   13,   11,     ,     ,  18,
SH, 27, 2026031900, 03, FNV3,  54, 136S, 1384E,  78,  975, XX,  34, NEQ,   86,  109,  109,   81,     ,     ,  18,
SH, 27, 2026031900, 03, FNV3,  54, 136S, 1384E,  78,  975, XX,  50, NEQ,   43,   53,   50,   39,     ,     ,  18,
SH, 27, 2026031900, 03, FNV3,  54, 136S, 1384E,  78,  975, XX,  64, NEQ,   17,   21,   18,   16,     ,     ,  18,
SH, 27, 2026031900, 03, FNV3,  60, 137S, 1373E,  78,  976, XX,  34, NEQ,   90,  112,  112,   87,     ,     ,  21,
SH, 27, 2026031900, 03, FNV3,  60, 137S, 1373E,  78,  976, XX,  50, NEQ,   46,   55,   51,   41,     ,     ,  21,
SH, 27, 2026031900, 03, FNV3,  60, 137S, 1373E,  78,  976, XX,  64, NEQ,   20,   24,   20,   18,     ,     ,  21,
SH, 27, 2026031900, 03, FNV3,  66, 139S, 1359E,  72,  979, XX,  34, NEQ,   80,  100,   93,   72,     ,     ,  17,
SH, 27, 2026031900, 03, FNV3,  66, 139S, 1359E,  72,  979, XX,  50, NEQ,   37,   42,   40,   32,     ,     ,  17,
SH, 27, 2026031900, 03, FNV3,  66, 139S, 1359E,  72,  979, XX,  64, NEQ,   15,   17,   14,   12,     ,     ,  17,
SH, 27, 2026031900, 03, FNV3,  72, 141S, 1346E,  55,  987, XX,  34, NEQ,   64,   71,   64,   57,     ,     ,  22,
SH, 27, 2026031900, 03, FNV3,  72, 141S, 1346E,  55,  987, XX,  50, NEQ,   16,   18,   16,   13,     ,     ,  22,
SH, 27, 2026031900, 03, FNV3,  72, 141S, 1346E,  55,  987, XX,  64, NEQ,    3,    2,    2,    1,     ,     ,  22,
SH, 27, 2026031900, 03, FNV3,  78, 142S, 1332E,  40,  994, XX,  34, NEQ,   31,   38,   30,   26,     ,     ,  26,
SH, 27, 2026031900, 03, FNV3,  78, 142S, 1332E,  40,  994, XX,  50, NEQ,    4,    4,    3,    3,     ,     ,  26,
SH, 27, 2026031900, 03, FNV3,  84, 142S, 1319E,  33,  997, XX,  34, NEQ,   18,   19,   17,   16,     ,     ,  34,
SH, 27, 2026031900, 03, FNV3,  90, 144S, 1307E,  32,  998, XX,  34, NEQ,   16,   16,   13,   13,     ,     ,  34,
SH, 27, 2026031900, 03, FNV3,  96, 146S, 1296E,  28,  999, XX,  34, NEQ,    7,    6,    5,    6,     ,     ,  39,
SH, 27, 2026031900, 03, FNV3, 102, 149S, 1286E,  28,  998, XX,  34, NEQ,    5,    5,    3,    5,     ,     ,  37,
SH, 27, 2026031900, 03, FNV3, 108, 151S, 1273E,  28,  997, XX,  34, NEQ,    5,    4,    3,    3,     ,     ,  36,
