# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
SH, 27, 2026031906, 03, FNV3, 102, 151S, 1272E,  31,  997, XX,  34, NEQ,   14,   17,   13,   13,     ,     ,  35,
SH, 27, 2026031906, 03, FNV3, 108, 153S, 1259E,  32,  997, XX,  34, NEQ,   17,   18,   15,   14,     ,     ,  36,
SH, 27, 2026031906, 03, FNV3, 114, 156S, 1248E,  36,  995, XX,  34, NEQ,   34,   37,   32,   31,     ,     ,  34,
SH, 27, 2026031906, 03, FNV3, 114, 156S, 1248E,  36,  995, XX,  50, NEQ,    3,    3,    4,    2,     ,     ,  34,
SH, 27, 2026031906, 03, FNV3, 114, 156S, 1248E,  36,  995, XX,  64, NEQ,    0,    0,    1,    0,     ,     ,  34,
SH, 27, 2026031906, 03, FNV3, 120, 160S, 1238E,  41,  993, XX,  34, NEQ,   51,   56,   51,   44,     ,     ,  34,
SH, 27, 2026031906, 03, FNV3, 120, 160S, 1238E,  41,  993, XX,  50, NEQ,    6,    8,    5,    4,     ,     ,  34,
SH, 27, 2026031906, 03, FNV3, 120, 160S, 1238E,  41,  993, XX,  64, NEQ,    0,    1,    0,    0,     ,     ,  34,
SH, 27, 2026031906, 03, FNV3, 126, 162S, 1227E,  48,  990, XX,  34, NEQ,   72,   77,   69,   64,     ,     ,  32,
SH, 27, 2026031906, 03, FNV3, 126, 162S, 1227E,  48,  990, XX,  50, NEQ,   14,   15,   14,   12,     ,     ,  32,
SH, 27, 2026031906, 03, FNV3, 126, 162S, 1227E,  48,  990, XX,  64, NEQ,    3,    4,    3,    3,     ,     ,  32,
SH, 27, 2026031906, 03, FNV3, 132, 164S, 1215E,  56,  987, XX,  34, NEQ,   82,   92,   84,   71,     ,     ,  28,
SH, 27, 2026031906, 03, FNV3, 132, 164S, 1215E,  56,  987, XX,  50, NEQ,   23,   28,   24,   20,     ,     ,  28,
SH, 27, 2026031906, 03, FNV3, 132, 164S, 1215E,  56,  987, XX,  64, NEQ,    6,    7,    6,    5,     ,     ,  28,
SH, 27, 2026031906, 03, FNV3, 138, 167S, 1204E,  67,  980, XX,  34, NEQ,   86,  104,   97,   78,     ,     ,  23,
SH, 27, 2026031906, 03, FNV3, 138, 167S, 1204E,  67,  980, XX,  50, NEQ,   33,   39,   35,   29,     ,     ,  23,
SH, 27, 2026031906, 03, FNV3, 138, 167S, 1204E,  67,  980, XX,  64, NEQ,   12,   14,   12,   11,     ,     ,  23,
SH, 27, 2026031906, 03, FNV3, 144, 171S, 1194E,  80,  972, XX,  34, NEQ,   86,  111,  104,   77,     ,     ,  19,
SH, 27, 2026031906, 03, FNV3, 144, 171S, 1194E,  80,  972, XX,  50, NEQ,   42,   50,   47,   37,     ,     ,  19,
SH, 27, 2026031906, 03, FNV3, 144, 171S, 1194E,  80,  972, XX,  64, NEQ,   21,   24,   21,   19,     ,     ,  19,
SH, 27, 2026031906, 03, FNV3, 150, 173S, 1182E,  91,  964, XX,  34, NEQ,   95,  119,  114,   87,     ,     ,  17,
SH, 27, 2026031906, 03, FNV3, 150, 173S, 1182E,  91,  964, XX,  50, NEQ,   51,   59,   54,   45,     ,     ,  17,
SH, 27, 2026031906, 03, FNV3, 150, 173S, 1182E,  91,  964, XX,  64, NEQ,   28,   30,   27,   25,     ,     ,  17,
SH, 27, 2026031906, 03, FNV3, 156, 175S, 1171E,  96,  960, XX,  34, NEQ,  100,  130,  124,   90,     ,     ,  14,
SH, 27, 2026031906, 03, FNV3, 156, 175S, 1171E,  96,  960, XX,  50, NEQ,   56,   66,   61,   50,     ,     ,  14,
SH, 27, 2026031906, 03, FNV3, 156, 175S, 1171E,  96,  960, XX,  64, NEQ,   31,   35,   30,   28,     ,     ,  14,
SH, 27, 2026031906, 03, FNV3, 162, 177S, 1160E,  99,  957, XX,  34, NEQ,  104,  133,  128,   96,     ,     ,  14,
SH, 27, 2026031906, 03, FNV3, 162, 177S, 1160E,  99,  957, XX,  50, NEQ,   56,   65,   60,   50,     ,     ,  14,
SH, 27, 2026031906, 03, FNV3, 162, 177S, 1160E,  99,  957, XX,  64, NEQ,   32,   35,   30,   28,     ,     ,  14,
SH, 27, 2026031906, 03, FNV3, 168, 181S, 1150E, 101,  954, XX,  34, NEQ,  112,  147,  134,   97,     ,     ,  17,
SH, 27, 2026031906, 03, FNV3, 168, 181S, 1150E, 101,  954, XX,  50, NEQ,   59,   71,   65,   53,     ,     ,  17,
SH, 27, 2026031906, 03, FNV3, 168, 181S, 1150E, 101,  954, XX,  64, NEQ,   35,   39,   33,   31,     ,     ,  17,
SH, 27, 2026031906, 03, FNV3, 174, 185S, 1140E, 100,  956, XX,  34, NEQ,  113,  146,  135,   99,     ,     ,  16,
SH, 27, 2026031906, 03, FNV3, 174, 185S, 1140E, 100,  956, XX,  50, NEQ,   61,   71,   65,   54,     ,     ,  16,
SH, 27, 2026031906, 03, FNV3, 174, 185S, 1140E, 100,  956, XX,  64, NEQ,   36,   38,   33,   32,     ,     ,  16,
SH, 27, 2026031906, 03, FNV3, 180, 190S, 1131E,  99,  956, XX,  34, NEQ,  108,  143,  131,   94,     ,     ,  16,
SH, 27, 2026031906, 03, FNV3, 180, 190S, 1131E,  99,  956, XX,  50, NEQ,   60,   70,   64,   52,     ,     ,  16,
SH, 27, 2026031906, 03, FNV3, 180, 190S, 1131E,  99,  956, XX,  64, NEQ,   33,   36,   31,   30,     ,     ,  16,
SH, 27, 2026031906, 03, FNV3, 186, 197S, 1124E,  93,  960, XX,  34, NEQ,  104,  137,  124,   89,     ,     ,  20,
SH, 27, 2026031906, 03, FNV3, 186, 197S, 1124E,  93,  960, XX,  50, NEQ,   54,   63,   57,   47,     ,     ,  20,
SH, 27, 2026031906, 03, FNV3, 186, 197S, 1124E,  93,  960, XX,  64, NEQ,   29,   31,   27,   25,     ,     ,  20,
SH, 27, 2026031906, 03, FNV3, 192, 205S, 1117E,  88,  962, XX,  34, NEQ,  104,  136,  121,   88,     ,     ,  19,
SH, 27, 2026031906, 03, FNV3, 192, 205S, 1117E,  88,  962, XX,  50, NEQ,   57,   65,   58,   49,     ,     ,  19,
SH, 27, 2026031906, 03, FNV3, 192, 205S, 1117E,  88,  962, XX,  64, NEQ,   30,   33,   28,   27,     ,     ,  19,
SH, 27, 2026031906, 03, FNV3, 198, 210S, 1112E,  81,  967, XX,  34, NEQ,   97,  124,  113,   82,     ,     ,  22,
SH, 27, 2026031906, 03, FNV3, 198, 210S, 1112E,  81,  967, XX,  50, NEQ,   53,   60,   54,   46,     ,     ,  22,
SH, 27, 2026031906, 03, FNV3, 198, 210S, 1112E,  81,  967, XX,  64, NEQ,   29,   32,   27,   26,     ,     ,  22,
SH, 27, 2026031906, 03, FNV3, 204, 218S, 1109E,  77,  971, XX,  34, NEQ,   93,  119,  108,   80,     ,     ,  22,
SH, 27, 2026031906, 03, FNV3, 204, 218S, 1109E,  77,  971, XX,  50, NEQ,   53,   60,   54,   46,     ,     ,  22,
SH, 27, 2026031906, 03, FNV3, 204, 218S, 1109E,  77,  971, XX,  64, NEQ,   27,   29,   25,   23,     ,     ,  22,
SH, 27, 2026031906, 03, FNV3, 210, 224S, 1107E,  71,  974, XX,  34, NEQ,   97,  116,  103,   81,     ,     ,  23,
SH, 27, 2026031906, 03, FNV3, 210, 224S, 1107E,  71,  974, XX,  50, NEQ,   49,   53,   48,   42,     ,     ,  23,
SH, 27, 2026031906, 03, FNV3, 210, 224S, 1107E,  71,  974, XX,  64, NEQ,   24,   25,   22,   21,     ,     ,  23,
SH, 27, 2026031906, 03, FNV3, 216, 230S, 1104E,  68,  975, XX,  34, NEQ,   96,  113,   99,   77,     ,     ,  29,
SH, 27, 2026031906, 03, FNV3, 216, 230S, 1104E,  68,  975, XX,  50, NEQ,   48,   52,   45,   40,     ,     ,  29,
SH, 27, 2026031906, 03, FNV3, 216, 230S, 1104E,  68,  975, XX,  64, NEQ,   21,   22,   18,   17,     ,     ,  29,
SH, 27, 2026031906, 03, FNV3, 222, 236S, 1105E,  64,  980, XX,  34, NEQ,   85,   96,   84,   70,     ,     ,  28,
SH, 27, 2026031906, 03, FNV3, 222, 236S, 1105E,  64,  980, XX,  50, NEQ,   39,   42,   35,   32,     ,     ,  28,
SH, 27, 2026031906, 03, FNV3, 222, 236S, 1105E,  64,  980, XX,  64, NEQ,   19,   18,   16,   15,     ,     ,  28,
SH, 27, 2026031906, 03, FNV3, 228, 241S, 1101E,  61,  982, XX,  34, NEQ,   87,   97,   84,   68,     ,     ,  28,
SH, 27, 2026031906, 03, FNV3, 228, 241S, 1101E,  61,  982, XX,  50, NEQ,   39,   40,   33,   31,     ,     ,  28,
SH, 27, 2026031906, 03, FNV3, 228, 241S, 1101E,  61,  982, XX,  64, NEQ,   13,   14,   11,   11,     ,     ,  28,
SH, 27, 2026031906, 03, FNV3, 234, 250S, 1104E,  54,  986, XX,  34, NEQ,   79,   86,   74,   61,     ,     ,  34,
SH, 27, 2026031906, 03, FNV3, 234, 250S, 1104E,  54,  986, XX,  50, NEQ,   29,   31,   24,   23,     ,     ,  34,
SH, 27, 2026031906, 03, FNV3, 234, 250S, 1104E,  54,  986, XX,  64, NEQ,    7,    8,    6,    6,     ,     ,  34,
SH, 27, 2026031906, 03, FNV3, 240, 253S, 1103E,  51,  987, XX,  34, NEQ,   69,   78,   67,   54,     ,     ,  31,
SH, 27, 2026031906, 03, FNV3, 240, 253S, 1103E,  51,  987, XX,  50, NEQ,   28,   30,   25,   22,     ,     ,  31,
