# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
SH, 27, 2026031912, 03, FNV3, 114, 163S, 1232E,  41,  993, XX,  34, NEQ,   51,   54,   50,   44,     ,     ,  36,
SH, 27, 2026031912, 03, FNV3, 114, 163S, 1232E,  41,  993, XX,  50, NEQ,    4,    6,    4,    3,     ,     ,  36,
SH, 27, 2026031912, 03, FNV3, 114, 163S, 1232E,  41,  993, XX,  64, NEQ,    0,    1,    0,    0,     ,     ,  36,
SH, 27, 2026031912, 03, FNV3, 120, 167S, 1219E,  48,  991, XX,  34, NEQ,   55,   65,   57,   50,     ,     ,  27,
SH, 27, 2026031912, 03, FNV3, 120, 167S, 1219E,  48,  991, XX,  50, NEQ,   14,   14,   13,   11,     ,     ,  27,
SH, 27, 2026031912, 03, FNV3, 120, 167S, 1219E,  48,  991, XX,  64, NEQ,    1,    1,    0,    0,     ,     ,  27,
SH, 27, 2026031912, 03, FNV3, 126, 169S, 1208E,  58,  986, XX,  34, NEQ,   75,   86,   78,   66,     ,     ,  28,
SH, 27, 2026031912, 03, FNV3, 126, 169S, 1208E,  58,  986, XX,  50, NEQ,   24,   30,   24,   20,     ,     ,  28,
SH, 27, 2026031912, 03, FNV3, 126, 169S, 1208E,  58,  986, XX,  64, NEQ,    5,    7,    6,    5,     ,     ,  28,
SH, 27, 2026031912, 03, FNV3, 132, 172S, 1197E,  70,  979, XX,  34, NEQ,   87,  104,   99,   79,     ,     ,  23,
SH, 27, 2026031912, 03, FNV3, 132, 172S, 1197E,  70,  979, XX,  50, NEQ,   37,   41,   38,   31,     ,     ,  23,
SH, 27, 2026031912, 03, FNV3, 132, 172S, 1197E,  70,  979, XX,  64, NEQ,   13,   17,   12,   11,     ,     ,  23,
SH, 27, 2026031912, 03, FNV3, 138, 177S, 1187E,  84,  969, XX,  34, NEQ,   85,  113,  105,   75,     ,     ,  17,
SH, 27, 2026031912, 03, FNV3, 138, 177S, 1187E,  84,  969, XX,  50, NEQ,   44,   53,   48,   39,     ,     ,  17,
SH, 27, 2026031912, 03, FNV3, 138, 177S, 1187E,  84,  969, XX,  64, NEQ,   23,   26,   23,   21,     ,     ,  17,
SH, 27, 2026031912, 03, FNV3, 144, 180S, 1176E,  94,  961, XX,  34, NEQ,   95,  123,  116,   86,     ,     ,  17,
