# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
CP, 90, 2025072700, 03, GENC,   0, 108N, 1440W,  29, 1008, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 90, 2025072700, 03, GENC,   6, 108N, 1447W,  29, 1008, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 90, 2025072700, 03, GENC,  12, 108N, 1455W,  29, 1008, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 90, 2025072700, 03, GENC,  18, 108N, 1463W,  30, 1008, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 90, 2025072700, 03, GENC,  24, 108N, 1472W,  31, 1007, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 90, 2025072700, 03, GENC,  30, 107N, 1482W,  32, 1006, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 90, 2025072700, 03, GENC,  36, 107N, 1492W,  33, 1006, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 90, 2025072700, 03, GENC,  42, 107N, 1505W,  34, 1005, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 90, 2025072700, 03, GENC,  48, 107N, 1519W,  35, 1005, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 90, 2025072700, 03, GENC,  54, 106N, 1532W,  36, 1004, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 90, 2025072700, 03, GENC,  60, 104N, 1545W,  37, 1004, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 90, 2025072700, 03, GENC,  66, 104N, 1558W,  36, 1004, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 90, 2025072700, 03, GENC,  72, 103N, 1572W,  35, 1005, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 90, 2025072700, 03, GENC,  78, 103N, 1585W,  35, 1005, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 90, 2025072700, 03, GENC,  84, 102N, 1598W,  34, 1005, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 90, 2025072700, 03, GENC,  90, 103N, 1618W,  34, 1006, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 90, 2025072700, 03, GENC,  96, 104N, 1633W,  33, 1006, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 90, 2025072700, 03, GENC, 102, 107N, 1656W,  32, 1007, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 90, 2025072700, 03, GENC, 108, 108N, 1671W,  31, 1007, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 90, 2025072700, 03, GENC, 114, 111N, 1694W,  31, 1007, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 90, 2025072700, 03, GENC, 120, 113N, 1712W,  30, 1008, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 11, 2025072700, 03, GENC,   0, 265N, 1282E,  54,  993, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 11, 2025072700, 03, GENC,   6, 264N, 1290E,  55,  992, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 11, 2025072700, 03, GENC,  12, 263N, 1297E,  57,  992, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 11, 2025072700, 03, GENC,  18, 265N, 1292E,  59,  990, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 11, 2025072700, 03, GENC,  24, 267N, 1287E,  61,  989, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 11, 2025072700, 03, GENC,  30, 269N, 1279E,  62,  988, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 11, 2025072700, 03, GENC,  36, 271N, 1271E,  63,  987, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 11, 2025072700, 03, GENC,  42, 277N, 1261E,  64,  986, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 11, 2025072700, 03, GENC,  48, 282N, 1250E,  66,  985, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 11, 2025072700, 03, GENC,  54, 286N, 1242E,  67,  984, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 11, 2025072700, 03, GENC,  60, 289N, 1234E,  68,  983, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 11, 2025072700, 03, GENC,  66, 295N, 1230E,  68,  983, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 11, 2025072700, 03, GENC,  72, 300N, 1227E,  68,  983, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 11, 2025072700, 03, GENC,  78, 304N, 1225E,  68,  983, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 11, 2025072700, 03, GENC,  84, 308N, 1223E,  67,  984, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 11, 2025072700, 03, GENC,  90, 312N, 1221E,  66,  985, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 11, 2025072700, 03, GENC,  96, 317N, 1219E,  65,  986, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 11, 2025072700, 03, GENC, 102, 319N, 1218E,  63,  987, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 11, 2025072700, 03, GENC, 108, 321N, 1217E,  60,  989, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 11, 2025072700, 03, GENC, 114, 324N, 1217E,  59,  990, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 11, 2025072700, 03, GENC, 120, 327N, 1217E,  57,  991, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 11, 2025072700, 03, GENC, 126, 328N, 1220E,  57,  991, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 11, 2025072700, 03, GENC, 132, 331N, 1222E,  56,  991, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 11, 2025072700, 03, GENC, 138, 333N, 1227E,  57,  991, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 11, 2025072700, 03, GENC, 144, 337N, 1232E,  56,  991, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 11, 2025072700, 03, GENC, 150, 338N, 1245E,  57,  991, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 11, 2025072700, 03, GENC, 156, 340N, 1253E,  57,  991, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 11, 2025072700, 03, GENC, 162, 342N, 1263E,  56,  992, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 11, 2025072700, 03, GENC, 168, 343N, 1271E,  55,  992, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 11, 2025072700, 03, GENC, 174, 343N, 1283E,  54,  993, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 11, 2025072700, 03, GENC, 180, 344N, 1291E,  51,  995, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 11, 2025072700, 03, GENC, 186, 348N, 1301E,  50,  996, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 11, 2025072700, 03, GENC, 192, 352N, 1310E,  49,  997, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 11, 2025072700, 03, GENC, 198, 357N, 1326E,  48,  997, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 11, 2025072700, 03, GENC, 204, 365N, 1331E,  47,  997, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 12, 2025072700, 03, GENC,   0, 208N, 1450E,  71,  981, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 12, 2025072700, 03, GENC,   6, 217N, 1452E,  73,  980, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 12, 2025072700, 03, GENC,  12, 226N, 1453E,  74,  978, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 12, 2025072700, 03, GENC,  18, 241N, 1454E,  77,  976, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 12, 2025072700, 03, GENC,  24, 255N, 1455E,  79,  975, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
