# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
EP, 11, 2025090106, 03, FNV3,  84, 139N, 1345W,  67,  988, XX,  64, NEQ,    7,    6,    5,    7,     ,     ,  20,
EP, 11, 2025090106, 03, FNV3,  90, 140N, 1353W,  66,  988, XX,  34, NEQ,   53,   45,   36,   46,     ,     ,  22,
EP, 11, 2025090106, 03, FNV3,  90, 140N, 1353W,  66,  988, XX,  50, NEQ,   19,   16,   12,   17,     ,     ,  22,
EP, 11, 2025090106, 03, FNV3,  90, 140N, 1353W,  66,  988, XX,  64, NEQ,    8,    6,    5,    7,     ,     ,  22,
EP, 11, 2025090106, 03, FNV3,  96, 141N, 1362W,  65,  989, XX,  34, NEQ,   48,   39,   31,   42,     ,     ,  20,
EP, 11, 2025090106, 03, FNV3,  96, 141N, 1362W,  65,  989, XX,  50, NEQ,   20,   16,   13,   17,     ,     ,  20,
EP, 11, 2025090106, 03, FNV3,  96, 141N, 1362W,  65,  989, XX,  64, NEQ,    8,    6,    5,    7,     ,     ,  20,
EP, 11, 2025090106, 03, FNV3, 102, 143N, 1370W,  63,  990, XX,  34, NEQ,   45,   37,   27,   38,     ,     ,  22,
EP, 11, 2025090106, 03, FNV3, 102, 143N, 1370W,  63,  990, XX,  50, NEQ,   17,   14,   11,   15,     ,     ,  22,
EP, 11, 2025090106, 03, FNV3, 102, 143N, 1370W,  63,  990, XX,  64, NEQ,    7,    6,    5,    6,     ,     ,  22,
EP, 11, 2025090106, 03, FNV3, 108, 144N, 1378W,  65,  989, XX,  34, NEQ,   44,   36,   27,   39,     ,     ,  19,
EP, 11, 2025090106, 03, FNV3, 108, 144N, 1378W,  65,  989, XX,  50, NEQ,   18,   15,   12,   16,     ,     ,  19,
EP, 11, 2025090106, 03, FNV3, 108, 144N, 1378W,  65,  989, XX,  64, NEQ,    8,    7,    5,    7,     ,     ,  19,
EP, 11, 2025090106, 03, FNV3, 114, 147N, 1386W,  69,  986, XX,  34, NEQ,   49,   41,   31,   42,     ,     ,  21,
EP, 11, 2025090106, 03, FNV3, 114, 147N, 1386W,  69,  986, XX,  50, NEQ,   19,   16,   12,   16,     ,     ,  21,
EP, 11, 2025090106, 03, FNV3, 114, 147N, 1386W,  69,  986, XX,  64, NEQ,    9,    7,    6,    8,     ,     ,  21,
EP, 11, 2025090106, 03, FNV3, 120, 150N, 1395W,  70,  985, XX,  34, NEQ,   49,   40,   31,   43,     ,     ,  21,
EP, 11, 2025090106, 03, FNV3, 120, 150N, 1395W,  70,  985, XX,  50, NEQ,   22,   18,   14,   19,     ,     ,  21,
EP, 11, 2025090106, 03, FNV3, 120, 150N, 1395W,  70,  985, XX,  64, NEQ,   10,    8,    6,    8,     ,     ,  21,
EP, 11, 2025090106, 03, FNV3, 126, 153N, 1404W,  74,  982, XX,  34, NEQ,   50,   41,   31,   43,     ,     ,  19,
EP, 11, 2025090106, 03, FNV3, 126, 153N, 1404W,  74,  982, XX,  50, NEQ,   23,   19,   15,   20,     ,     ,  19,
EP, 11, 2025090106, 03, FNV3, 126, 153N, 1404W,  74,  982, XX,  64, NEQ,   11,    9,    8,   10,     ,     ,  19,
EP, 11, 2025090106, 03, FNV3, 132, 156N, 1414W,  75,  982, XX,  34, NEQ,   53,   43,   33,   46,     ,     ,  20,
EP, 11, 2025090106, 03, FNV3, 132, 156N, 1414W,  75,  982, XX,  50, NEQ,   24,   20,   16,   21,     ,     ,  20,
EP, 11, 2025090106, 03, FNV3, 132, 156N, 1414W,  75,  982, XX,  64, NEQ,   12,   10,    8,   10,     ,     ,  20,
EP, 11, 2025090106, 03, FNV3, 138, 160N, 1423W,  77,  981, XX,  34, NEQ,   52,   42,   32,   45,     ,     ,  20,
EP, 11, 2025090106, 03, FNV3, 138, 160N, 1423W,  77,  981, XX,  50, NEQ,   23,   19,   15,   20,     ,     ,  20,
EP, 11, 2025090106, 03, FNV3, 138, 160N, 1423W,  77,  981, XX,  64, NEQ,   11,    9,    7,   10,     ,     ,  20,
EP, 11, 2025090106, 03, FNV3, 144, 164N, 1433W,  77,  981, XX,  34, NEQ,   55,   43,   33,   49,     ,     ,  19,
EP, 11, 2025090106, 03, FNV3, 144, 164N, 1433W,  77,  981, XX,  50, NEQ,   26,   21,   17,   23,     ,     ,  19,
EP, 11, 2025090106, 03, FNV3, 144, 164N, 1433W,  77,  981, XX,  64, NEQ,   13,   11,    9,   11,     ,     ,  19,
EP, 11, 2025090106, 03, FNV3, 150, 167N, 1443W,  76,  981, XX,  34, NEQ,   54,   42,   31,   47,     ,     ,  19,
EP, 11, 2025090106, 03, FNV3, 150, 167N, 1443W,  76,  981, XX,  50, NEQ,   25,   20,   16,   22,     ,     ,  19,
EP, 11, 2025090106, 03, FNV3, 150, 167N, 1443W,  76,  981, XX,  64, NEQ,   13,   11,    9,   11,     ,     ,  19,
EP, 11, 2025090106, 03, FNV3, 156, 170N, 1453W,  73,  984, XX,  34, NEQ,   54,   42,   32,   48,     ,     ,  21,
EP, 11, 2025090106, 03, FNV3, 156, 170N, 1453W,  73,  984, XX,  50, NEQ,   25,   20,   16,   22,     ,     ,  21,
