# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
SH, 27, 2026031718, 03, FNV3,   0, 121S, 1541E,  64,  974, XX,  34, NEQ,   50,   70,   65,   50,     ,     ,  20,
SH, 27, 2026031718, 03, FNV3,   6, 123S, 1531E,  89,  971, XX,  34, NEQ,   66,   84,   88,   66,     ,     ,  13,
SH, 27, 2026031718, 03, FNV3,   6, 123S, 1531E,  89,  971, XX,  50, NEQ,   35,   41,   40,   32,     ,     ,  13,
SH, 27, 2026031718, 03, FNV3,   6, 123S, 1531E,  89,  971, XX,  64, NEQ,   19,   22,   19,   17,     ,     ,  13,
SH, 27, 2026031718, 03, FNV3,  12, 126S, 1520E,  93,  967, XX,  34, NEQ,   63,   90,   88,   59,     ,     ,   9,
SH, 27, 2026031718, 03, FNV3,  12, 126S, 1520E,  93,  967, XX,  50, NEQ,   37,   45,   42,   33,     ,     ,   9,
SH, 27, 2026031718, 03, FNV3,  12, 126S, 1520E,  93,  967, XX,  64, NEQ,   22,   24,   21,   20,     ,     ,   9,
SH, 27, 2026031718, 03, FNV3,  18, 129S, 1506E, 101,  961, XX,  34, NEQ,   73,   96,   95,   69,     ,     ,  11,
SH, 27, 2026031718, 03, FNV3,  18, 129S, 1506E, 101,  961, XX,  50, NEQ,   42,   49,   46,   38,     ,     ,  11,
SH, 27, 2026031718, 03, FNV3,  18, 129S, 1506E, 101,  961, XX,  64, NEQ,   25,   27,   24,   23,     ,     ,  11,
SH, 27, 2026031718, 03, FNV3,  24, 134S, 1493E, 100,  961, XX,  34, NEQ,   79,  106,   98,   70,     ,     ,   8,
SH, 27, 2026031718, 03, FNV3,  24, 134S, 1493E, 100,  961, XX,  50, NEQ,   46,   53,   48,   40,     ,     ,   8,
SH, 27, 2026031718, 03, FNV3,  24, 134S, 1493E, 100,  961, XX,  64, NEQ,   28,   30,   26,   25,     ,     ,   8,
