# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
CP, 01, 2026082306, 03, GENC,   0, 318N, 1732W,  66,  985, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026082306, 03, GENC,   6, 320N, 1736W,  65,  986, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026082306, 03, GENC,  12, 323N, 1739W,  64,  986, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026082306, 03, GENC,  18, 326N, 1742W,  62,  988, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026082306, 03, GENC,  24, 330N, 1744W,  60,  989, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026082306, 03, GENC,  30, 333N, 1745W,  59,  990, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026082306, 03, GENC,  36, 337N, 1747W,  58,  991, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026082306, 03, GENC,  42, 341N, 1751W,  57,  991, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026082306, 03, GENC,  48, 344N, 1754W,  57,  991, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026082306, 03, GENC,  54, 346N, 1757W,  56,  992, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026082306, 03, GENC,  60, 348N, 1760W,  55,  992, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026082306, 03, GENC,  66, 351N, 1762W,  53,  994, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026082306, 03, GENC,  72, 354N, 1764W,  51,  995, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026082306, 03, GENC,  78, 358N, 1766W,  49,  997, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026082306, 03, GENC,  84, 363N, 1768W,  47,  998, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026082306, 03, GENC,  90, 369N, 1771W,  45,  999, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
