# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
EP, 11, 2025090100, 03, FNV3,  90, 138N, 1350W,  70,  985, XX,  34, NEQ,   47,   39,   31,   42,     ,     ,  19,
EP, 11, 2025090100, 03, FNV3,  90, 138N, 1350W,  70,  985, XX,  50, NEQ,   21,   17,   14,   19,     ,     ,  19,
EP, 11, 2025090100, 03, FNV3,  90, 138N, 1350W,  70,  985, XX,  64, NEQ,    9,    8,    6,    8,     ,     ,  19,
EP, 11, 2025090100, 03, FNV3,  96, 139N, 1359W,  66,  987, XX,  34, NEQ,   46,   38,   30,   40,     ,     ,  24,
EP, 11, 2025090100, 03, FNV3,  96, 139N, 1359W,  66,  987, XX,  50, NEQ,   17,   14,   11,   15,     ,     ,  24,
EP, 11, 2025090100, 03, FNV3,  96, 139N, 1359W,  66,  987, XX,  64, NEQ,    7,    6,    5,    6,     ,     ,  24,
EP, 11, 2025090100, 03, FNV3, 102, 139N, 1368W,  62,  990, XX,  34, NEQ,   45,   38,   29,   40,     ,     ,  26,
EP, 11, 2025090100, 03, FNV3, 102, 139N, 1368W,  62,  990, XX,  50, NEQ,   17,   14,   11,   15,     ,     ,  26,
EP, 11, 2025090100, 03, FNV3, 102, 139N, 1368W,  62,  990, XX,  64, NEQ,    7,    6,    5,    6,     ,     ,  26,
EP, 11, 2025090100, 03, FNV3, 108, 140N, 1376W,  61,  991, XX,  34, NEQ,   44,   37,   28,   38,     ,     ,  24,
EP, 11, 2025090100, 03, FNV3, 108, 140N, 1376W,  61,  991, XX,  50, NEQ,   17,   14,   11,   15,     ,     ,  24,
EP, 11, 2025090100, 03, FNV3, 108, 140N, 1376W,  61,  991, XX,  64, NEQ,    7,    6,    5,    6,     ,     ,  24,
EP, 11, 2025090100, 03, FNV3, 114, 141N, 1386W,  62,  990, XX,  34, NEQ,   45,   37,   28,   39,     ,     ,  22,
EP, 11, 2025090100, 03, FNV3, 114, 141N, 1386W,  62,  990, XX,  50, NEQ,   17,   14,   11,   15,     ,     ,  22,
EP, 11, 2025090100, 03, FNV3, 114, 141N, 1386W,  62,  990, XX,  64, NEQ,    7,    6,    5,    6,     ,     ,  22,
EP, 11, 2025090100, 03, FNV3, 120, 144N, 1394W,  63,  989, XX,  34, NEQ,   45,   38,   29,   39,     ,     ,  24,
EP, 11, 2025090100, 03, FNV3, 120, 144N, 1394W,  63,  989, XX,  50, NEQ,   17,   14,   11,   14,     ,     ,  24,
EP, 11, 2025090100, 03, FNV3, 120, 144N, 1394W,  63,  989, XX,  64, NEQ,    7,    6,    5,    6,     ,     ,  24,
EP, 11, 2025090100, 03, FNV3, 126, 147N, 1403W,  66,  987, XX,  34, NEQ,   44,   36,   27,   38,     ,     ,  23,
EP, 11, 2025090100, 03, FNV3, 126, 147N, 1403W,  66,  987, XX,  50, NEQ,   19,   16,   13,   17,     ,     ,  23,
EP, 11, 2025090100, 03, FNV3, 126, 147N, 1403W,  66,  987, XX,  64, NEQ,    9,    7,    6,    8,     ,     ,  23,
EP, 11, 2025090100, 03, FNV3, 132, 149N, 1412W,  69,  985, XX,  34, NEQ,   46,   38,   28,   40,     ,     ,  23,
EP, 11, 2025090100, 03, FNV3, 132, 149N, 1412W,  69,  985, XX,  50, NEQ,   21,   18,   14,   19,     ,     ,  23,
EP, 11, 2025090100, 03, FNV3, 132, 149N, 1412W,  69,  985, XX,  64, NEQ,   11,    9,    7,    9,     ,     ,  23,
EP, 11, 2025090100, 03, FNV3, 138, 152N, 1421W,  71,  984, XX,  34, NEQ,   46,   37,   28,   41,     ,     ,  23,
EP, 11, 2025090100, 03, FNV3, 138, 152N, 1421W,  71,  984, XX,  50, NEQ,   22,   18,   14,   19,     ,     ,  23,
EP, 11, 2025090100, 03, FNV3, 138, 152N, 1421W,  71,  984, XX,  64, NEQ,   11,   10,    8,   10,     ,     ,  23,
EP, 11, 2025090100, 03, FNV3, 144, 155N, 1431W,  74,  982, XX,  34, NEQ,   48,   38,   29,   42,     ,     ,  21,
EP, 11, 2025090100, 03, FNV3, 144, 155N, 1431W,  74,  982, XX,  50, NEQ,   21,   17,   14,   19,     ,     ,  21,
EP, 11, 2025090100, 03, FNV3, 144, 155N, 1431W,  74,  982, XX,  64, NEQ,   11,    9,    7,    9,     ,     ,  21,
EP, 11, 2025090100, 03, FNV3, 150, 158N, 1441W,  77,  980, XX,  34, NEQ,   49,   38,   29,   43,     ,     ,  18,
EP, 11, 2025090100, 03, FNV3, 150, 158N, 1441W,  77,  980, XX,  50, NEQ,   23,   18,   15,   20,     ,     ,  18,
EP, 11, 2025090100, 03, FNV3, 150, 158N, 1441W,  77,  980, XX,  64, NEQ,   12,   10,    8,   11,     ,     ,  18,
EP, 11, 2025090100, 03, FNV3, 156, 162N, 1452W,  76,  981, XX,  34, NEQ,   49,   38,   28,   42,     ,     ,  21,
EP, 11, 2025090100, 03, FNV3, 156, 162N, 1452W,  76,  981, XX,  50, NEQ,   23,   18,   14,   20,     ,     ,  21,
EP, 11, 2025090100, 03, FNV3, 156, 162N, 1452W,  76,  981, XX,  64, NEQ,   11,   10,    8,   10,     ,     ,  21,
EP, 11, 2025090100, 03, FNV3, 162, 164N, 1462W,  74,  983, XX,  34, NEQ,   51,   39,   29,   45,     ,     ,  21,
EP, 11, 2025090100, 03, FNV3, 162, 164N, 1462W,  74,  983, XX,  50, NEQ,   24,   19,   15,   21,     ,     ,  21,
EP, 11, 2025090100, 03, FNV3, 162, 164N, 1462W,  74,  983, XX,  64, NEQ,   11,    9,    8,   10,     ,     ,  21,
EP, 11, 2025090100, 03, FNV3, 168, 167N, 1473W,  72,  984, XX,  34, NEQ,   52,   39,   29,   45,     ,     ,  22,
EP, 11, 2025090100, 03, FNV3, 168, 167N, 1473W,  72,  984, XX,  50, NEQ,   23,   18,   14,   20,     ,     ,  22,
EP, 11, 2025090100, 03, FNV3, 168, 167N, 1473W,  72,  984, XX,  64, NEQ,   10,    8,    7,    9,     ,     ,  22,
EP, 11, 2025090100, 03, FNV3, 174, 170N, 1485W,  68,  987, XX,  34, NEQ,   53,   40,   30,   46,     ,     ,  23,
EP, 11, 2025090100, 03, FNV3, 174, 170N, 1485W,  68,  987, XX,  50, NEQ,   21,   16,   13,   18,     ,     ,  23,
EP, 11, 2025090100, 03, FNV3, 174, 170N, 1485W,  68,  987, XX,  64, NEQ,    8,    7,    5,    7,     ,     ,  23,
EP, 11, 2025090100, 03, FNV3, 180, 172N, 1497W,  63,  990, XX,  34, NEQ,   46,   35,   24,   39,     ,     ,  23,
EP, 11, 2025090100, 03, FNV3, 180, 172N, 1497W,  63,  990, XX,  50, NEQ,   17,   13,   10,   15,     ,     ,  23,
EP, 11, 2025090100, 03, FNV3, 180, 172N, 1497W,  63,  990, XX,  64, NEQ,    7,    6,    5,    6,     ,     ,  23,
EP, 11, 2025090100, 03, FNV3, 186, 174N, 1509W,  56,  994, XX,  34, NEQ,   51,   39,   28,   43,     ,     ,  28,
EP, 11, 2025090100, 03, FNV3, 186, 174N, 1509W,  56,  994, XX,  50, NEQ,   15,   12,    9,   13,     ,     ,  28,
EP, 11, 2025090100, 03, FNV3, 186, 174N, 1509W,  56,  994, XX,  64, NEQ,    5,    4,    3,    4,     ,     ,  28,
EP, 11, 2025090100, 03, FNV3, 192, 175N, 1521W,  52,  997, XX,  34, NEQ,   44,   33,   23,   37,     ,     ,  30,
EP, 11, 2025090100, 03, FNV3, 192, 175N, 1521W,  52,  997, XX,  50, NEQ,   12,    9,    7,   10,     ,     ,  30,
EP, 11, 2025090100, 03, FNV3, 192, 175N, 1521W,  52,  997, XX,  64, NEQ,    4,    3,    2,    3,     ,     ,  30,
EP, 11, 2025090100, 03, FNV3, 198, 176N, 1534W,  46, 1000, XX,  34, NEQ,   36,   26,   18,   30,     ,     ,  32,
EP, 11, 2025090100, 03, FNV3, 198, 176N, 1534W,  46, 1000, XX,  50, NEQ,    9,    7,    5,    7,     ,     ,  32,
EP, 11, 2025090100, 03, FNV3, 198, 176N, 1534W,  46, 1000, XX,  64, NEQ,    2,    2,    1,    2,     ,     ,  32,
EP, 11, 2025090100, 03, FNV3, 204, 177N, 1546W,  43, 1002, XX,  34, NEQ,   35,   26,   17,   28,     ,     ,  37,
EP, 11, 2025090100, 03, FNV3, 204, 177N, 1546W,  43, 1002, XX,  50, NEQ,    6,    5,    3,    5,     ,     ,  37,
EP, 11, 2025090100, 03, FNV3, 204, 177N, 1546W,  43, 1002, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  37,
EP, 11, 2025090100, 03, FNV3, 210, 182N, 1559W,  41, 1003, XX,  34, NEQ,   28,   21,   14,   23,     ,     ,  38,
EP, 11, 2025090100, 03, FNV3, 210, 182N, 1559W,  41, 1003, XX,  50, NEQ,    4,    3,    2,    3,     ,     ,  38,
EP, 11, 2025090100, 03, FNV3, 210, 182N, 1559W,  41, 1003, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  38,
EP, 11, 2025090100, 03, FNV3, 216, 185N, 1571W,  39, 1004, XX,  34, NEQ,   23,   16,   10,   18,     ,     ,  41,
EP, 11, 2025090100, 03, FNV3, 216, 185N, 1571W,  39, 1004, XX,  50, NEQ,    4,    3,    2,    3,     ,     ,  41,
EP, 11, 2025090100, 03, FNV3, 216, 185N, 1571W,  39, 1004, XX,  64, NEQ,    1,    1,    0,    1,     ,     ,  41,
EP, 11, 2025090100, 03, FNV3, 222, 187N, 1584W,  37, 1004, XX,  34, NEQ,   15,   10,    6,   12,     ,     ,  35,
EP, 11, 2025090100, 03, FNV3, 222, 187N, 1584W,  37, 1004, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  35,
EP, 11, 2025090100, 03, FNV3, 228, 190N, 1596W,  36, 1004, XX,  34, NEQ,   17,   12,    8,   13,     ,     ,  42,
EP, 11, 2025090100, 03, FNV3, 228, 190N, 1596W,  36, 1004, XX,  50, NEQ,    2,    1,    1,    2,     ,     ,  42,
EP, 11, 2025090100, 03, FNV3, 228, 190N, 1596W,  36, 1004, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  42,
EP, 11, 2025090100, 03, FNV3, 234, 190N, 1607W,  36, 1005, XX,  34, NEQ,   15,   11,    7,   12,     ,     ,  35,
EP, 11, 2025090100, 03, FNV3, 234, 190N, 1607W,  36, 1005, XX,  50, NEQ,    3,    2,    1,    2,     ,     ,  35,
EP, 11, 2025090100, 03, FNV3, 234, 190N, 1607W,  36, 1005, XX,  64, NEQ,    1,    1,    0,    1,     ,     ,  35,
EP, 11, 2025090100, 03, FNV3, 240, 192N, 1615W,  36, 1005, XX,  34, NEQ,   12,    9,    5,   10,     ,     ,  42,
EP, 11, 2025090100, 03, FNV3, 240, 192N, 1615W,  36, 1005, XX,  50, NEQ,    2,    2,    1,    2,     ,     ,  42,
EP, 11, 2025090100, 03, FNV3, 240, 192N, 1615W,  36, 1005, XX,  64, NEQ,    1,    1,    0,    1,     ,     ,  42,
EP, 11, 2025090100, 03, FNV3, 246, 189N, 1628W,  35, 1005, XX,  34, NEQ,   13,   10,    7,   11,     ,     ,  37,
EP, 11, 2025090100, 03, FNV3, 246, 189N, 1628W,  35, 1005, XX,  50, NEQ,    4,    3,    2,    3,     ,     ,  37,
EP, 11, 2025090100, 03, FNV3, 252, 194N, 1638W,  35, 1006, XX,  34, NEQ,   14,   10,    6,   11,     ,     ,  41,
EP, 11, 2025090100, 03, FNV3, 252, 194N, 1638W,  35, 1006, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  41,
