# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 90, 2026030400, 03, FNV3,   0, 117S, 1094E,  29, 1000, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,  35,
IO, 90, 2026030400, 03, FNV3,   6, 116S, 1095E,  34, 1001, XX,  34, NEQ,   20,   15,   13,   16,     ,     ,  37,
IO, 90, 2026030400, 03, FNV3,  12, 114S, 1101E,  34, 1000, XX,  34, NEQ,   33,   26,   23,   27,     ,     ,  34,
IO, 90, 2026030400, 03, FNV3,  18, 112S, 1112E,  32, 1000, XX,  34, NEQ,   10,    6,    5,    7,     ,     ,  36,
IO, 90, 2026030400, 03, FNV3,  24, 109S, 1130E,  32, 1000, XX,  34, NEQ,   12,    8,   10,    9,     ,     ,  31,
IO, 93, 2026030400, 03, FNV3,   0, 161S, 1210E,  25,  998, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,   0,
IO, 93, 2026030400, 03, FNV3,   6, 159S, 1202E,  34,  996, XX,  34, NEQ,   14,   13,   16,   13,     ,     ,  42,
IO, 93, 2026030400, 03, FNV3,  12, 161S, 1201E,  37,  994, XX,  34, NEQ,   41,   43,   37,   34,     ,     ,  44,
IO, 93, 2026030400, 03, FNV3,  18, 164S, 1195E,  37,  993, XX,  34, NEQ,   43,   43,   36,   36,     ,     ,  45,
IO, 93, 2026030400, 03, FNV3,  18, 164S, 1195E,  37,  993, XX,  50, NEQ,    0,    0,    1,    0,     ,     ,  45,
IO, 93, 2026030400, 03, FNV3,  24, 168S, 1184E,  41,  992, XX,  34, NEQ,   60,   65,   58,   52,     ,     ,  44,
IO, 93, 2026030400, 03, FNV3,  24, 168S, 1184E,  41,  992, XX,  50, NEQ,    2,    3,    2,    1,     ,     ,  44,
IO, 93, 2026030400, 03, FNV3,  30, 170S, 1170E,  42,  992, XX,  34, NEQ,   59,   62,   57,   51,     ,     ,  39,
IO, 93, 2026030400, 03, FNV3,  30, 170S, 1170E,  42,  992, XX,  50, NEQ,    3,    4,    3,    2,     ,     ,  39,
IO, 93, 2026030400, 03, FNV3,  36, 170S, 1155E,  44,  991, XX,  34, NEQ,   61,   65,   59,   56,     ,     ,  36,
IO, 93, 2026030400, 03, FNV3,  36, 170S, 1155E,  44,  991, XX,  50, NEQ,    2,    2,    3,    2,     ,     ,  36,
IO, 93, 2026030400, 03, FNV3,  42, 167S, 1142E,  42,  992, XX,  34, NEQ,   62,   66,   61,   57,     ,     ,  35,
IO, 93, 2026030400, 03, FNV3,  42, 167S, 1142E,  42,  992, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  35,
IO, 93, 2026030400, 03, FNV3,  48, 164S, 1132E,  41,  993, XX,  34, NEQ,   50,   51,   46,   47,     ,     ,  34,
IO, 93, 2026030400, 03, FNV3,  48, 164S, 1132E,  41,  993, XX,  50, NEQ,    2,    1,    1,    0,     ,     ,  34,
IO, 93, 2026030400, 03, FNV3,  54, 164S, 1125E,  42,  993, XX,  34, NEQ,   50,   53,   51,   45,     ,     ,  36,
IO, 93, 2026030400, 03, FNV3,  54, 164S, 1125E,  42,  993, XX,  50, NEQ,    3,    2,    2,    2,     ,     ,  36,
IO, 93, 2026030400, 03, FNV3,  60, 165S, 1119E,  40,  993, XX,  34, NEQ,   53,   58,   48,   50,     ,     ,  39,
IO, 93, 2026030400, 03, FNV3,  60, 165S, 1119E,  40,  993, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  39,
IO, 93, 2026030400, 03, FNV3,  66, 166S, 1112E,  38,  994, XX,  34, NEQ,   50,   49,   46,   42,     ,     ,  44,
IO, 93, 2026030400, 03, FNV3,  66, 166S, 1112E,  38,  994, XX,  50, NEQ,    0,    1,    0,    1,     ,     ,  44,
IO, 93, 2026030400, 03, FNV3,  72, 167S, 1103E,  38,  995, XX,  34, NEQ,   50,   55,   49,   46,     ,     ,  39,
IO, 93, 2026030400, 03, FNV3,  72, 167S, 1103E,  38,  995, XX,  50, NEQ,    0,    2,    0,    0,     ,     ,  39,
IO, 93, 2026030400, 03, FNV3,  78, 170S, 1094E,  38,  995, XX,  34, NEQ,   41,   43,   38,   35,     ,     ,  38,
IO, 93, 2026030400, 03, FNV3,  78, 170S, 1094E,  38,  995, XX,  50, NEQ,    2,    2,    1,    1,     ,     ,  38,
IO, 93, 2026030400, 03, FNV3,  84, 173S, 1085E,  35,  996, XX,  34, NEQ,   25,   28,   22,   19,     ,     ,  42,
IO, 93, 2026030400, 03, FNV3,  84, 173S, 1085E,  35,  996, XX,  50, NEQ,    0,    0,    1,    0,     ,     ,  42,
IO, 93, 2026030400, 03, FNV3,  90, 176S, 1075E,  34,  997, XX,  34, NEQ,   15,   16,   13,   13,     ,     ,  40,
IO, 93, 2026030400, 03, FNV3,  90, 176S, 1075E,  34,  997, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  40,
IO, 93, 2026030400, 03, FNV3,  96, 179S, 1064E,  32,  999, XX,  34, NEQ,   11,   14,   11,   10,     ,     ,  41,
IO, 93, 2026030400, 03, FNV3, 102, 182S, 1053E,  30, 1000, XX,  34, NEQ,    9,   10,   10,    8,     ,     ,  45,
IO, 93, 2026030400, 03, FNV3, 108, 187S, 1045E,  29, 1000, XX,  34, NEQ,    3,    6,    5,    3,     ,     ,  43,
IO, 93, 2026030400, 03, FNV3, 114, 191S, 1034E,  27, 1000, XX,  34, NEQ,    4,    6,    4,    3,     ,     ,  43,
IO, 93, 2026030400, 03, FNV3, 120, 193S, 1025E,  26, 1002, XX,  34, NEQ,    1,    4,    1,    1,     ,     ,  45,
IO, 93, 2026030400, 03, FNV3, 126, 195S, 1018E,  24, 1002, XX,  34, NEQ,    1,    2,    0,    0,     ,     ,  40,
IO, 93, 2026030400, 03, FNV3, 132, 195S, 1011E,  25, 1002, XX,  34, NEQ,    2,    3,    2,    2,     ,     ,  41,
IO, 93, 2026030400, 03, FNV3, 138, 194S, 1003E,  25, 1003, XX,  34, NEQ,    3,    3,    3,    2,     ,     ,  37,
IO, 93, 2026030400, 03, FNV3, 144, 194S,  994E,  25, 1003, XX,  34, NEQ,    6,    6,    5,    5,     ,     ,  39,
IO, 93, 2026030400, 03, FNV3, 150, 192S,  985E,  26, 1003, XX,  34, NEQ,    6,    7,    5,    5,     ,     ,  40,
IO, 93, 2026030400, 03, FNV3, 156, 190S,  975E,  26, 1004, XX,  34, NEQ,   12,   13,   11,   10,     ,     ,  39,
IO, 93, 2026030400, 03, FNV3, 162, 189S,  961E,  27, 1004, XX,  34, NEQ,    7,    7,    8,    6,     ,     ,  39,
IO, 93, 2026030400, 03, FNV3, 162, 189S,  961E,  27, 1004, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  39,
IO, 93, 2026030400, 03, FNV3, 168, 188S,  947E,  28, 1004, XX,  34, NEQ,   14,   16,   14,   12,     ,     ,  39,
IO, 93, 2026030400, 03, FNV3, 168, 188S,  947E,  28, 1004, XX,  50, NEQ,    1,    1,    2,    1,     ,     ,  39,
IO, 93, 2026030400, 03, FNV3, 174, 190S,  936E,  27, 1004, XX,  34, NEQ,    4,    5,    7,    4,     ,     ,  44,
IO, 93, 2026030400, 03, FNV3, 174, 190S,  936E,  27, 1004, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  44,
IO, 93, 2026030400, 03, FNV3, 174, 190S,  936E,  27, 1004, XX,  64, NEQ,    0,    1,    0,    0,     ,     ,  44,
IO, 93, 2026030400, 03, FNV3, 180, 191S,  924E,  27, 1004, XX,  34, NEQ,   11,   12,   10,   10,     ,     ,  37,
IO, 93, 2026030400, 03, FNV3, 180, 191S,  924E,  27, 1004, XX,  50, NEQ,    0,    1,    0,    0,     ,     ,  37,
IO, 93, 2026030400, 03, FNV3, 186, 189S,  913E,  28, 1004, XX,  34, NEQ,   11,   12,   10,   10,     ,     ,  38,
IO, 93, 2026030400, 03, FNV3, 186, 189S,  913E,  28, 1004, XX,  50, NEQ,    0,    1,    0,    0,     ,     ,  38,
IO, 93, 2026030400, 03, FNV3, 192, 191S,  903E,  32, 1002, XX,  34, NEQ,   15,   18,   15,   12,     ,     ,  33,
IO, 93, 2026030400, 03, FNV3, 192, 191S,  903E,  32, 1002, XX,  50, NEQ,    2,    3,    2,    2,     ,     ,  33,
IO, 93, 2026030400, 03, FNV3, 192, 191S,  903E,  32, 1002, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  33,
IO, 93, 2026030400, 03, FNV3, 198, 195S,  891E,  31, 1002, XX,  34, NEQ,   17,   18,   16,   15,     ,     ,  36,
IO, 93, 2026030400, 03, FNV3, 198, 195S,  891E,  31, 1002, XX,  50, NEQ,    0,    1,    0,    0,     ,     ,  36,
SH, 24, 2026030400, 03, FNV3,   0, 142S, 1508E,  35,  996, XX,  34, NEQ,   65,     ,   80,   85,     ,     ,  45,
SH, 24, 2026030400, 03, FNV3,   6, 143S, 1502E,  34,  997, XX,  34, NEQ,   16,   12,   16,   10,     ,     ,  44,
SH, 24, 2026030400, 03, FNV3,   6, 143S, 1502E,  34,  997, XX,  50, NEQ,    0,    0,    1,    0,     ,     ,  44,
SH, 24, 2026030400, 03, FNV3,  12, 146S, 1497E,  34,  996, XX,  34, NEQ,   18,   15,   14,   12,     ,     ,  40,
SH, 24, 2026030400, 03, FNV3,  18, 149S, 1491E,  32,  997, XX,  34, NEQ,    7,    7,    9,    7,     ,     ,  47,
SH, 24, 2026030400, 03, FNV3,  24, 153S, 1484E,  32,  997, XX,  34, NEQ,   11,    8,    7,    3,     ,     ,  47,
SH, 24, 2026030400, 03, FNV3,  30, 157S, 1480E,  33,  997, XX,  34, NEQ,   14,    9,    6,    4,     ,     ,  46,
SH, 24, 2026030400, 03, FNV3,  36, 160S, 1472E,  32,  997, XX,  34, NEQ,    9,    9,   10,    6,     ,     ,  47,
SH, 24, 2026030400, 03, FNV3,  42, 164S, 1467E,  34,  996, XX,  34, NEQ,   12,   16,   15,   12,     ,     ,  39,
SH, 24, 2026030400, 03, FNV3,  48, 171S, 1461E,  32,  998, XX,  34, NEQ,   12,   17,   13,    9,     ,     ,  36,
SH, 24, 2026030400, 03, FNV3,  54, 180S, 1454E,  31,  997, XX,  34, NEQ,   12,   18,    9,   10,     ,     ,  39,
SH, 24, 2026030400, 03, FNV3,  54, 180S, 1454E,  31,  997, XX,  50, NEQ,    2,    0,    0,    0,     ,     ,  39,
