# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 09, 2025122100, 03, FNV3,   0, 124S, 1044E,  45,  994, XX,  34, NEQ,   20,   40,  100,   80,     ,     ,  30,
IO, 09, 2025122100, 03, FNV3,   6, 121S, 1042E,  34, 1000, XX,  34, NEQ,   10,   11,   10,    7,     ,     ,  34,
IO, 09, 2025122100, 03, FNV3,  12, 123S, 1037E,  38,  999, XX,  34, NEQ,   23,   26,   18,   19,     ,     ,  31,
IO, 09, 2025122100, 03, FNV3,  12, 123S, 1037E,  38,  999, XX,  50, NEQ,    1,    1,    0,    0,     ,     ,  31,
IO, 09, 2025122100, 03, FNV3,  18, 123S, 1032E,  43,  997, XX,  34, NEQ,   34,   36,   30,   29,     ,     ,  27,
IO, 09, 2025122100, 03, FNV3,  18, 123S, 1032E,  43,  997, XX,  50, NEQ,    3,    4,    3,    3,     ,     ,  27,
IO, 09, 2025122100, 03, FNV3,  18, 123S, 1032E,  43,  997, XX,  64, NEQ,    0,    1,    0,    0,     ,     ,  27,
IO, 09, 2025122100, 03, FNV3,  24, 123S, 1029E,  47,  996, XX,  34, NEQ,   44,   48,   41,   39,     ,     ,  24,
IO, 09, 2025122100, 03, FNV3,  24, 123S, 1029E,  47,  996, XX,  50, NEQ,    4,    5,    4,    3,     ,     ,  24,
IO, 09, 2025122100, 03, FNV3,  30, 125S, 1025E,  53,  992, XX,  34, NEQ,   44,   50,   43,   37,     ,     ,  20,
IO, 09, 2025122100, 03, FNV3,  30, 125S, 1025E,  53,  992, XX,  50, NEQ,    9,   12,    8,    7,     ,     ,  20,
IO, 09, 2025122100, 03, FNV3,  30, 125S, 1025E,  53,  992, XX,  64, NEQ,    2,    2,    2,    2,     ,     ,  20,
IO, 09, 2025122100, 03, FNV3,  36, 125S, 1021E,  56,  989, XX,  34, NEQ,   47,   52,   48,   42,     ,     ,  20,
IO, 09, 2025122100, 03, FNV3,  36, 125S, 1021E,  56,  989, XX,  50, NEQ,   14,   14,   12,   11,     ,     ,  20,
IO, 09, 2025122100, 03, FNV3,  36, 125S, 1021E,  56,  989, XX,  64, NEQ,    4,    4,    3,    3,     ,     ,  20,
IO, 09, 2025122100, 03, FNV3,  42, 125S, 1017E,  61,  986, XX,  34, NEQ,   49,   56,   54,   46,     ,     ,  17,
IO, 09, 2025122100, 03, FNV3,  42, 125S, 1017E,  61,  986, XX,  50, NEQ,   19,   20,   17,   16,     ,     ,  17,
IO, 09, 2025122100, 03, FNV3,  42, 125S, 1017E,  61,  986, XX,  64, NEQ,    4,    5,    4,    4,     ,     ,  17,
IO, 09, 2025122100, 03, FNV3,  48, 125S, 1013E,  61,  987, XX,  34, NEQ,   47,   52,   50,   44,     ,     ,  16,
IO, 09, 2025122100, 03, FNV3,  48, 125S, 1013E,  61,  987, XX,  50, NEQ,   16,   19,   15,   13,     ,     ,  16,
IO, 09, 2025122100, 03, FNV3,  48, 125S, 1013E,  61,  987, XX,  64, NEQ,    6,    5,    4,    4,     ,     ,  16,
IO, 09, 2025122100, 03, FNV3,  54, 124S, 1009E,  65,  983, XX,  34, NEQ,   41,   50,   51,   39,     ,     ,  16,
IO, 09, 2025122100, 03, FNV3,  54, 124S, 1009E,  65,  983, XX,  50, NEQ,   17,   20,   18,   14,     ,     ,  16,
IO, 09, 2025122100, 03, FNV3,  54, 124S, 1009E,  65,  983, XX,  64, NEQ,    6,    7,    6,    6,     ,     ,  16,
IO, 09, 2025122100, 03, FNV3,  60, 123S, 1006E,  62,  985, XX,  34, NEQ,   44,   49,   51,   42,     ,     ,  17,
IO, 09, 2025122100, 03, FNV3,  60, 123S, 1006E,  62,  985, XX,  50, NEQ,   15,   17,   14,   12,     ,     ,  17,
IO, 09, 2025122100, 03, FNV3,  60, 123S, 1006E,  62,  985, XX,  64, NEQ,    5,    7,    5,    5,     ,     ,  17,
IO, 09, 2025122100, 03, FNV3,  66, 122S, 1002E,  62,  985, XX,  34, NEQ,   42,   49,   52,   41,     ,     ,  16,
IO, 09, 2025122100, 03, FNV3,  66, 122S, 1002E,  62,  985, XX,  50, NEQ,   17,   19,   17,   14,     ,     ,  16,
IO, 09, 2025122100, 03, FNV3,  66, 122S, 1002E,  62,  985, XX,  64, NEQ,    6,    6,    6,    5,     ,     ,  16,
IO, 09, 2025122100, 03, FNV3,  72, 122S,  998E,  62,  986, XX,  34, NEQ,   36,   43,   45,   35,     ,     ,  16,
IO, 09, 2025122100, 03, FNV3,  72, 122S,  998E,  62,  986, XX,  50, NEQ,   16,   18,   16,   13,     ,     ,  16,
IO, 09, 2025122100, 03, FNV3,  72, 122S,  998E,  62,  986, XX,  64, NEQ,    7,    7,    6,    6,     ,     ,  16,
IO, 09, 2025122100, 03, FNV3,  78, 122S,  995E,  63,  984, XX,  34, NEQ,   41,   49,   52,   40,     ,     ,  17,
IO, 09, 2025122100, 03, FNV3,  78, 122S,  995E,  63,  984, XX,  50, NEQ,   16,   18,   18,   14,     ,     ,  17,
IO, 09, 2025122100, 03, FNV3,  78, 122S,  995E,  63,  984, XX,  64, NEQ,    6,    7,    6,    6,     ,     ,  17,
IO, 09, 2025122100, 03, FNV3,  84, 122S,  991E,  60,  986, XX,  34, NEQ,   40,   48,   48,   38,     ,     ,  17,
IO, 09, 2025122100, 03, FNV3,  84, 122S,  991E,  60,  986, XX,  50, NEQ,   14,   17,   15,   12,     ,     ,  17,
IO, 09, 2025122100, 03, FNV3,  84, 122S,  991E,  60,  986, XX,  64, NEQ,    5,    7,    5,    5,     ,     ,  17,
IO, 09, 2025122100, 03, FNV3,  90, 122S,  985E,  62,  984, XX,  34, NEQ,   40,   50,   52,   38,     ,     ,  16,
IO, 09, 2025122100, 03, FNV3,  90, 122S,  985E,  62,  984, XX,  50, NEQ,   17,   20,   18,   15,     ,     ,  16,
IO, 09, 2025122100, 03, FNV3,  90, 122S,  985E,  62,  984, XX,  64, NEQ,    6,    7,    6,    5,     ,     ,  16,
IO, 09, 2025122100, 03, FNV3,  96, 123S,  979E,  62,  985, XX,  34, NEQ,   36,   48,   45,   33,     ,     ,  15,
IO, 09, 2025122100, 03, FNV3,  96, 123S,  979E,  62,  985, XX,  50, NEQ,   16,   20,   17,   14,     ,     ,  15,
IO, 09, 2025122100, 03, FNV3,  96, 123S,  979E,  62,  985, XX,  64, NEQ,    6,    7,    6,    6,     ,     ,  15,
IO, 09, 2025122100, 03, FNV3, 102, 124S,  972E,  68,  980, XX,  34, NEQ,   42,   53,   54,   38,     ,     ,  17,
IO, 09, 2025122100, 03, FNV3, 102, 124S,  972E,  68,  980, XX,  50, NEQ,   19,   22,   20,   16,     ,     ,  17,
