# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 05, 2025112700, 03, FNV3, 120, 143N,  813E,  26, 1004, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  31,
IO, 05, 2025112700, 03, FNV3, 126, 144N,  816E,  25, 1007, XX,  34, NEQ,   11,   10,    8,    9,     ,     ,  36,
IO, 05, 2025112700, 03, FNV3, 126, 144N,  816E,  25, 1007, XX,  50, NEQ,    3,    2,    2,    2,     ,     ,  36,
IO, 05, 2025112700, 03, FNV3, 132, 142N,  817E,  24, 1006, XX,  34, NEQ,    4,    4,    3,    3,     ,     ,  35,
IO, 05, 2025112700, 03, FNV3, 138, 140N,  819E,  23, 1007, XX,  34, NEQ,    6,    6,    5,    5,     ,     ,  38,
WP, 33, 2025112700, 03, FNV3,   0, 132N, 1139E,  80,  975, XX,  34, NEQ,  180,   60,   60,  170,     ,     ,  25,
WP, 33, 2025112700, 03, FNV3,   6, 131N, 1138E,  66,  983, XX,  34, NEQ,  146,  124,  116,  139,     ,     ,  26,
WP, 33, 2025112700, 03, FNV3,   6, 131N, 1138E,  66,  983, XX,  50, NEQ,   66,   57,   49,   57,     ,     ,  26,
WP, 33, 2025112700, 03, FNV3,   6, 131N, 1138E,  66,  983, XX,  64, NEQ,   16,   11,    9,   12,     ,     ,  26,
WP, 33, 2025112700, 03, FNV3,  12, 128N, 1137E,  56,  988, XX,  34, NEQ,  177,  158,  141,  166,     ,     ,  33,
WP, 33, 2025112700, 03, FNV3,  12, 128N, 1137E,  56,  988, XX,  50, NEQ,   57,   49,   39,   46,     ,     ,  33,
WP, 33, 2025112700, 03, FNV3,  12, 128N, 1137E,  56,  988, XX,  64, NEQ,    1,    1,    1,    2,     ,     ,  33,
WP, 33, 2025112700, 03, FNV3,  18, 125N, 1135E,  50,  991, XX,  34, NEQ,  159,  142,  127,  147,     ,     ,  40,
WP, 33, 2025112700, 03, FNV3,  18, 125N, 1135E,  50,  991, XX,  50, NEQ,   22,   18,   15,   17,     ,     ,  40,
WP, 33, 2025112700, 03, FNV3,  24, 124N, 1133E,  48,  994, XX,  34, NEQ,  130,  115,  101,  116,     ,     ,  36,
WP, 33, 2025112700, 03, FNV3,  24, 124N, 1133E,  48,  994, XX,  50, NEQ,   19,   14,   11,   14,     ,     ,  36,
WP, 33, 2025112700, 03, FNV3,  30, 125N, 1131E,  47,  994, XX,  34, NEQ,  108,   96,   81,   93,     ,     ,  36,
WP, 33, 2025112700, 03, FNV3,  30, 125N, 1131E,  47,  994, XX,  50, NEQ,   10,    7,    6,    6,     ,     ,  36,
WP, 33, 2025112700, 03, FNV3,  36, 127N, 1130E,  47,  994, XX,  34, NEQ,  104,   95,   80,   90,     ,     ,  40,
WP, 33, 2025112700, 03, FNV3,  36, 127N, 1130E,  47,  994, XX,  50, NEQ,    9,    8,    6,    7,     ,     ,  40,
WP, 33, 2025112700, 03, FNV3,  42, 129N, 1128E,  50,  993, XX,  34, NEQ,   96,   83,   69,   83,     ,     ,  32,
WP, 33, 2025112700, 03, FNV3,  42, 129N, 1128E,  50,  993, XX,  50, NEQ,   16,   12,   10,   12,     ,     ,  32,
WP, 33, 2025112700, 03, FNV3,  42, 129N, 1128E,  50,  993, XX,  64, NEQ,    1,    0,    0,    1,     ,     ,  32,
WP, 33, 2025112700, 03, FNV3,  48, 132N, 1126E,  53,  992, XX,  34, NEQ,   83,   73,   61,   71,     ,     ,  26,
WP, 33, 2025112700, 03, FNV3,  48, 132N, 1126E,  53,  992, XX,  50, NEQ,   16,   14,   11,   13,     ,     ,  26,
WP, 33, 2025112700, 03, FNV3,  48, 132N, 1126E,  53,  992, XX,  64, NEQ,    4,    4,    3,    3,     ,     ,  26,
WP, 33, 2025112700, 03, FNV3,  54, 134N, 1125E,  56,  990, XX,  34, NEQ,   83,   72,   59,   70,     ,     ,  27,
WP, 33, 2025112700, 03, FNV3,  54, 134N, 1125E,  56,  990, XX,  50, NEQ,   22,   17,   13,   16,     ,     ,  27,
WP, 33, 2025112700, 03, FNV3,  54, 134N, 1125E,  56,  990, XX,  64, NEQ,    5,    3,    2,    3,     ,     ,  27,
