# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
SH, 30, 2026040718, 03, FNV3,   0,  95S, 1560E, 124,  930, XX,  34, NEQ,  120,  100,  115,  115,     ,     ,  17,
SH, 30, 2026040718, 03, FNV3,   6,  91S, 1560E, 101,  954, XX,  34, NEQ,   88,  102,  111,   97,     ,     ,  13,
SH, 30, 2026040718, 03, FNV3,   6,  91S, 1560E, 101,  954, XX,  50, NEQ,   50,   53,   54,   48,     ,     ,  13,
SH, 30, 2026040718, 03, FNV3,   6,  91S, 1560E, 101,  954, XX,  64, NEQ,   29,   31,   28,   27,     ,     ,  13,
SH, 30, 2026040718, 03, FNV3,  12,  90S, 1559E,  95,  959, XX,  34, NEQ,  100,  109,  117,  104,     ,     ,  18,
SH, 30, 2026040718, 03, FNV3,  12,  90S, 1559E,  95,  959, XX,  50, NEQ,   52,   55,   53,   48,     ,     ,  18,
SH, 30, 2026040718, 03, FNV3,  12,  90S, 1559E,  95,  959, XX,  64, NEQ,   26,   27,   25,   25,     ,     ,  18,
SH, 30, 2026040718, 03, FNV3,  18,  89S, 1557E,  90,  961, XX,  34, NEQ,   98,  110,  116,  101,     ,     ,  17,
SH, 30, 2026040718, 03, FNV3,  18,  89S, 1557E,  90,  961, XX,  50, NEQ,   49,   54,   52,   46,     ,     ,  17,
SH, 30, 2026040718, 03, FNV3,  18,  89S, 1557E,  90,  961, XX,  64, NEQ,   23,   25,   23,   21,     ,     ,  17,
SH, 30, 2026040718, 03, FNV3,  24,  89S, 1553E,  92,  961, XX,  34, NEQ,   92,  112,  118,   91,     ,     ,  18,
SH, 30, 2026040718, 03, FNV3,  24,  89S, 1553E,  92,  961, XX,  50, NEQ,   50,   58,   56,   47,     ,     ,  18,
SH, 30, 2026040718, 03, FNV3,  24,  89S, 1553E,  92,  961, XX,  64, NEQ,   27,   31,   26,   25,     ,     ,  18,
SH, 30, 2026040718, 03, FNV3,  30,  88S, 1550E,  92,  962, XX,  34, NEQ,  105,  123,  130,  106,     ,     ,  16,
SH, 30, 2026040718, 03, FNV3,  30,  88S, 1550E,  92,  962, XX,  50, NEQ,   57,   64,   61,   53,     ,     ,  16,
SH, 30, 2026040718, 03, FNV3,  30,  88S, 1550E,  92,  962, XX,  64, NEQ,   28,   30,   27,   27,     ,     ,  16,
SH, 30, 2026040718, 03, FNV3,  36,  87S, 1546E,  84,  967, XX,  34, NEQ,   99,  119,  123,   96,     ,     ,  19,
SH, 30, 2026040718, 03, FNV3,  36,  87S, 1546E,  84,  967, XX,  50, NEQ,   52,   59,   55,   47,     ,     ,  19,
SH, 30, 2026040718, 03, FNV3,  36,  87S, 1546E,  84,  967, XX,  64, NEQ,   22,   26,   22,   20,     ,     ,  19,
SH, 30, 2026040718, 03, FNV3,  42,  87S, 1542E,  80,  971, XX,  34, NEQ,  112,  127,  130,  109,     ,     ,  20,
SH, 30, 2026040718, 03, FNV3,  42,  87S, 1542E,  80,  971, XX,  50, NEQ,   54,   60,   55,   49,     ,     ,  20,
SH, 30, 2026040718, 03, FNV3,  42,  87S, 1542E,  80,  971, XX,  64, NEQ,   21,   24,   21,   19,     ,     ,  20,
SH, 30, 2026040718, 03, FNV3,  48,  88S, 1540E,  72,  976, XX,  34, NEQ,  100,  116,  115,   94,     ,     ,  21,
SH, 30, 2026040718, 03, FNV3,  48,  88S, 1540E,  72,  976, XX,  50, NEQ,   46,   50,   46,   40,     ,     ,  21,
SH, 30, 2026040718, 03, FNV3,  48,  88S, 1540E,  72,  976, XX,  64, NEQ,   17,   19,   17,   15,     ,     ,  21,
SH, 30, 2026040718, 03, FNV3,  54,  89S, 1538E,  71,  977, XX,  34, NEQ,  109,  119,  117,  101,     ,     ,  25,
SH, 30, 2026040718, 03, FNV3,  54,  89S, 1538E,  71,  977, XX,  50, NEQ,   45,   48,   44,   38,     ,     ,  25,
SH, 30, 2026040718, 03, FNV3,  54,  89S, 1538E,  71,  977, XX,  64, NEQ,   15,   16,   15,   13,     ,     ,  25,
SH, 30, 2026040718, 03, FNV3,  60,  91S, 1536E,  60,  984, XX,  34, NEQ,   95,  104,   99,   85,     ,     ,  25,
SH, 30, 2026040718, 03, FNV3,  60,  91S, 1536E,  60,  984, XX,  50, NEQ,   37,   39,   33,   30,     ,     ,  25,
