# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
CP, 01, 2025072712, 03, FNV3,   0, 110N, 1462W,  29, 1008, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  30,
CP, 01, 2025072712, 03, FNV3,   6, 110N, 1467W,  31, 1006, XX,  34, NEQ,    3,    2,    1,    3,     ,     ,  42,
CP, 01, 2025072712, 03, FNV3,  12, 110N, 1476W,  35, 1004, XX,  34, NEQ,    9,    6,    5,    7,     ,     ,  39,
CP, 01, 2025072712, 03, FNV3,  18, 110N, 1487W,  37, 1004, XX,  34, NEQ,   13,    9,    5,   10,     ,     ,  39,
CP, 01, 2025072712, 03, FNV3,  24, 109N, 1497W,  39, 1003, XX,  34, NEQ,   16,   12,    8,   13,     ,     ,  36,
CP, 01, 2025072712, 03, FNV3,  24, 109N, 1497W,  39, 1003, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  36,
CP, 01, 2025072712, 03, FNV3,  30, 109N, 1509W,  41, 1002, XX,  34, NEQ,   22,   17,   12,   19,     ,     ,  33,
CP, 01, 2025072712, 03, FNV3,  30, 109N, 1509W,  41, 1002, XX,  50, NEQ,    2,    2,    1,    2,     ,     ,  33,
CP, 01, 2025072712, 03, FNV3,  36, 109N, 1520W,  44, 1000, XX,  34, NEQ,   22,   16,   10,   18,     ,     ,  32,
CP, 01, 2025072712, 03, FNV3,  36, 109N, 1520W,  44, 1000, XX,  50, NEQ,    4,    3,    2,    3,     ,     ,  32,
CP, 01, 2025072712, 03, FNV3,  36, 109N, 1520W,  44, 1000, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  32,
CP, 01, 2025072712, 03, FNV3,  42, 109N, 1532W,  49,  997, XX,  34, NEQ,   30,   22,   14,   24,     ,     ,  32,
CP, 01, 2025072712, 03, FNV3,  42, 109N, 1532W,  49,  997, XX,  50, NEQ,    7,    5,    3,    5,     ,     ,  32,
CP, 01, 2025072712, 03, FNV3,  42, 109N, 1532W,  49,  997, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  32,
CP, 01, 2025072712, 03, FNV3,  48, 108N, 1544W,  55,  994, XX,  34, NEQ,   35,   26,   17,   29,     ,     ,  27,
CP, 01, 2025072712, 03, FNV3,  48, 108N, 1544W,  55,  994, XX,  50, NEQ,   10,    7,    5,    8,     ,     ,  27,
CP, 01, 2025072712, 03, FNV3,  48, 108N, 1544W,  55,  994, XX,  64, NEQ,    3,    2,    2,    3,     ,     ,  27,
CP, 01, 2025072712, 03, FNV3,  54, 108N, 1558W,  57,  992, XX,  34, NEQ,   40,   30,   20,   34,     ,     ,  24,
CP, 01, 2025072712, 03, FNV3,  54, 108N, 1558W,  57,  992, XX,  50, NEQ,   12,    9,    6,   10,     ,     ,  24,
CP, 01, 2025072712, 03, FNV3,  54, 108N, 1558W,  57,  992, XX,  64, NEQ,    4,    3,    2,    4,     ,     ,  24,
CP, 01, 2025072712, 03, FNV3,  60, 108N, 1573W,  56,  993, XX,  34, NEQ,   39,   29,   19,   33,     ,     ,  25,
CP, 01, 2025072712, 03, FNV3,  60, 108N, 1573W,  56,  993, XX,  50, NEQ,    9,    7,    5,    8,     ,     ,  25,
