# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 07, 2025121200, 03, FNV3,   0,  81S,  980E,  35, 1005, XX,  34, NEQ,   25,   60,   55,   10,     ,     ,  50,
IO, 07, 2025121200, 03, FNV3,   6,  87S,  973E,  33, 1002, XX,  34, NEQ,    7,    9,    8,    5,     ,     ,  33,
IO, 07, 2025121200, 03, FNV3,  12,  87S,  966E,  37, 1000, XX,  34, NEQ,   14,   20,   18,   13,     ,     ,  29,
IO, 07, 2025121200, 03, FNV3,  18,  90S,  957E,  40,  998, XX,  34, NEQ,   20,   24,   19,   15,     ,     ,  26,
IO, 07, 2025121200, 03, FNV3,  18,  90S,  957E,  40,  998, XX,  50, NEQ,    2,    1,    1,    0,     ,     ,  26,
IO, 07, 2025121200, 03, FNV3,  24,  93S,  950E,  47,  995, XX,  34, NEQ,   26,   31,   24,   22,     ,     ,  23,
IO, 07, 2025121200, 03, FNV3,  24,  93S,  950E,  47,  995, XX,  50, NEQ,    4,    4,    4,    2,     ,     ,  23,
IO, 07, 2025121200, 03, FNV3,  24,  93S,  950E,  47,  995, XX,  64, NEQ,    1,    1,    0,    0,     ,     ,  23,
IO, 07, 2025121200, 03, FNV3,  30,  96S,  941E,  48,  995, XX,  34, NEQ,   25,   31,   23,   19,     ,     ,  21,
IO, 07, 2025121200, 03, FNV3,  30,  96S,  941E,  48,  995, XX,  50, NEQ,    3,    4,    4,    2,     ,     ,  21,
IO, 07, 2025121200, 03, FNV3,  30,  96S,  941E,  48,  995, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  21,
IO, 07, 2025121200, 03, FNV3,  36,  98S,  933E,  45,  996, XX,  34, NEQ,   22,   26,   22,   16,     ,     ,  23,
IO, 07, 2025121200, 03, FNV3,  36,  98S,  933E,  45,  996, XX,  50, NEQ,    2,    3,    3,    1,     ,     ,  23,
IO, 07, 2025121200, 03, FNV3,  36,  98S,  933E,  45,  996, XX,  64, NEQ,    1,    1,    0,    0,     ,     ,  23,
IO, 07, 2025121200, 03, FNV3,  42, 100S,  924E,  38,  998, XX,  34, NEQ,   16,   20,   17,   13,     ,     ,  27,
IO, 07, 2025121200, 03, FNV3,  42, 100S,  924E,  38,  998, XX,  50, NEQ,    1,    2,    2,    1,     ,     ,  27,
IO, 07, 2025121200, 03, FNV3,  48, 101S,  917E,  40,  997, XX,  34, NEQ,   19,   20,   17,   16,     ,     ,  25,
IO, 07, 2025121200, 03, FNV3,  48, 101S,  917E,  40,  997, XX,  50, NEQ,    3,    4,    3,    2,     ,     ,  25,
IO, 07, 2025121200, 03, FNV3,  48, 101S,  917E,  40,  997, XX,  64, NEQ,    0,    0,    1,    0,     ,     ,  25,
IO, 07, 2025121200, 03, FNV3,  54, 102S,  915E,  35, 1000, XX,  34, NEQ,   12,   13,   11,    9,     ,     ,  30,
IO, 07, 2025121200, 03, FNV3,  54, 102S,  915E,  35, 1000, XX,  50, NEQ,    3,    3,    2,    2,     ,     ,  30,
IO, 07, 2025121200, 03, FNV3,  60, 102S,  917E,  31, 1001, XX,  34, NEQ,    7,    7,    6,    5,     ,     ,  35,
IO, 07, 2025121200, 03, FNV3,  60, 102S,  917E,  31, 1001, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  35,
IO, 07, 2025121200, 03, FNV3,  66, 105S,  920E,  29, 1003, XX,  34, NEQ,    5,    5,    5,    4,     ,     ,  36,
IO, 07, 2025121200, 03, FNV3,  66, 105S,  920E,  29, 1003, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  36,
IO, 07, 2025121200, 03, FNV3,  72, 108S,  925E,  31, 1002, XX,  34, NEQ,   14,   11,    9,   10,     ,     ,  39,
IO, 07, 2025121200, 03, FNV3,  72, 108S,  925E,  31, 1002, XX,  50, NEQ,    1,    1,    1,    0,     ,     ,  39,
IO, 07, 2025121200, 03, FNV3,  78, 110S,  928E,  31, 1002, XX,  34, NEQ,   12,   10,    9,   10,     ,     ,  36,
IO, 07, 2025121200, 03, FNV3,  78, 110S,  928E,  31, 1002, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  36,
IO, 07, 2025121200, 03, FNV3,  84, 111S,  931E,  31, 1002, XX,  34, NEQ,   11,   11,    9,   10,     ,     ,  34,
IO, 07, 2025121200, 03, FNV3,  90, 112S,  933E,  32, 1001, XX,  34, NEQ,   12,   13,   13,   11,     ,     ,  34,
IO, 07, 2025121200, 03, FNV3,  90, 112S,  933E,  32, 1001, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  34,
IO, 07, 2025121200, 03, FNV3,  96, 114S,  934E,  33, 1001, XX,  34, NEQ,   24,   20,   17,   20,     ,     ,  37,
IO, 07, 2025121200, 03, FNV3, 102, 113S,  934E,  35, 1000, XX,  34, NEQ,   27,   26,   21,   23,     ,     ,  30,
IO, 07, 2025121200, 03, FNV3, 102, 113S,  934E,  35, 1000, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  30,
IO, 07, 2025121200, 03, FNV3, 108, 111S,  935E,  35, 1000, XX,  34, NEQ,   21,   17,   15,   16,     ,     ,  28,
IO, 07, 2025121200, 03, FNV3, 108, 111S,  935E,  35, 1000, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  28,
IO, 07, 2025121200, 03, FNV3, 114, 110S,  935E,  37,  999, XX,  34, NEQ,   36,   31,   29,   30,     ,     ,  27,
IO, 07, 2025121200, 03, FNV3, 114, 110S,  935E,  37,  999, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  27,
IO, 07, 2025121200, 03, FNV3, 120, 110S,  935E,  40,  997, XX,  34, NEQ,   37,   33,   30,   30,     ,     ,  27,
IO, 07, 2025121200, 03, FNV3, 120, 110S,  935E,  40,  997, XX,  50, NEQ,    3,    3,    3,    3,     ,     ,  27,
IO, 07, 2025121200, 03, FNV3, 120, 110S,  935E,  40,  997, XX,  64, NEQ,    1,    1,    0,    0,     ,     ,  27,
IO, 07, 2025121200, 03, FNV3, 126, 110S,  935E,  39,  998, XX,  34, NEQ,   41,   40,   34,   37,     ,     ,  29,
IO, 07, 2025121200, 03, FNV3, 126, 110S,  935E,  39,  998, XX,  50, NEQ,    3,    4,    2,    2,     ,     ,  29,
IO, 07, 2025121200, 03, FNV3, 132, 108S,  934E,  37,  999, XX,  34, NEQ,   36,   34,   28,   30,     ,     ,  32,
IO, 07, 2025121200, 03, FNV3, 132, 108S,  934E,  37,  999, XX,  50, NEQ,    1,    1,    2,    1,     ,     ,  32,
IO, 07, 2025121200, 03, FNV3, 138, 105S,  931E,  37, 1000, XX,  34, NEQ,   33,   32,   29,   30,     ,     ,  25,
IO, 07, 2025121200, 03, FNV3, 138, 105S,  931E,  37, 1000, XX,  50, NEQ,    2,    2,    2,    2,     ,     ,  25,
IO, 07, 2025121200, 03, FNV3, 144, 108S,  930E,  36, 1000, XX,  34, NEQ,   39,   35,   31,   32,     ,     ,  32,
IO, 07, 2025121200, 03, FNV3, 150, 104S,  928E,  34, 1000, XX,  34, NEQ,   23,   23,   22,   21,     ,     ,  30,
IO, 07, 2025121200, 03, FNV3, 150, 104S,  928E,  34, 1000, XX,  50, NEQ,    2,    3,    2,    2,     ,     ,  30,
IO, 07, 2025121200, 03, FNV3, 156, 104S,  931E,  34, 1000, XX,  34, NEQ,   16,   16,   16,   16,     ,     ,  30,
IO, 07, 2025121200, 03, FNV3, 156, 104S,  931E,  34, 1000, XX,  50, NEQ,    2,    2,    2,    2,     ,     ,  30,
IO, 07, 2025121200, 03, FNV3, 162, 101S,  928E,  33, 1001, XX,  34, NEQ,   18,   18,   18,   17,     ,     ,  31,
IO, 07, 2025121200, 03, FNV3, 162, 101S,  928E,  33, 1001, XX,  50, NEQ,    2,    2,    1,    1,     ,     ,  31,
IO, 07, 2025121200, 03, FNV3, 162, 101S,  928E,  33, 1001, XX,  64, NEQ,    0,    1,    0,    0,     ,     ,  31,
