# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 96, 2025112618, 03, FNV3, 108, 140N,  807E,  38, 1000, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  34,
IO, 96, 2025112618, 03, FNV3, 114, 143N,  810E,  40,  998, XX,  34, NEQ,   38,   36,   27,   31,     ,     ,  28,
IO, 96, 2025112618, 03, FNV3, 114, 143N,  810E,  40,  998, XX,  50, NEQ,    8,    7,    5,    6,     ,     ,  28,
IO, 96, 2025112618, 03, FNV3, 114, 143N,  810E,  40,  998, XX,  64, NEQ,    2,    2,    2,    2,     ,     ,  28,
IO, 96, 2025112618, 03, FNV3, 120, 145N,  816E,  37, 1000, XX,  34, NEQ,   27,   27,   21,   23,     ,     ,  30,
IO, 96, 2025112618, 03, FNV3, 120, 145N,  816E,  37, 1000, XX,  50, NEQ,    3,    3,    2,    2,     ,     ,  30,
IO, 96, 2025112618, 03, FNV3, 120, 145N,  816E,  37, 1000, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  30,
IO, 96, 2025112618, 03, FNV3, 126, 146N,  819E,  34, 1001, XX,  34, NEQ,   14,   12,   10,   10,     ,     ,  32,
IO, 96, 2025112618, 03, FNV3, 126, 146N,  819E,  34, 1001, XX,  50, NEQ,    1,    2,    1,    1,     ,     ,  32,
IO, 96, 2025112618, 03, FNV3, 126, 146N,  819E,  34, 1001, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  32,
IO, 96, 2025112618, 03, FNV3, 132, 145N,  822E,  30, 1003, XX,  34, NEQ,    7,    7,    6,    6,     ,     ,  41,
IO, 96, 2025112618, 03, FNV3, 132, 145N,  822E,  30, 1003, XX,  50, NEQ,    2,    2,    2,    2,     ,     ,  41,
IO, 96, 2025112618, 03, FNV3, 132, 145N,  822E,  30, 1003, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  41,
IO, 96, 2025112618, 03, FNV3, 138, 146N,  824E,  29, 1003, XX,  34, NEQ,   12,   11,   10,   10,     ,     ,  33,
IO, 96, 2025112618, 03, FNV3, 138, 146N,  824E,  29, 1003, XX,  50, NEQ,    3,    3,    3,    3,     ,     ,  33,
IO, 96, 2025112618, 03, FNV3, 138, 146N,  824E,  29, 1003, XX,  64, NEQ,    2,    2,    2,    2,     ,     ,  33,
IO, 96, 2025112618, 03, FNV3, 144, 145N,  827E,  27, 1004, XX,  34, NEQ,    9,    8,    7,    8,     ,     ,  38,
IO, 96, 2025112618, 03, FNV3, 144, 145N,  827E,  27, 1004, XX,  50, NEQ,    2,    2,    2,    2,     ,     ,  38,
IO, 96, 2025112618, 03, FNV3, 144, 145N,  827E,  27, 1004, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  38,
IO, 96, 2025112618, 03, FNV3, 150, 144N,  829E,  24, 1005, XX,  34, NEQ,    6,    6,    5,    6,     ,     ,  41,
IO, 96, 2025112618, 03, FNV3, 150, 144N,  829E,  24, 1005, XX,  50, NEQ,    3,    3,    2,    2,     ,     ,  41,
WP, 33, 2025112618, 03, FNV3,   0, 130N, 1148E,  70,  982, XX,  34, NEQ,  180,   60,   60,  170,     ,     ,  25,
WP, 33, 2025112618, 03, FNV3,   6, 130N, 1142E,  72,  978, XX,  34, NEQ,  132,  105,   98,  125,     ,     ,  16,
WP, 33, 2025112618, 03, FNV3,   6, 130N, 1142E,  72,  978, XX,  50, NEQ,   67,   57,   48,   58,     ,     ,  16,
WP, 33, 2025112618, 03, FNV3,   6, 130N, 1142E,  72,  978, XX,  64, NEQ,   21,   17,   15,   19,     ,     ,  16,
WP, 33, 2025112618, 03, FNV3,  12, 129N, 1138E,  68,  980, XX,  34, NEQ,  162,  131,  129,  158,     ,     ,  23,
WP, 33, 2025112618, 03, FNV3,  12, 129N, 1138E,  68,  980, XX,  50, NEQ,   82,   71,   62,   72,     ,     ,  23,
WP, 33, 2025112618, 03, FNV3,  12, 129N, 1138E,  68,  980, XX,  64, NEQ,   20,   16,   14,   18,     ,     ,  23,
WP, 33, 2025112618, 03, FNV3,  18, 127N, 1136E,  61,  985, XX,  34, NEQ,  164,  144,  134,  156,     ,     ,  29,
WP, 33, 2025112618, 03, FNV3,  18, 127N, 1136E,  61,  985, XX,  50, NEQ,   64,   56,   47,   54,     ,     ,  29,
WP, 33, 2025112618, 03, FNV3,  18, 127N, 1136E,  61,  985, XX,  64, NEQ,   11,    8,    7,    8,     ,     ,  29,
WP, 33, 2025112618, 03, FNV3,  24, 125N, 1134E,  56,  988, XX,  34, NEQ,  154,  135,  124,  144,     ,     ,  29,
WP, 33, 2025112618, 03, FNV3,  24, 125N, 1134E,  56,  988, XX,  50, NEQ,   48,   42,   35,   39,     ,     ,  29,
WP, 33, 2025112618, 03, FNV3,  24, 125N, 1134E,  56,  988, XX,  64, NEQ,    4,    2,    2,    3,     ,     ,  29,
WP, 33, 2025112618, 03, FNV3,  30, 125N, 1132E,  53,  990, XX,  34, NEQ,  149,  129,  117,  136,     ,     ,  32,
WP, 33, 2025112618, 03, FNV3,  30, 125N, 1132E,  53,  990, XX,  50, NEQ,   34,   29,   24,   27,     ,     ,  32,
WP, 33, 2025112618, 03, FNV3,  30, 125N, 1132E,  53,  990, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  32,
WP, 33, 2025112618, 03, FNV3,  36, 125N, 1129E,  54,  991, XX,  34, NEQ,  123,  110,   98,  111,     ,     ,  32,
WP, 33, 2025112618, 03, FNV3,  36, 125N, 1129E,  54,  991, XX,  50, NEQ,   29,   22,   17,   22,     ,     ,  32,
WP, 33, 2025112618, 03, FNV3,  36, 125N, 1129E,  54,  991, XX,  64, NEQ,    2,    1,    1,    2,     ,     ,  32,
WP, 33, 2025112618, 03, FNV3,  42, 127N, 1127E,  52,  991, XX,  34, NEQ,  116,  103,   89,  101,     ,     ,  33,
WP, 33, 2025112618, 03, FNV3,  42, 127N, 1127E,  52,  991, XX,  50, NEQ,   20,   16,   13,   18,     ,     ,  33,
WP, 33, 2025112618, 03, FNV3,  42, 127N, 1127E,  52,  991, XX,  64, NEQ,    3,    3,    2,    3,     ,     ,  33,
WP, 33, 2025112618, 03, FNV3,  48, 129N, 1125E,  55,  990, XX,  34, NEQ,  107,   92,   78,   95,     ,     ,  26,
WP, 33, 2025112618, 03, FNV3,  48, 129N, 1125E,  55,  990, XX,  50, NEQ,   29,   24,   18,   23,     ,     ,  26,
WP, 33, 2025112618, 03, FNV3,  48, 129N, 1125E,  55,  990, XX,  64, NEQ,    3,    2,    2,    2,     ,     ,  26,
WP, 33, 2025112618, 03, FNV3,  54, 131N, 1124E,  58,  989, XX,  34, NEQ,   96,   86,   73,   85,     ,     ,  25,
WP, 33, 2025112618, 03, FNV3,  54, 131N, 1124E,  58,  989, XX,  50, NEQ,   28,   23,   17,   21,     ,     ,  25,
WP, 33, 2025112618, 03, FNV3,  54, 131N, 1124E,  58,  989, XX,  64, NEQ,    6,    5,    4,    5,     ,     ,  25,
WP, 33, 2025112618, 03, FNV3,  60, 134N, 1122E,  64,  985, XX,  34, NEQ,   89,   79,   69,   78,     ,     ,  19,
WP, 33, 2025112618, 03, FNV3,  60, 134N, 1122E,  64,  985, XX,  50, NEQ,   37,   33,   26,   31,     ,     ,  19,
WP, 33, 2025112618, 03, FNV3,  60, 134N, 1122E,  64,  985, XX,  64, NEQ,   10,    9,    7,    8,     ,     ,  19,
WP, 33, 2025112618, 03, FNV3,  66, 136N, 1122E,  67,  983, XX,  34, NEQ,   90,   85,   73,   80,     ,     ,  19,
WP, 33, 2025112618, 03, FNV3,  66, 136N, 1122E,  67,  983, XX,  50, NEQ,   36,   32,   25,   30,     ,     ,  19,
WP, 33, 2025112618, 03, FNV3,  66, 136N, 1122E,  67,  983, XX,  64, NEQ,   11,    9,    7,    8,     ,     ,  19,
WP, 33, 2025112618, 03, FNV3,  72, 140N, 1122E,  73,  978, XX,  34, NEQ,   85,   79,   68,   72,     ,     ,  18,
WP, 33, 2025112618, 03, FNV3,  72, 140N, 1122E,  73,  978, XX,  50, NEQ,   37,   34,   27,   31,     ,     ,  18,
WP, 33, 2025112618, 03, FNV3,  72, 140N, 1122E,  73,  978, XX,  64, NEQ,   16,   14,   11,   13,     ,     ,  18,
WP, 33, 2025112618, 03, FNV3,  78, 142N, 1122E,  80,  973, XX,  34, NEQ,   78,   75,   67,   72,     ,     ,  15,
WP, 33, 2025112618, 03, FNV3,  78, 142N, 1122E,  80,  973, XX,  50, NEQ,   38,   34,   28,   33,     ,     ,  15,
