# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 04, 2025102006, 03, FNV3,  84, 108S,  568E,  47,  993, XX,  50, NEQ,   13,   16,   14,   11,     ,     ,  33,
IO, 04, 2025102006, 03, FNV3,  84, 108S,  568E,  47,  993, XX,  64, NEQ,    2,    2,    2,    2,     ,     ,  33,
IO, 04, 2025102006, 03, FNV3,  90, 105S,  556E,  48,  994, XX,  34, NEQ,   77,   86,   79,   70,     ,     ,  34,
IO, 04, 2025102006, 03, FNV3,  90, 105S,  556E,  48,  994, XX,  50, NEQ,   16,   19,   15,   13,     ,     ,  34,
IO, 04, 2025102006, 03, FNV3,  90, 105S,  556E,  48,  994, XX,  64, NEQ,    3,    3,    3,    2,     ,     ,  34,
IO, 04, 2025102006, 03, FNV3,  96, 103S,  542E,  50,  993, XX,  34, NEQ,   83,   88,   81,   76,     ,     ,  30,
IO, 04, 2025102006, 03, FNV3,  96, 103S,  542E,  50,  993, XX,  50, NEQ,   15,   18,   14,   13,     ,     ,  30,
IO, 04, 2025102006, 03, FNV3,  96, 103S,  542E,  50,  993, XX,  64, NEQ,    3,    4,    3,    3,     ,     ,  30,
IO, 04, 2025102006, 03, FNV3, 102, 102S,  532E,  48,  994, XX,  34, NEQ,   69,   77,   68,   61,     ,     ,  39,
IO, 04, 2025102006, 03, FNV3, 102, 102S,  532E,  48,  994, XX,  50, NEQ,   13,   14,   12,   10,     ,     ,  39,
IO, 04, 2025102006, 03, FNV3, 102, 102S,  532E,  48,  994, XX,  64, NEQ,    3,    4,    3,    3,     ,     ,  39,
IO, 04, 2025102006, 03, FNV3, 108, 100S,  520E,  48,  994, XX,  34, NEQ,   58,   62,   60,   51,     ,     ,  35,
IO, 04, 2025102006, 03, FNV3, 108, 100S,  520E,  48,  994, XX,  50, NEQ,   14,   17,   14,   11,     ,     ,  35,
IO, 04, 2025102006, 03, FNV3, 108, 100S,  520E,  48,  994, XX,  64, NEQ,    3,    4,    4,    3,     ,     ,  35,
IO, 04, 2025102006, 03, FNV3, 114,  98S,  508E,  48,  994, XX,  34, NEQ,   63,   70,   64,   56,     ,     ,  36,
IO, 04, 2025102006, 03, FNV3, 114,  98S,  508E,  48,  994, XX,  50, NEQ,   14,   17,   15,   12,     ,     ,  36,
IO, 04, 2025102006, 03, FNV3, 114,  98S,  508E,  48,  994, XX,  64, NEQ,    4,    5,    5,    4,     ,     ,  36,
IO, 04, 2025102006, 03, FNV3, 120,  99S,  495E,  48,  995, XX,  34, NEQ,   67,   72,   65,   61,     ,     ,  32,
IO, 04, 2025102006, 03, FNV3, 120,  99S,  495E,  48,  995, XX,  50, NEQ,   12,   13,   11,   11,     ,     ,  32,
IO, 04, 2025102006, 03, FNV3, 120,  99S,  495E,  48,  995, XX,  64, NEQ,    2,    3,    2,    3,     ,     ,  32,
IO, 04, 2025102006, 03, FNV3, 126, 100S,  483E,  44,  997, XX,  34, NEQ,   54,   57,   53,   48,     ,     ,  32,
IO, 04, 2025102006, 03, FNV3, 126, 100S,  483E,  44,  997, XX,  50, NEQ,   12,   13,   11,   10,     ,     ,  32,
IO, 04, 2025102006, 03, FNV3, 126, 100S,  483E,  44,  997, XX,  64, NEQ,    3,    2,    2,    2,     ,     ,  32,
IO, 04, 2025102006, 03, FNV3, 132, 102S,  469E,  44,  998, XX,  34, NEQ,   46,   51,   45,   43,     ,     ,  31,
IO, 04, 2025102006, 03, FNV3, 132, 102S,  469E,  44,  998, XX,  50, NEQ,   11,   12,   10,    9,     ,     ,  31,
IO, 04, 2025102006, 03, FNV3, 132, 102S,  469E,  44,  998, XX,  64, NEQ,    3,    3,    3,    3,     ,     ,  31,
IO, 04, 2025102006, 03, FNV3, 138, 101S,  455E,  45,  997, XX,  34, NEQ,   38,   41,   38,   32,     ,     ,  26,
IO, 04, 2025102006, 03, FNV3, 138, 101S,  455E,  45,  997, XX,  50, NEQ,    9,   10,    9,    7,     ,     ,  26,
IO, 04, 2025102006, 03, FNV3, 138, 101S,  455E,  45,  997, XX,  64, NEQ,    4,    4,    4,    3,     ,     ,  26,
IO, 04, 2025102006, 03, FNV3, 144, 104S,  440E,  42,  999, XX,  34, NEQ,   27,   32,   28,   25,     ,     ,  29,
IO, 04, 2025102006, 03, FNV3, 144, 104S,  440E,  42,  999, XX,  50, NEQ,    5,    6,    5,    4,     ,     ,  29,
IO, 04, 2025102006, 03, FNV3, 144, 104S,  440E,  42,  999, XX,  64, NEQ,    2,    2,    1,    2,     ,     ,  29,
IO, 04, 2025102006, 03, FNV3, 150, 106S,  428E,  44,  997, XX,  34, NEQ,   30,   35,   31,   24,     ,     ,  30,
IO, 04, 2025102006, 03, FNV3, 150, 106S,  428E,  44,  997, XX,  50, NEQ,    6,    7,    6,    5,     ,     ,  30,
IO, 04, 2025102006, 03, FNV3, 150, 106S,  428E,  44,  997, XX,  64, NEQ,    3,    3,    3,    2,     ,     ,  30,
IO, 04, 2025102006, 03, FNV3, 156, 108S,  417E,  43,  998, XX,  34, NEQ,   28,   33,   29,   26,     ,     ,  27,
IO, 04, 2025102006, 03, FNV3, 156, 108S,  417E,  43,  998, XX,  50, NEQ,    7,    8,    7,    6,     ,     ,  27,
IO, 04, 2025102006, 03, FNV3, 156, 108S,  417E,  43,  998, XX,  64, NEQ,    4,    4,    3,    3,     ,     ,  27,
IO, 04, 2025102006, 03, FNV3, 162, 110S,  407E,  39, 1000, XX,  34, NEQ,   19,   23,   19,   17,     ,     ,  28,
IO, 04, 2025102006, 03, FNV3, 162, 110S,  407E,  39, 1000, XX,  50, NEQ,    5,    6,    3,    3,     ,     ,  28,
IO, 04, 2025102006, 03, FNV3, 162, 110S,  407E,  39, 1000, XX,  64, NEQ,    3,    2,    2,    2,     ,     ,  28,
IO, 04, 2025102006, 03, FNV3, 168, 113S,  397E,  32, 1002, XX,  34, NEQ,   14,   15,   13,   12,     ,     ,  30,
IO, 04, 2025102006, 03, FNV3, 168, 113S,  397E,  32, 1002, XX,  50, NEQ,    0,    0,    1,    0,     ,     ,  30,
WP, 30, 2025102006, 03, FNV3,   0, 185N, 1153E,  45,  996, XX,  34, NEQ,  125,   95,   40,  100,     ,     ,  30,
WP, 30, 2025102006, 03, FNV3,   6, 182N, 1142E,  38,  998, XX,  34, NEQ,   63,   42,   31,   43,     ,     ,  54,
WP, 30, 2025102006, 03, FNV3,   6, 182N, 1142E,  38,  998, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  54,
WP, 30, 2025102006, 03, FNV3,  12, 182N, 1134E,  43,  996, XX,  34, NEQ,  121,  100,   79,   98,     ,     ,  54,
WP, 30, 2025102006, 03, FNV3,  12, 182N, 1134E,  43,  996, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  54,
WP, 30, 2025102006, 03, FNV3,  18, 181N, 1127E,  46,  994, XX,  34, NEQ,  153,  132,  107,  129,     ,     ,  44,
WP, 30, 2025102006, 03, FNV3,  18, 181N, 1127E,  46,  994, XX,  50, NEQ,    8,    5,    4,    5,     ,     ,  44,
WP, 30, 2025102006, 03, FNV3,  24, 180N, 1123E,  52,  991, XX,  34, NEQ,  163,  139,  116,  143,     ,     ,  40,
WP, 30, 2025102006, 03, FNV3,  24, 180N, 1123E,  52,  991, XX,  50, NEQ,   35,   26,   20,   25,     ,     ,  40,
WP, 30, 2025102006, 03, FNV3,  24, 180N, 1123E,  52,  991, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  40,
WP, 30, 2025102006, 03, FNV3,  30, 179N, 1120E,  56,  988, XX,  34, NEQ,  168,  143,  123,  151,     ,     ,  33,
WP, 30, 2025102006, 03, FNV3,  30, 179N, 1120E,  56,  988, XX,  50, NEQ,   45,   36,   29,   37,     ,     ,  33,
WP, 30, 2025102006, 03, FNV3,  30, 179N, 1120E,  56,  988, XX,  64, NEQ,    5,    3,    3,    3,     ,     ,  33,
