# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
CP, 01, 2025072912, 03, FNV3,   0, 108N, 1537W, 111,  957, XX,  34, NEQ,   70,   60,   50,   60,     ,     ,  15,
CP, 01, 2025072912, 03, FNV3,   0, 108N, 1537W, 111,  957, XX,  50, NEQ,   40,   30,   25,   30,     ,     ,  15,
CP, 01, 2025072912, 03, FNV3,   0, 108N, 1537W, 111,  957, XX,  64, NEQ,   15,   10,   20,     ,     ,     ,  15,
CP, 01, 2025072912, 03, FNV3,   6, 108N, 1550W,  62,  991, XX,  34, NEQ,   51,   38,   26,   43,     ,     ,  21,
CP, 01, 2025072912, 03, FNV3,   6, 108N, 1550W,  62,  991, XX,  50, NEQ,   17,   13,    9,   14,     ,     ,  21,
CP, 01, 2025072912, 03, FNV3,   6, 108N, 1550W,  62,  991, XX,  64, NEQ,    3,    2,    2,    3,     ,     ,  21,
CP, 01, 2025072912, 03, FNV3,  12, 108N, 1563W,  69,  986, XX,  34, NEQ,   54,   40,   27,   46,     ,     ,  19,
CP, 01, 2025072912, 03, FNV3,  12, 108N, 1563W,  69,  986, XX,  50, NEQ,   20,   15,   11,   17,     ,     ,  19,
CP, 01, 2025072912, 03, FNV3,  12, 108N, 1563W,  69,  986, XX,  64, NEQ,    6,    5,    4,    5,     ,     ,  19,
CP, 01, 2025072912, 03, FNV3,  18, 108N, 1576W,  66,  988, XX,  34, NEQ,   53,   39,   27,   46,     ,     ,  20,
CP, 01, 2025072912, 03, FNV3,  18, 108N, 1576W,  66,  988, XX,  50, NEQ,   19,   14,   11,   16,     ,     ,  20,
CP, 01, 2025072912, 03, FNV3,  18, 108N, 1576W,  66,  988, XX,  64, NEQ,    6,    5,    4,    5,     ,     ,  20,
CP, 01, 2025072912, 03, FNV3,  24, 108N, 1591W,  65,  988, XX,  34, NEQ,   54,   39,   27,   46,     ,     ,  22,
CP, 01, 2025072912, 03, FNV3,  24, 108N, 1591W,  65,  988, XX,  50, NEQ,   20,   15,   11,   16,     ,     ,  22,
CP, 01, 2025072912, 03, FNV3,  24, 108N, 1591W,  65,  988, XX,  64, NEQ,    6,    4,    3,    5,     ,     ,  22,
CP, 01, 2025072912, 03, FNV3,  30, 109N, 1609W,  53,  996, XX,  34, NEQ,   50,   37,   24,   41,     ,     ,  29,
CP, 01, 2025072912, 03, FNV3,  30, 109N, 1609W,  53,  996, XX,  50, NEQ,   11,    8,    5,    9,     ,     ,  29,
CP, 01, 2025072912, 03, FNV3,  30, 109N, 1609W,  53,  996, XX,  64, NEQ,    2,    1,    1,    2,     ,     ,  29,
CP, 01, 2025072912, 03, FNV3,  36, 111N, 1629W,  45, 1000, XX,  34, NEQ,   36,   26,   16,   28,     ,     ,  35,
CP, 01, 2025072912, 03, FNV3,  36, 111N, 1629W,  45, 1000, XX,  50, NEQ,    4,    3,    2,    3,     ,     ,  35,
CP, 01, 2025072912, 03, FNV3,  36, 111N, 1629W,  45, 1000, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  35,
CP, 01, 2025072912, 03, FNV3,  42, 114N, 1649W,  40, 1002, XX,  34, NEQ,   22,   15,    9,   17,     ,     ,  34,
CP, 01, 2025072912, 03, FNV3,  42, 114N, 1649W,  40, 1002, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  34,
CP, 01, 2025072912, 03, FNV3,  48, 117N, 1670W,  38, 1004, XX,  34, NEQ,   17,   11,    6,   13,     ,     ,  38,
CP, 01, 2025072912, 03, FNV3,  54, 122N, 1691W,  35, 1005, XX,  34, NEQ,   15,    9,    5,   11,     ,     ,  41,
CP, 01, 2025072912, 03, FNV3,  60, 125N, 1710W,  36, 1004, XX,  34, NEQ,   19,   12,    7,   14,     ,     ,  41,
CP, 01, 2025072912, 03, FNV3,  60, 125N, 1710W,  36, 1004, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  41,
CP, 01, 2025072912, 03, FNV3,  66, 130N, 1730W,  34, 1005, XX,  34, NEQ,   11,    6,    3,    8,     ,     ,  43,
CP, 01, 2025072912, 03, FNV3,  66, 130N, 1730W,  34, 1005, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  43,
CP, 02, 2025072912, 03, FNV3,   0, 124N, 1473W,  35, 1006, XX,  34, NEQ,   30,    0,    0,   30,     ,     ,  20,
CP, 02, 2025072912, 03, FNV3,   6, 114N, 1530W,  59,  992, XX,  34, NEQ,   46,   35,   24,   40,     ,     ,  24,
CP, 02, 2025072912, 03, FNV3,   6, 114N, 1530W,  59,  992, XX,  50, NEQ,   16,   12,    8,   13,     ,     ,  24,
CP, 02, 2025072912, 03, FNV3,   6, 114N, 1530W,  59,  992, XX,  64, NEQ,    3,    2,    2,    3,     ,     ,  24,
CP, 02, 2025072912, 03, FNV3,  12, 108N, 1563W,  69,  986, XX,  34, NEQ,   54,   40,   27,   46,     ,     ,  19,
CP, 02, 2025072912, 03, FNV3,  12, 108N, 1563W,  69,  986, XX,  50, NEQ,   20,   15,   11,   17,     ,     ,  19,
CP, 02, 2025072912, 03, FNV3,  12, 108N, 1563W,  69,  986, XX,  64, NEQ,    6,    5,    4,    5,     ,     ,  19,
CP, 02, 2025072912, 03, FNV3,  18, 108N, 1576W,  66,  988, XX,  34, NEQ,   53,   39,   27,   46,     ,     ,  20,
CP, 02, 2025072912, 03, FNV3,  18, 108N, 1576W,  66,  988, XX,  50, NEQ,   19,   14,   11,   16,     ,     ,  20,
CP, 02, 2025072912, 03, FNV3,  18, 108N, 1576W,  66,  988, XX,  64, NEQ,    6,    5,    4,    5,     ,     ,  20,
