# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
WP, 32, 2025110618, 03, FNV3,   0, 107N, 1386E,  45,  993, XX,  34, NEQ,  130,  135,   95,  155,     ,     ,  70,
WP, 32, 2025110618, 03, FNV3,   6, 114N, 1378E,  70,  978, XX,  34, NEQ,  158,  137,  115,  139,     ,     ,  25,
WP, 32, 2025110618, 03, FNV3,   6, 114N, 1378E,  70,  978, XX,  50, NEQ,   75,   66,   52,   61,     ,     ,  25,
WP, 32, 2025110618, 03, FNV3,   6, 114N, 1378E,  70,  978, XX,  64, NEQ,   20,   14,   10,   13,     ,     ,  25,
WP, 32, 2025110618, 03, FNV3,  12, 118N, 1367E,  83,  967, XX,  34, NEQ,  174,  146,  125,  155,     ,     ,  19,
WP, 32, 2025110618, 03, FNV3,  12, 118N, 1367E,  83,  967, XX,  50, NEQ,   93,   83,   68,   81,     ,     ,  19,
WP, 32, 2025110618, 03, FNV3,  12, 118N, 1367E,  83,  967, XX,  64, NEQ,   42,   38,   31,   36,     ,     ,  19,
WP, 32, 2025110618, 03, FNV3,  18, 120N, 1354E, 111,  943, XX,  34, NEQ,  192,  163,  149,  181,     ,     ,  14,
WP, 32, 2025110618, 03, FNV3,  18, 120N, 1354E, 111,  943, XX,  50, NEQ,  104,   92,   80,   94,     ,     ,  14,
WP, 32, 2025110618, 03, FNV3,  18, 120N, 1354E, 111,  943, XX,  64, NEQ,   54,   49,   42,   48,     ,     ,  14,
WP, 32, 2025110618, 03, FNV3,  24, 123N, 1339E, 140,  916, XX,  34, NEQ,  205,  174,  163,  197,     ,     ,   8,
WP, 32, 2025110618, 03, FNV3,  24, 123N, 1339E, 140,  916, XX,  50, NEQ,  114,  101,   89,  104,     ,     ,   8,
WP, 32, 2025110618, 03, FNV3,  24, 123N, 1339E, 140,  916, XX,  64, NEQ,   62,   56,   48,   55,     ,     ,   8,
WP, 32, 2025110618, 03, FNV3,  30, 125N, 1323E, 148,  908, XX,  34, NEQ,  218,  188,  174,  212,     ,     ,   9,
WP, 32, 2025110618, 03, FNV3,  30, 125N, 1323E, 148,  908, XX,  50, NEQ,  122,  108,   95,  111,     ,     ,   9,
WP, 32, 2025110618, 03, FNV3,  30, 125N, 1323E, 148,  908, XX,  64, NEQ,   66,   61,   52,   60,     ,     ,   9,
WP, 32, 2025110618, 03, FNV3,  36, 129N, 1305E, 140,  916, XX,  34, NEQ,  224,  195,  180,  216,     ,     ,  13,
WP, 32, 2025110618, 03, FNV3,  36, 129N, 1305E, 140,  916, XX,  50, NEQ,  126,  113,  100,  116,     ,     ,  13,
WP, 32, 2025110618, 03, FNV3,  36, 129N, 1305E, 140,  916, XX,  64, NEQ,   68,   63,   54,   61,     ,     ,  13,
WP, 32, 2025110618, 03, FNV3,  42, 132N, 1288E, 140,  917, XX,  34, NEQ,  249,  218,  200,  240,     ,     ,  13,
WP, 32, 2025110618, 03, FNV3,  42, 132N, 1288E, 140,  917, XX,  50, NEQ,  141,  127,  112,  129,     ,     ,  13,
WP, 32, 2025110618, 03, FNV3,  42, 132N, 1288E, 140,  917, XX,  64, NEQ,   76,   72,   62,   69,     ,     ,  13,
WP, 32, 2025110618, 03, FNV3,  48, 138N, 1270E, 138,  917, XX,  34, NEQ,  255,  223,  202,  244,     ,     ,  13,
WP, 32, 2025110618, 03, FNV3,  48, 138N, 1270E, 138,  917, XX,  50, NEQ,  146,  133,  117,  134,     ,     ,  13,
WP, 32, 2025110618, 03, FNV3,  48, 138N, 1270E, 138,  917, XX,  64, NEQ,   80,   75,   65,   73,     ,     ,  13,
WP, 32, 2025110618, 03, FNV3,  54, 144N, 1253E, 131,  924, XX,  34, NEQ,  258,  224,  201,  246,     ,     ,  16,
WP, 32, 2025110618, 03, FNV3,  54, 144N, 1253E, 131,  924, XX,  50, NEQ,  143,  128,  112,  130,     ,     ,  16,
WP, 32, 2025110618, 03, FNV3,  54, 144N, 1253E, 131,  924, XX,  64, NEQ,   77,   71,   61,   69,     ,     ,  16,
WP, 32, 2025110618, 03, FNV3,  60, 151N, 1238E, 123,  930, XX,  34, NEQ,  246,  217,  195,  234,     ,     ,  16,
WP, 32, 2025110618, 03, FNV3,  60, 151N, 1238E, 123,  930, XX,  50, NEQ,  144,  130,  114,  131,     ,     ,  16,
WP, 32, 2025110618, 03, FNV3,  60, 151N, 1238E, 123,  930, XX,  64, NEQ,   81,   76,   65,   73,     ,     ,  16,
WP, 32, 2025110618, 03, FNV3,  66, 159N, 1224E, 108,  945, XX,  34, NEQ,  234,  205,  182,  218,     ,     ,  17,
WP, 32, 2025110618, 03, FNV3,  66, 159N, 1224E, 108,  945, XX,  50, NEQ,  136,  124,  108,  124,     ,     ,  17,
WP, 32, 2025110618, 03, FNV3,  66, 159N, 1224E, 108,  945, XX,  64, NEQ,   75,   71,   60,   67,     ,     ,  17,
