# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 01, 2025071812, 03, FNV3,   0, 122S,  843E,  35, 1002, XX,  34, NEQ,    0,   55,   55,    0,     ,     ,  55,
WP, 09, 2025071812, 03, FNV3,   0, 193N, 1225E,  35,  991, XX,  34, NEQ,  180,  170,   35,  100,     ,     ,  85,
WP, 09, 2025071812, 03, FNV3,   6, 197N, 1210E,  46,  986, XX,  34, NEQ,   84,   77,   65,   73,     ,     ,  42,
WP, 09, 2025071812, 03, FNV3,   6, 197N, 1210E,  46,  986, XX,  50, NEQ,   10,    8,    7,    8,     ,     ,  42,
WP, 09, 2025071812, 03, FNV3,  12, 201N, 1199E,  50,  983, XX,  34, NEQ,   96,   89,   78,   84,     ,     ,  37,
WP, 09, 2025071812, 03, FNV3,  12, 201N, 1199E,  50,  983, XX,  50, NEQ,   16,   14,   11,   13,     ,     ,  37,
WP, 09, 2025071812, 03, FNV3,  18, 206N, 1188E,  55,  980, XX,  34, NEQ,   96,   89,   79,   86,     ,     ,  29,
WP, 09, 2025071812, 03, FNV3,  18, 206N, 1188E,  55,  980, XX,  50, NEQ,   33,   30,   24,   28,     ,     ,  29,
WP, 09, 2025071812, 03, FNV3,  18, 206N, 1188E,  55,  980, XX,  64, NEQ,    5,    5,    4,    4,     ,     ,  29,
WP, 09, 2025071812, 03, FNV3,  24, 210N, 1176E,  61,  976, XX,  34, NEQ,   89,   81,   73,   80,     ,     ,  25,
WP, 09, 2025071812, 03, FNV3,  24, 210N, 1176E,  61,  976, XX,  50, NEQ,   35,   31,   26,   29,     ,     ,  25,
WP, 09, 2025071812, 03, FNV3,  24, 210N, 1176E,  61,  976, XX,  64, NEQ,    9,    8,    7,    8,     ,     ,  25,
WP, 09, 2025071812, 03, FNV3,  30, 213N, 1162E,  64,  974, XX,  34, NEQ,   92,   84,   75,   83,     ,     ,  24,
WP, 09, 2025071812, 03, FNV3,  30, 213N, 1162E,  64,  974, XX,  50, NEQ,   43,   39,   32,   37,     ,     ,  24,
WP, 09, 2025071812, 03, FNV3,  30, 213N, 1162E,  64,  974, XX,  64, NEQ,   14,   12,   10,   12,     ,     ,  24,
WP, 09, 2025071812, 03, FNV3,  36, 216N, 1149E,  69,  970, XX,  34, NEQ,   93,   85,   79,   85,     ,     ,  21,
WP, 09, 2025071812, 03, FNV3,  36, 216N, 1149E,  69,  970, XX,  50, NEQ,   45,   41,   35,   39,     ,     ,  21,
WP, 09, 2025071812, 03, FNV3,  36, 216N, 1149E,  69,  970, XX,  64, NEQ,   18,   17,   14,   16,     ,     ,  21,
WP, 09, 2025071812, 03, FNV3,  42, 218N, 1136E,  75,  965, XX,  34, NEQ,   77,   70,   66,   71,     ,     ,  16,
WP, 09, 2025071812, 03, FNV3,  42, 218N, 1136E,  75,  965, XX,  50, NEQ,   37,   34,   30,   33,     ,     ,  16,
WP, 09, 2025071812, 03, FNV3,  42, 218N, 1136E,  75,  965, XX,  64, NEQ,   18,   16,   14,   16,     ,     ,  16,
WP, 09, 2025071812, 03, FNV3,  48, 217N, 1124E,  72,  966, XX,  34, NEQ,   70,   65,   61,   66,     ,     ,  16,
WP, 09, 2025071812, 03, FNV3,  48, 217N, 1124E,  72,  966, XX,  50, NEQ,   32,   29,   26,   28,     ,     ,  16,
WP, 09, 2025071812, 03, FNV3,  48, 217N, 1124E,  72,  966, XX,  64, NEQ,   14,   13,   11,   13,     ,     ,  16,
WP, 09, 2025071812, 03, FNV3,  54, 216N, 1112E,  62,  974, XX,  34, NEQ,   68,   63,   58,   62,     ,     ,  20,
